SA2_MAINCODE_2016,OM_IEs_45_49_HW_0,OM_IEs_45_49_HW_1_15,OM_IEs_45_49_HW_16_24,OM_IEs_45_49_HW_25_34,OM_IEs_45_49_HW_35_39,OM_IEs_45_49_HW_40,OM_IEs_45_49_HW_41_48,OM_IEs_45_49_HW_49mor,OM_IEs_45_49_HW_NS,OM_IEs_45_49_Tot,OM_IEs_50_54_HW_0,OM_IEs_50_54_HW_1_15,OM_IEs_50_54_HW_16_24,OM_IEs_50_54_HW_25_34,OM_IEs_50_54_HW_35_39,OM_IEs_50_54_HW_40,OM_IEs_50_54_HW_41_48,OM_IEs_50_54_HW_49mor,OM_IEs_50_54_HW_NS,OM_IEs_50_54_Tot,OM_IEs_55_59_HW_0,OM_IEs_55_59_HW_1_15,OM_IEs_55_59_HW_16_24,OM_IEs_55_59_HW_25_34,OM_IEs_55_59_HW_35_39,OM_IEs_55_59_HW_40,OM_IEs_55_59_HW_41_48,OM_IEs_55_59_HW_49mor,OM_IEs_55_59_HW_NS,OM_IEs_55_59_Tot,OM_IEs_60_64_HW_0,OM_IEs_60_64_HW_1_15,OM_IEs_60_64_HW_16_24,OM_IEs_60_64_HW_25_34,OM_IEs_60_64_HW_35_39,OM_IEs_60_64_HW_40,OM_IEs_60_64_HW_41_48,OM_IEs_60_64_HW_49mor,OM_IEs_60_64_HW_NS,OM_IEs_60_64_Tot,OM_IEs_65_69_HW_0,OM_IEs_65_69_HW_1_15,OM_IEs_65_69_HW_16_24,OM_IEs_65_69_HW_25_34,OM_IEs_65_69_HW_35_39,OM_IEs_65_69_HW_40,OM_IEs_65_69_HW_41_48,OM_IEs_65_69_HW_49mor,OM_IEs_65_69_HW_NS,OM_IEs_65_69_Tot,OM_IEs_70_74_HW_0,OM_IEs_70_74_HW_1_15,OM_IEs_70_74_HW_16_24,OM_IEs_70_74_HW_25_34,OM_IEs_70_74_HW_35_39,OM_IEs_70_74_HW_40,OM_IEs_70_74_HW_41_48,OM_IEs_70_74_HW_49mor,OM_IEs_70_74_HW_NS,OM_IEs_70_74_Tot,OM_IEs_75ov_HW_0,OM_IEs_75ov_HW_1_15,OM_IEs_75ov_HW_16_24,OM_IEs_75ov_HW_25_34,OM_IEs_75ov_HW_35_39,OM_IEs_75ov_HW_40,OM_IEs_75ov_HW_41_48,OM_IEs_75ov_HW_49mor,OM_IEs_75ov_HW_NS,OM_IEs_75ov_Tot,OM_IEs_Tot_HW_0,OM_IEs_Tot_HW_1_15,OM_IEs_Tot_HW_16_24,OM_IEs_Tot_HW_25_34,OM_IEs_Tot_HW_35_39,OM_IEs_Tot_HW_40,OM_IEs_Tot_HW_41_48,OM_IEs_Tot_HW_49mor,OM_IEs_Tot_HW_NS,OM_IEs_Tot_Tot,OM_UIE_15_19_HW_0,OM_UIE_15_19_HW_1_15,OM_UIE_15_19_HW_16_24,OM_UIE_15_19_HW_25_34,OM_UIE_15_19_HW_35_39,OM_UIE_15_19_HW_40,OM_UIE_15_19_HW_41_48,OM_UIE_15_19_HW_49mor,OM_UIE_15_19_HW_NS,OM_UIE_15_19_Tot,OM_UIE_20_24_HW_0,OM_UIE_20_24_HW_1_15,OM_UIE_20_24_HW_16_24,OM_UIE_20_24_HW_25_34,OM_UIE_20_24_HW_35_39,OM_UIE_20_24_HW_40,OM_UIE_20_24_HW_41_48,OM_UIE_20_24_HW_49mor,OM_UIE_20_24_HW_NS,OM_UIE_20_24_Tot,OM_UIE_25_29_HW_0,OM_UIE_25_29_HW_1_15,OM_UIE_25_29_HW_16_24,OM_UIE_25_29_HW_25_34,OM_UIE_25_29_HW_35_39,OM_UIE_25_29_HW_40,OM_UIE_25_29_HW_41_48,OM_UIE_25_29_HW_49mor,OM_UIE_25_29_HW_NS,OM_UIE_25_29_Tot,OM_UIE_30_34_HW_0,OM_UIE_30_34_HW_1_15,OM_UIE_30_34_HW_16_24,OM_UIE_30_34_HW_25_34,OM_UIE_30_34_HW_35_39,OM_UIE_30_34_HW_40,OM_UIE_30_34_HW_41_48,OM_UIE_30_34_HW_49mor,OM_UIE_30_34_HW_NS,OM_UIE_30_34_Tot,OM_UIE_35_39_HW_0,OM_UIE_35_39_HW_1_15,OM_UIE_35_39_HW_16_24,OM_UIE_35_39_HW_25_34,OM_UIE_35_39_HW_35_39,OM_UIE_35_39_HW_40,OM_UIE_35_39_HW_41_48,OM_UIE_35_39_HW_49mor,OM_UIE_35_39_HW_NS,OM_UIE_35_39_Tot,OM_UIE_40_44_HW_0,OM_UIE_40_44_HW_1_15,OM_UIE_40_44_HW_16_24,OM_UIE_40_44_HW_25_34,OM_UIE_40_44_HW_35_39,OM_UIE_40_44_HW_40,OM_UIE_40_44_HW_41_48,OM_UIE_40_44_HW_49mor,OM_UIE_40_44_HW_NS,OM_UIE_40_44_Tot,OM_UIE_45_49_HW_0,OM_UIE_45_49_HW_1_15,OM_UIE_45_49_HW_16_24,OM_UIE_45_49_HW_25_34,OM_UIE_45_49_HW_35_39,OM_UIE_45_49_HW_40,OM_UIE_45_49_HW_41_48,OM_UIE_45_49_HW_49mor,OM_UIE_45_49_HW_NS,OM_UIE_45_49_Tot,OM_UIE_50_54_HW_0,OM_UIE_50_54_HW_1_15,OM_UIE_50_54_HW_16_24,OM_UIE_50_54_HW_25_34,OM_UIE_50_54_HW_35_39,OM_UIE_50_54_HW_40,OM_UIE_50_54_HW_41_48,OM_UIE_50_54_HW_49mor,OM_UIE_50_54_HW_NS,OM_UIE_50_54_Tot,OM_UIE_55_59_HW_0,OM_UIE_55_59_HW_1_15,OM_UIE_55_59_HW_16_24,OM_UIE_55_59_HW_25_34,OM_UIE_55_59_HW_35_39,OM_UIE_55_59_HW_40,OM_UIE_55_59_HW_41_48,OM_UIE_55_59_HW_49mor,OM_UIE_55_59_HW_NS,OM_UIE_55_59_Tot,OM_UIE_60_64_HW_0,OM_UIE_60_64_HW_1_15,OM_UIE_60_64_HW_16_24,OM_UIE_60_64_HW_25_34,OM_UIE_60_64_HW_35_39,OM_UIE_60_64_HW_40,OM_UIE_60_64_HW_41_48,OM_UIE_60_64_HW_49mor,OM_UIE_60_64_HW_NS,OM_UIE_60_64_Tot,OM_UIE_65_69_HW_0,OM_UIE_65_69_HW_1_15,OM_UIE_65_69_HW_16_24,OM_UIE_65_69_HW_25_34,OM_UIE_65_69_HW_35_39,OM_UIE_65_69_HW_40,OM_UIE_65_69_HW_41_48,OM_UIE_65_69_HW_49mor,OM_UIE_65_69_HW_NS,OM_UIE_65_69_Tot,OM_UIE_70_74_HW_0,OM_UIE_70_74_HW_1_15,OM_UIE_70_74_HW_16_24,OM_UIE_70_74_HW_25_34,OM_UIE_70_74_HW_35_39,OM_UIE_70_74_HW_40,OM_UIE_70_74_HW_41_48,OM_UIE_70_74_HW_49mor,OM_UIE_70_74_HW_NS,OM_UIE_70_74_Tot
101021007,0,0,0,3,0,3,0,4,0,15,0,0,3,0,0,0,0,4,0,8,4,0,0,0,0,3,4,4,0,21,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,7,4,7,3,17,8,38,4,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,4,0,10,3,0,0,4,3,7,3,3,0,15,0,0,3,0,0,5,0,6,0,20,3,4,7,0,3,4,0,16,0,32,0,3,0,0,0,3,3,8,0,26,3,3,3,0,0,8,0,10,0,32,0,0,5,3,3,3,3,17,0,36,0,10,7,3,0,4,0,10,0,29,0,3,5,3,0,0,0,7,0,18
101021008,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,9,0,5,0,3,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,3,3,5,9,4,17,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,7,0,0,0,5,0,3,3,3,0,11,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,3,0,7,0,3,3,4,4,4,3,3,0,20,0,0,0,0,4,0,0,3,0,10,0,4,0,3,0,0,0,3,0,16,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3
101021009,0,0,3,4,0,11,3,22,0,46,0,0,3,4,3,3,7,10,0,31,0,3,0,0,0,12,4,11,0,31,3,0,3,4,0,7,3,10,0,30,0,0,0,0,0,0,4,3,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,15,16,24,25,61,30,114,3,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,3,0,8,0,3,4,0,21,0,4,3,3,6,7,3,9,0,28,0,3,0,0,4,7,3,8,0,26,0,11,4,3,3,3,0,3,0,27,0,3,0,3,0,7,5,13,0,38,0,4,3,3,0,3,0,10,0,32,0,4,4,3,4,7,0,0,0,30,0,0,0,3,0,3,0,5,0,21,5,3,0,6,0,3,0,3,0,17,0,0,6,0,0,0,3,3,0,12
101021010,0,0,0,3,0,5,0,18,0,34,0,0,0,0,6,18,6,20,0,52,0,0,0,0,0,9,3,9,0,25,0,0,0,0,0,3,0,15,0,27,0,0,3,0,0,4,0,4,0,18,0,4,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,10,12,9,25,61,19,123,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,6,0,13,0,0,0,3,0,3,0,0,0,14,0,0,0,0,3,0,0,4,0,13,0,0,0,3,0,0,0,0,0,4,0,3,0,3,0,3,0,13,0,24,0,0,3,0,0,0,0,13,0,22,0,0,0,3,0,4,0,5,0,11,0,0,0,0,0,3,0,0,0,14,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
101021011,3,3,0,8,4,12,3,22,0,53,0,3,4,3,5,12,3,27,0,56,0,4,3,0,4,4,6,14,0,36,0,9,0,7,3,9,3,5,0,42,3,6,3,4,3,0,0,3,0,21,0,3,3,3,0,3,0,6,0,16,0,0,0,0,0,0,0,3,0,6,8,35,28,39,30,77,29,121,0,369,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,9,0,3,0,3,0,3,5,4,0,18,0,3,0,3,3,0,3,8,0,27,0,6,0,3,0,3,0,4,0,23,0,3,0,3,3,4,3,3,0,24,0,11,6,10,4,11,8,15,0,68,4,10,4,10,9,16,5,9,0,59,0,3,9,9,3,3,0,18,0,50,4,12,5,9,3,10,4,11,0,55,0,9,6,4,3,5,3,8,0,36,0,3,3,3,0,3,0,3,0,24
101021012,0,0,0,3,3,18,6,25,0,60,0,0,3,3,3,4,4,23,0,42,0,4,3,0,4,16,3,17,3,47,0,0,0,3,0,3,3,8,0,18,0,3,3,0,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,12,16,27,25,64,23,128,3,308,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,5,4,0,23,0,3,0,3,3,6,0,6,0,23,0,0,7,9,3,8,4,3,0,34,0,0,0,0,4,9,3,5,0,26,0,3,0,3,8,12,3,5,0,30,0,0,5,3,0,3,0,6,3,20,0,5,3,3,0,9,0,9,0,28,0,6,0,0,0,0,0,4,0,8,0,3,0,0,0,0,0,0,0,3
101031013,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,3,0,7,0,10,0,3,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,5,0,9,3,0,3,0,0,0,3,3,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,6,8,0,5,17,4,30,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,3,0,0,5,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,5,8,0,21,0,0,0,0,0,3,0,8,0,17,0,3,0,3,0,0,0,7,0,17,0,4,0,0,0,0,3,11,0,30,0,3,3,0,0,0,0,14,0,24,0,0,0,0,0,0,0,8,0,9
101031014,0,0,0,0,0,3,0,19,0,31,0,0,0,0,8,9,5,17,0,35,0,0,0,3,0,6,4,17,0,32,0,0,4,6,0,4,0,6,4,25,0,3,0,0,0,9,0,3,0,16,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,8,8,16,17,41,19,92,4,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,12,0,0,0,3,3,4,0,10,0,22,0,4,3,4,0,5,3,6,0,32,0,4,0,0,0,0,7,13,0,32,0,0,0,0,4,10,0,15,0,42,0,10,0,7,4,5,0,15,0,37,4,3,0,3,3,11,9,20,0,39,0,3,0,3,0,9,0,15,0,32,0,3,0,3,0,3,0,3,0,13,0,4,0,0,0,3,0,4,0,14
101031015,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,4,0,8,0,6,0,0,0,3,0,3,0,6,0,18,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,6,4,10,0,11,0,34,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,12,0,0,0,0,0,0,0,3,0,4,3,0,3,3,0,0,0,10,0,23,0,0,0,3,0,5,0,5,0,20,0,4,0,3,4,5,3,13,0,30,0,7,0,0,0,3,0,8,0,20,0,0,4,3,0,0,3,8,0,22,0,3,3,0,0,9,0,11,0,23,0,3,0,3,0,3,0,3,0,21
101031016,0,0,0,3,0,17,3,29,4,58,0,3,8,3,0,10,0,33,0,51,0,0,0,0,0,6,0,29,3,47,0,3,0,3,0,5,0,12,0,25,0,3,3,0,0,5,0,3,0,15,0,0,3,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,4,3,20,25,9,11,55,18,158,6,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,7,3,3,0,15,3,0,0,0,0,4,3,8,0,21,0,3,3,9,3,9,3,9,0,34,3,3,9,11,4,3,4,24,0,53,0,3,0,7,4,11,4,20,4,58,3,8,0,3,3,9,6,29,0,59,0,3,3,5,3,8,9,25,4,59,3,6,3,4,5,3,0,16,0,48,0,4,0,9,3,3,0,5,0,28,0,0,0,4,0,0,0,5,0,12
