SA2_MAINCODE_2016,M_AgFF_H_0,M_AgFF_H_1_15,M_AgFF_H_16_24,M_AgFF_H_25_34,M_AgFF_H_35_39,M_AgFF_H_40,M_AgFF_H_41_48,M_AgFF_H_49_more,M_AgFF_H_NS,M_AgFF_H_Tot,M_Min_H_0,M_Min_H_1_15,M_Min_H_16_24,M_Min_H_25_34,M_Min_H_35_39,M_Min_H_40,M_Min_H_41_48,M_Min_H_49_more,M_Min_H_NS,M_Min_H_Tot,M_Mnf_H_0,M_Mnf_H_1_15,M_Mnf_H_16_24,M_Mnf_H_25_34,M_Mnf_H_35_39,M_Mnf_H_40,M_Mnf_H_41_48,M_Mnf_H_49_more,M_Mnf_H_NS,M_Mnf_H_Tot,M_EGWWS_H_0,M_EGWWS_H_1_15,M_EGWWS_H_16_24,M_EGWWS_H_25_34,M_EGWWS_H_35_39,M_EGWWS_H_40,M_EGWWS_H_41_48,M_EGWWS_H_49_more,M_EGWWS_H_NS,M_EGWWS_H_Tot,M_Const_H_0,M_Const_H_1_15,M_Const_H_16_24,M_Const_H_25_34,M_Const_H_35_39,M_Const_H_40,M_Const_H_41_48,M_Const_H_49_more,M_Const_H_NS,M_Const_H_Tot,M_WST_H_0,M_WST_H_1_15,M_WST_H_16_24,M_WST_H_25_34,M_WST_H_35_39,M_WST_H_40,M_WST_H_41_48,M_WST_H_49_more,M_WST_H_NS,M_WST_H_Tot,M_RetT_H_0,M_RetT_H_1_15,M_RetT_H_16_24,M_RetT_H_25_34,M_RetT_H_35_39,M_RetT_H_40,M_RetT_H_41_48,M_RetT_H_49_more,M_RetT_H_NS,M_RetT_H_Tot,M_AcFd_H_0,M_AcFd_H_1_15,M_AcFd_H_16_24,M_AcFd_H_25_34,M_AcFd_H_35_39,M_AcFd_H_40,M_AcFd_H_41_48,M_AcFd_H_49_more,M_AcFd_H_NS,M_AcFd_H_Tot,M_TPW_H_0,M_TPW_H_1_15,M_TPW_H_16_24,M_TPW_H_25_34,M_TPW_H_35_39,M_TPW_H_40,M_TPW_H_41_48,M_TPW_H_49_more,M_TPW_H_NS,M_TPW_H_Tot,M_IMT_H_0,M_IMT_H_1_15,M_IMT_H_16_24,M_IMT_H_25_34,M_IMT_H_35_39,M_IMT_H_40,M_IMT_H_41_48,M_IMT_H_49_more,M_IMT_H_NS,M_IMT_H_Tot,M_FinIns_H_0,M_FinIns_H_1_15,M_FinIns_H_16_24,M_FinIns_H_25_34,M_FinIns_H_35_39,M_FinIns_H_40,M_FinIns_H_41_48,M_FinIns_H_49_more,M_FinIns_H_NS,M_FinIns_H_Tot,M_RHRE_H_0,M_RHRE_H_1_15,M_RHRE_H_16_24,M_RHRE_H_25_34,M_RHRE_H_35_39,M_RHRE_H_40,M_RHRE_H_41_48,M_RHRE_H_49_more,M_RHRE_H_NS,M_RHRE_H_Tot,M_ProSTS_H_0,M_ProSTS_H_1_15,M_ProSTS_H_16_24,M_ProSTS_H_25_34,M_ProSTS_H_35_39,M_ProSTS_H_40,M_ProSTS_H_41_48,M_ProSTS_H_49_more,M_ProSTS_H_NS,M_ProSTS_H_Tot,M_AdSup_H_0,M_AdSup_H_1_15,M_AdSup_H_16_24,M_AdSup_H_25_34,M_AdSup_H_35_39,M_AdSup_H_40,M_AdSup_H_41_48,M_AdSup_H_49_more,M_AdSup_H_NS,M_AdSup_H_Tot,M_PubAS_H_0,M_PubAS_H_1_15,M_PubAS_H_16_24,M_PubAS_H_25_34,M_PubAS_H_35_39,M_PubAS_H_40,M_PubAS_H_41_48,M_PubAS_H_49_more,M_PubAS_H_NS,M_PubAS_H_Tot,M_EdTrn_H_0,M_EdTrn_H_1_15,M_EdTrn_H_16_24,M_EdTrn_H_25_34,M_EdTrn_H_35_39,M_EdTrn_H_40,M_EdTrn_H_41_48,M_EdTrn_H_49_more,M_EdTrn_H_NS,M_EdTrn_H_Tot,M_HltHC_SA_H_0,M_HltHC_SA_H_1_15,M_HltHC_SA_H_16_24,M_HltHC_SA_H_25_34,M_HltHC_SA_H_35_39,M_HltHC_SA_H_40,M_HltHC_SA_H_41_48,M_HltHC_SA_H_49_more,M_HltHC_SA_H_NS,M_HltHC_SA_H_Tot,M_ArtsR_H_0,M_ArtsR_H_1_15,M_ArtsR_H_16_24,M_ArtsR_H_25_34,M_ArtsR_H_35_39,M_ArtsR_H_40,M_ArtsR_H_41_48,M_ArtsR_H_49_more,M_ArtsR_H_NS,M_ArtsR_H_Tot,M_OthSvs_H_0,M_OthSvs_H_1_15,M_OthSvs_H_16_24,M_OthSvs_H_25_34,M_OthSvs_H_35_39,M_OthSvs_H_40,M_OthSvs_H_41_48,M_OthSvs_H_49_more,M_OthSvs_H_NS,M_OthSvs_H_Tot,M_IDNS_H_0,M_IDNS_H_1_15,M_IDNS_H_16_24,M_IDNS_H_25_34,M_IDNS_H_35_39,M_IDNS_H_40,M_IDNS_H_41_48,M_IDNS_H_49_more,M_IDNS_H_NS,M_IDNS_H_Tot
101021007,3,15,15,13,5,21,10,74,4,161,0,0,0,0,0,3,3,3,0,7,0,5,5,0,6,8,3,4,0,32,0,0,0,0,0,8,0,0,0,13,3,4,3,9,11,18,18,10,0,75,0,0,0,0,0,0,0,10,0,8,0,3,3,0,0,7,0,10,0,24,0,7,0,3,0,0,6,8,0,26,0,3,3,0,0,3,0,6,0,20,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,5,0,8,3,3,0,8,3,0,3,25,0,3,0,0,0,0,0,3,0,7,0,0,0,0,5,3,7,3,0,25,0,3,0,6,3,3,0,7,0,27,0,0,0,0,3,0,0,0,0,9,0,0,0,3,0,3,3,7,0,17,0,6,3,0,0,0,0,5,0,22,3,3,0,3,0,0,0,5,9,28
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,10,0,0,0,0,0,3,0,0,0,4,0,3,3,3,10,30,10,19,3,74,0,0,0,0,0,0,0,4,0,9,0,9,4,3,10,3,0,9,0,44,0,3,3,3,3,3,0,0,0,23,0,3,3,0,0,6,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,10,0,3,4,0,3,3,0,0,0,12,0,0,0,0,8,8,0,4,0,15,5,3,5,5,11,8,10,11,0,68,0,4,3,4,4,0,0,0,0,18,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,8,3,0,3,6,0,0,0,24
101021009,0,0,0,0,4,3,0,0,0,9,0,0,0,0,0,0,4,4,0,6,3,9,0,5,32,40,15,33,0,133,0,4,0,5,29,31,5,11,0,84,7,12,14,23,63,140,69,102,3,428,0,5,0,0,11,8,10,17,0,51,11,46,32,35,60,30,13,36,0,263,4,45,19,21,25,25,9,23,0,172,0,3,3,3,19,22,14,24,3,90,0,0,0,3,0,5,0,3,0,16,0,0,0,0,3,8,4,0,0,19,0,0,0,0,4,12,6,22,0,44,4,3,6,8,17,19,16,33,0,101,0,3,4,6,12,10,3,10,0,50,17,24,14,21,186,71,55,62,0,450,0,10,9,5,18,14,8,13,4,82,3,20,25,41,38,35,27,30,0,216,0,6,4,0,7,0,6,8,0,29,0,9,6,7,29,16,25,23,0,127,3,13,3,5,32,35,11,28,33,159
101021010,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,12,5,7,11,7,90,98,64,114,3,403,3,0,3,0,9,7,8,7,0,37,11,3,10,10,75,166,87,140,6,511,3,0,0,4,17,16,20,16,0,79,0,14,6,13,17,19,13,23,0,112,0,58,17,15,13,12,4,8,4,135,7,10,12,33,22,30,17,46,0,183,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,10,8,15,0,40,4,0,7,11,7,29,17,10,0,83,0,4,0,8,14,5,3,4,0,42,0,0,3,8,29,20,13,12,0,83,0,5,3,0,0,7,0,3,0,15,0,0,0,0,3,3,0,0,0,11,0,5,0,0,4,3,0,0,0,14,6,5,0,4,28,35,24,39,0,142,0,5,5,4,13,26,17,24,19,115
101021011,8,20,13,19,9,30,10,55,3,172,3,0,3,0,0,9,7,30,0,47,3,0,3,7,8,12,10,11,3,47,3,3,0,0,9,11,10,12,0,43,6,12,6,16,43,92,48,110,3,340,0,5,3,0,4,8,0,4,0,19,0,24,3,9,3,11,4,10,0,60,3,17,3,4,13,9,9,17,0,82,4,0,8,4,6,13,0,10,3,48,0,0,4,3,5,3,0,0,0,18,0,0,0,0,3,3,0,7,0,13,0,0,0,0,0,0,4,4,0,16,4,16,11,10,17,24,11,23,0,125,3,7,0,3,13,7,0,12,0,51,9,8,6,5,55,119,145,167,6,515,3,6,0,3,10,3,0,3,0,34,0,0,0,4,0,0,5,3,0,11,0,3,0,4,3,0,0,4,0,20,0,3,4,7,4,16,4,7,0,37,0,12,7,15,7,9,4,21,12,85
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,4,35,50,40,56,0,201,0,0,0,0,3,10,6,15,0,45,13,8,6,22,59,162,89,149,5,513,0,0,3,3,7,7,8,12,0,38,3,18,8,15,13,24,4,8,0,85,0,15,0,3,4,6,3,5,0,33,3,4,3,10,24,15,13,43,0,111,0,3,0,0,3,0,3,4,0,13,0,4,0,0,0,5,0,0,0,9,0,0,0,0,3,3,0,5,0,17,4,9,6,6,12,11,10,18,3,76,0,3,3,0,3,0,0,0,0,15,4,0,3,0,3,6,4,4,0,26,3,5,0,0,4,3,0,0,0,24,0,0,7,3,7,5,3,3,0,30,0,4,0,0,0,0,0,0,0,8,3,0,3,0,17,26,9,17,0,79,3,3,3,7,13,29,13,22,12,98
101031013,10,5,15,10,18,24,26,109,3,219,0,0,0,0,0,0,0,0,0,0,0,3,0,4,15,12,32,19,0,82,0,0,0,0,0,3,0,4,0,8,4,0,3,0,6,7,3,9,3,38,0,0,0,0,0,4,0,3,0,8,0,3,0,0,3,3,3,6,0,18,0,3,3,3,0,0,0,3,0,20,0,4,3,0,3,4,7,22,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,10,0,4,0,0,0,0,0,0,0,4,0,3,0,3,19,4,4,8,0,39,0,0,0,0,3,0,0,4,0,13,0,0,3,0,0,5,0,3,0,16,0,0,0,0,0,0,0,0,0,5,0,3,0,0,5,7,3,3,0,20,0,3,0,0,9,4,6,0,7,28
101031014,4,3,7,6,7,11,0,24,0,59,0,0,0,0,0,0,0,0,0,0,0,3,13,10,12,12,11,12,0,83,10,3,3,7,61,42,31,30,0,174,8,7,3,15,34,43,20,24,0,148,0,5,4,4,8,12,7,18,0,58,7,16,23,27,44,19,18,49,0,203,3,39,19,19,14,17,4,19,0,131,3,0,13,12,11,16,11,27,0,89,0,4,0,0,0,8,7,0,0,20,0,0,0,0,3,0,3,0,0,7,0,3,4,4,0,6,0,19,0,35,3,6,4,0,8,13,7,16,0,63,0,6,3,8,4,3,0,6,0,27,14,7,3,8,83,35,20,20,4,189,0,16,6,6,10,6,6,14,0,74,6,8,8,10,20,13,3,14,0,75,0,0,0,0,3,4,0,0,0,9,0,5,0,3,14,31,10,16,3,84,5,6,0,4,14,3,7,5,17,61
101031015,3,13,9,23,23,34,17,101,0,227,0,0,0,0,0,0,0,3,0,6,0,0,0,3,3,0,0,4,0,7,0,0,0,0,0,0,3,4,0,8,4,6,0,3,5,16,11,6,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,11,0,4,3,0,6,5,0,10,0,25,0,4,0,0,4,4,0,7,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,3,0,6,3,4,3,3,0,3,3,4,4,22
101031016,4,0,8,19,12,27,12,55,4,135,0,0,0,0,0,0,0,0,0,5,0,8,7,4,7,6,8,6,3,49,0,3,0,0,13,8,13,11,0,54,13,4,13,19,16,24,21,31,3,147,0,4,0,0,0,8,0,5,0,28,0,9,8,12,24,13,9,34,0,106,4,37,33,85,144,90,103,255,9,765,3,3,7,3,11,16,7,17,0,73,0,3,3,0,0,3,0,4,0,13,0,0,0,0,0,0,0,3,0,4,3,6,3,9,16,13,9,15,6,76,0,7,11,3,3,5,4,13,0,45,0,10,4,19,10,7,0,8,3,63,3,0,0,8,37,17,14,22,0,101,0,13,8,26,18,11,10,27,0,114,0,0,3,0,0,4,0,9,0,16,5,22,19,55,117,64,65,102,8,460,0,3,3,4,6,15,10,17,4,62,3,9,4,9,11,13,9,19,20,94
