SA2_MAINCODE_2016,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20more_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20more_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20more_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20more_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20more_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20more_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20more_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20more_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20more_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20more_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20more_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20more_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20more_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20more_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20more_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20more_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20more_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20more_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20more_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20more_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20more_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20more_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20more_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20more_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20more_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20more_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20more_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20more_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20more_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20more_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
101021007,11,26,0,0,38,6,10,0,0,13,3,4,0,0,12,0,0,0,0,0,5,5,0,0,12,3,0,0,0,9,3,6,0,0,10,0,0,0,0,6,0,0,0,0,0,36,54,0,3,88,71,32,0,0,103,45,5,0,0,56,34,7,0,0,36,9,3,0,0,8,6,3,0,0,8,6,4,0,0,15,4,0,0,0,4,17,0,0,3,20,0,0,0,0,0,195,55,0,3,259,83,55,3,0,142,57,14,0,0,69,34,8,0,0,45,9,3,0,0,8,9,9,0,0,15,15,5,0,0,16,13,6,0,0,14,17,7,0,0,25,3,0,0,0,3,230,107,3,7,345
101021008,3,9,0,0,10,3,0,0,0,3,5,6,0,0,15,0,0,0,0,0,4,0,0,0,11,0,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,23,0,0,51,0,7,0,0,11,10,0,0,0,9,19,4,0,0,24,23,0,0,0,28,3,0,0,0,3,3,0,0,0,3,3,7,0,0,8,4,0,0,0,6,3,0,0,0,3,76,16,0,0,89,4,16,0,0,22,17,0,0,0,14,28,7,0,0,38,23,0,0,0,28,13,0,0,0,13,3,3,0,0,6,3,7,0,0,10,6,3,0,0,11,3,0,0,0,5,97,42,0,0,138
101021009,17,58,12,4,90,18,33,3,0,58,23,39,0,0,67,9,10,0,0,14,4,19,3,0,25,3,15,0,0,24,3,3,0,0,9,5,8,0,0,8,0,4,0,0,3,76,189,20,5,292,7,19,0,0,28,43,14,4,0,57,36,31,0,0,66,24,5,0,0,31,15,3,0,0,19,5,3,0,0,10,13,3,0,0,11,27,8,0,0,28,3,0,0,0,3,168,75,3,0,252,22,78,12,4,120,57,46,6,3,118,58,73,3,0,133,34,13,0,0,43,18,26,3,0,44,8,18,0,0,30,19,4,0,0,24,28,11,0,0,41,3,4,0,0,8,247,270,23,6,551
101021010,6,73,14,0,96,7,4,0,0,9,20,59,4,0,87,0,4,0,0,4,4,26,3,0,32,4,5,0,0,15,0,0,0,0,4,4,6,0,0,13,0,5,0,0,4,45,186,21,0,260,8,8,0,0,16,12,4,0,0,18,34,8,0,0,48,3,0,0,0,3,8,0,0,0,8,4,3,0,0,6,5,0,0,0,6,8,0,0,0,11,0,0,0,0,0,85,27,3,0,119,11,87,11,0,115,21,10,0,0,23,59,68,4,0,129,3,4,0,0,9,14,26,0,0,41,5,8,0,0,15,7,5,0,0,12,12,12,0,0,25,0,5,0,0,8,130,220,19,3,380
101021011,44,74,3,0,115,46,28,0,3,72,30,27,5,0,59,5,3,0,0,7,16,34,0,4,59,3,10,0,0,10,3,14,0,0,19,3,11,0,3,14,0,5,0,0,3,148,198,7,13,369,80,36,0,3,118,72,10,0,0,77,78,24,0,0,103,19,0,0,0,22,15,10,0,0,28,5,0,0,0,12,6,7,0,0,14,22,10,0,0,32,7,0,0,0,10,303,99,0,11,409,125,103,3,3,238,111,34,0,4,151,108,52,5,3,165,24,4,0,0,28,32,49,0,4,83,13,13,0,0,18,11,19,0,0,27,22,14,0,4,43,6,4,0,0,16,455,298,8,19,779
101021012,9,67,24,0,102,21,22,0,0,39,26,41,3,0,72,3,0,0,0,3,24,25,3,0,47,0,5,0,0,5,8,13,0,0,16,3,8,0,0,9,0,0,3,0,5,93,179,37,0,308,11,6,3,0,21,41,0,0,0,46,51,17,0,3,69,11,3,0,0,15,11,13,0,0,23,7,0,0,0,7,4,3,0,0,8,13,4,0,0,10,0,0,0,0,3,146,48,3,5,201,17,70,27,0,118,62,18,0,0,89,72,58,3,3,142,18,3,0,0,24,32,38,4,0,72,7,3,0,0,9,8,14,0,0,23,13,10,0,0,23,3,0,3,0,5,243,222,40,5,504
101031013,3,26,0,0,33,0,0,0,0,3,3,0,0,0,7,0,3,0,0,3,0,3,0,0,9,0,4,0,0,3,3,8,0,0,9,0,0,3,0,3,0,0,0,0,0,16,50,3,0,73,54,38,0,0,100,3,3,0,0,7,11,4,0,0,17,6,0,0,0,6,0,4,0,0,5,3,3,0,0,7,8,0,0,0,7,3,3,0,0,5,5,3,0,0,4,85,58,0,4,144,62,71,0,0,135,3,4,0,0,8,11,5,0,0,17,6,3,0,0,7,5,4,0,0,10,4,8,0,0,13,10,12,0,0,19,3,4,3,0,7,5,3,0,0,4,99,109,3,4,220
101031014,6,45,9,3,68,3,32,0,0,35,6,14,0,0,25,0,0,0,0,6,3,18,0,0,25,3,21,3,0,24,3,0,0,0,4,4,8,0,0,10,0,0,0,0,0,38,134,22,5,199,34,45,0,3,89,26,14,3,0,41,57,30,0,0,89,15,3,0,0,18,3,8,0,0,11,0,3,0,0,5,6,3,0,0,10,16,6,0,0,20,4,0,0,0,4,163,116,6,5,284,48,96,9,5,159,29,40,6,4,74,61,42,0,0,110,11,10,0,0,26,10,18,3,0,31,6,19,6,0,33,14,6,0,0,15,19,15,0,0,36,4,4,0,0,7,198,248,26,14,487
101031015,10,23,0,0,35,5,3,0,0,4,8,3,0,0,13,0,0,0,0,0,3,8,0,0,16,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,30,37,0,0,76,66,69,0,3,133,9,0,0,0,9,14,7,0,0,26,7,0,0,0,7,5,3,0,0,6,4,0,0,0,4,3,0,0,0,3,10,3,0,0,12,0,0,0,0,0,117,76,0,8,196,73,88,0,3,167,15,3,0,0,18,25,9,0,0,36,9,0,0,0,9,6,10,0,0,17,4,0,0,0,4,5,0,0,0,10,10,3,0,0,15,0,0,0,0,0,148,114,0,8,269
101031016,27,101,15,0,143,11,17,0,0,36,9,27,3,0,38,4,7,0,0,7,6,24,0,0,30,0,15,3,0,20,3,5,3,0,8,0,6,5,0,9,3,4,0,0,9,57,211,32,0,305,72,83,0,3,161,28,10,0,3,40,67,17,0,4,79,25,5,0,0,30,7,3,0,0,12,14,9,0,0,29,19,0,0,0,19,18,6,0,3,31,9,0,0,0,12,259,137,0,12,416,102,188,15,3,306,42,29,0,3,77,71,44,3,4,121,24,11,0,0,37,14,28,0,0,41,14,27,3,0,56,18,5,3,0,28,18,20,5,3,44,10,3,0,0,13,325,347,32,15,722
