SA2_MAINCODE_2016,TaTW_1000_1249_H_0,TaTW_1000_1249_H_1_15,TaTW_1000_1249_H_16_24,TaTW_1000_1249_H_25_34,TaTW_1000_1249_H_35_39,TaTW_1000_1249_H_40,TaTW_1000_1249_H_41_48,TaTW_1000_1249_H_49mo,TaTW_1000_1249_H_NS,TaTW_1000_1249_H_Tot,TaTW_1250_1499_H_0,TaTW_1250_1499_H_1_15,TaTW_1250_1499_H_16_24,TaTW_1250_1499_H_25_34,TaTW_1250_1499_H_35_39,TaTW_1250_1499_H_40,TaTW_1250_1499_H_41_48,TaTW_1250_1499_H_49mo,TaTW_1250_1499_H_NS,TaTW_1250_1499_H_Tot,TaTW_1500_1749_H_0,TaTW_1500_1749_H_1_15,TaTW_1500_1749_H_16_24,TaTW_1500_1749_H_25_34,TaTW_1500_1749_H_35_39,TaTW_1500_1749_H_40,TaTW_1500_1749_H_41_48,TaTW_1500_1749_H_49mo,TaTW_1500_1749_H_NS,TaTW_1500_1749_H_Tot,TaTW_1750_1999_H_0,TaTW_1750_1999_H_1_15,TaTW_1750_1999_H_16_24,TaTW_1750_1999_H_25_34,TaTW_1750_1999_H_35_39,TaTW_1750_1999_H_40,TaTW_1750_1999_H_41_48,TaTW_1750_1999_H_49mo,TaTW_1750_1999_H_NS,TaTW_1750_1999_H_Tot,TaTW_2000_2999_H_0,TaTW_2000_2999_H_1_15,TaTW_2000_2999_H_16_24,TaTW_2000_2999_H_25_34,TaTW_2000_2999_H_35_39,TaTW_2000_2999_H_40,TaTW_2000_2999_H_41_48,TaTW_2000_2999_H_49mo,TaTW_2000_2999_H_NS,TaTW_2000_2999_H_Tot,TaTW_3000mo_H_0,TaTW_3000mo_H_1_15,TaTW_3000mo_H_16_24,TaTW_3000mo_H_25_34,TaTW_3000mo_H_35_39,TaTW_3000mo_H_40,TaTW_3000mo_H_41_48,TaTW_3000mo_H_49mo,TaTW_3000mo_H_NS,TaTW_3000mo_H_Tot,TaTW_PINS_H_0,TaTW_PINS_H_1_15,TaTW_PINS_H_16_24,TaTW_PINS_H_25_34,TaTW_PINS_H_35_39,TaTW_PINS_H_40,TaTW_PINS_H_41_48,TaTW_PINS_H_49mo,TaTW_PINS_H_NS,TaTW_PINS_H_Tot,TaTW_Tot_H_0,TaTW_Tot_H_1_15,TaTW_Tot_H_16_24,TaTW_Tot_H_25_34,TaTW_Tot_H_35_39,TaTW_Tot_H_40,TaTW_Tot_H_41_48,TaTW_Tot_H_49mo,TaTW_Tot_H_NS,TaTW_Tot_H_Tot,CoPSW_NNI_H_0,CoPSW_NNI_H_1_15,CoPSW_NNI_H_16_24,CoPSW_NNI_H_25_34,CoPSW_NNI_H_35_39,CoPSW_NNI_H_40,CoPSW_NNI_H_41_48,CoPSW_NNI_H_49mo,CoPSW_NNI_H_NS,CoPSW_NNI_H_Tot,CoPSW_1_149_H_0,CoPSW_1_149_H_1_15,CoPSW_1_149_H_16_24,CoPSW_1_149_H_25_34,CoPSW_1_149_H_35_39,CoPSW_1_149_H_40,CoPSW_1_149_H_41_48,CoPSW_1_149_H_49mo,CoPSW_1_149_H_NS,CoPSW_1_149_H_Tot,CoPSW_150_299_H_0,CoPSW_150_299_H_1_15,CoPSW_150_299_H_16_24,CoPSW_150_299_H_25_34,CoPSW_150_299_H_35_39,CoPSW_150_299_H_40,CoPSW_150_299_H_41_48,CoPSW_150_299_H_49mo,CoPSW_150_299_H_NS,CoPSW_150_299_H_Tot,CoPSW_300_399_H_0,CoPSW_300_399_H_1_15,CoPSW_300_399_H_16_24,CoPSW_300_399_H_25_34,CoPSW_300_399_H_35_39,CoPSW_300_399_H_40,CoPSW_300_399_H_41_48,CoPSW_300_399_H_49mo,CoPSW_300_399_H_NS,CoPSW_300_399_H_Tot,CoPSW_400_499_H_0,CoPSW_400_499_H_1_15,CoPSW_400_499_H_16_24,CoPSW_400_499_H_25_34,CoPSW_400_499_H_35_39,CoPSW_400_499_H_40,CoPSW_400_499_H_41_48,CoPSW_400_499_H_49mo,CoPSW_400_499_H_NS,CoPSW_400_499_H_Tot,CoPSW_500_649_H_0,CoPSW_500_649_H_1_15,CoPSW_500_649_H_16_24,CoPSW_500_649_H_25_34,CoPSW_500_649_H_35_39,CoPSW_500_649_H_40,CoPSW_500_649_H_41_48,CoPSW_500_649_H_49mo,CoPSW_500_649_H_NS,CoPSW_500_649_H_Tot,CoPSW_650_799_H_0,CoPSW_650_799_H_1_15,CoPSW_650_799_H_16_24,CoPSW_650_799_H_25_34,CoPSW_650_799_H_35_39,CoPSW_650_799_H_40,CoPSW_650_799_H_41_48,CoPSW_650_799_H_49mo,CoPSW_650_799_H_NS,CoPSW_650_799_H_Tot,CoPSW_800_999_H_0,CoPSW_800_999_H_1_15,CoPSW_800_999_H_16_24,CoPSW_800_999_H_25_34,CoPSW_800_999_H_35_39,CoPSW_800_999_H_40,CoPSW_800_999_H_41_48,CoPSW_800_999_H_49mo,CoPSW_800_999_H_NS,CoPSW_800_999_H_Tot,CoPSW_1000_1249_H_0,CoPSW_1000_1249_H_1_15,CoPSW_1000_1249_H_16_24,CoPSW_1000_1249_H_25_34,CoPSW_1000_1249_H_35_39,CoPSW_1000_1249_H_40,CoPSW_1000_1249_H_41_48,CoPSW_1000_1249_H_49mo,CoPSW_1000_1249_H_NS,CoPSW_1000_1249_H_Tot,CoPSW_1250_1499_H_0,CoPSW_1250_1499_H_1_15,CoPSW_1250_1499_H_16_24,CoPSW_1250_1499_H_25_34,CoPSW_1250_1499_H_35_39,CoPSW_1250_1499_H_40,CoPSW_1250_1499_H_41_48,CoPSW_1250_1499_H_49mo,CoPSW_1250_1499_H_NS,CoPSW_1250_1499_H_Tot,CoPSW_1500_1749_H_0,CoPSW_1500_1749_H_1_15,CoPSW_1500_1749_H_16_24,CoPSW_1500_1749_H_25_34,CoPSW_1500_1749_H_35_39,CoPSW_1500_1749_H_40,CoPSW_1500_1749_H_41_48,CoPSW_1500_1749_H_49mo,CoPSW_1500_1749_H_NS,CoPSW_1500_1749_H_Tot,CoPSW_1750_1999_H_0,CoPSW_1750_1999_H_1_15,CoPSW_1750_1999_H_16_24,CoPSW_1750_1999_H_25_34,CoPSW_1750_1999_H_35_39,CoPSW_1750_1999_H_40,CoPSW_1750_1999_H_41_48,CoPSW_1750_1999_H_49mo,CoPSW_1750_1999_H_NS,CoPSW_1750_1999_H_Tot
101021007,0,0,0,3,0,3,3,0,0,15,0,0,0,0,3,3,0,0,0,12,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,16,15,17,12,28,17,15,0,123,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,5,0,0,3,0,4,0,0,0,0,9,0,0,0,3,0,3,0,0,0,10,0,0,0,3,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
101021008,0,0,0,0,3,0,0,0,0,5,0,0,0,4,0,8,3,0,0,12,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,6,11,14,30,13,13,3,102,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,12,0,6,3,3,0,0,0,0,0,13,0,7,6,0,0,0,0,0,0,12,0,4,8,0,0,0,0,0,0,13,0,7,6,5,0,7,0,0,0,22,0,0,0,11,7,4,0,0,0,18,0,0,0,3,6,0,0,5,0,24,0,0,0,3,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3
101021009,5,0,0,10,38,39,21,17,0,130,3,3,0,0,12,18,8,17,3,65,3,3,0,0,10,18,13,18,0,65,0,0,0,0,8,8,3,12,0,28,0,0,0,0,12,21,7,10,0,50,0,0,0,0,0,3,4,3,0,8,0,0,0,0,0,3,0,0,3,7,18,35,30,44,170,184,85,120,14,699,0,3,0,0,0,0,0,0,0,5,0,46,3,0,0,0,0,0,0,54,3,40,4,3,0,0,0,0,0,55,4,21,16,0,3,3,0,0,0,53,3,17,19,15,3,4,0,3,3,65,0,16,30,33,14,3,3,0,0,93,6,7,3,33,45,8,10,9,0,126,0,11,9,32,43,13,10,5,3,131,3,4,4,7,29,12,6,7,5,80,0,0,3,4,19,3,4,5,0,45,5,0,0,0,13,9,9,7,0,45,3,0,0,5,14,3,3,5,0,37
101021010,3,3,0,7,35,47,31,31,0,160,0,0,0,4,19,40,24,28,3,113,0,0,0,0,18,24,8,31,0,84,0,0,0,0,10,17,6,9,0,41,0,0,0,0,3,9,6,18,0,38,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,3,0,5,10,21,14,31,139,224,116,163,8,720,0,3,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,10,0,7,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,5,5,3,0,0,0,19,0,0,3,0,3,3,0,0,0,9,0,0,0,0,3,7,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
101021011,3,3,0,6,21,24,13,21,0,81,0,0,0,3,16,11,11,15,0,48,3,0,0,0,8,15,8,8,0,50,0,0,0,0,6,0,3,5,0,17,3,0,0,0,4,3,9,19,0,39,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,3,0,5,16,33,21,32,85,104,66,95,6,457,0,3,0,0,0,0,0,0,0,5,4,33,0,0,0,0,0,0,0,34,0,12,4,0,0,0,0,0,0,20,0,15,4,3,3,0,0,0,0,31,0,8,3,3,0,0,0,0,0,10,0,0,5,9,4,0,0,0,0,20,0,3,0,8,5,0,0,0,0,16,0,0,3,6,5,4,0,4,0,23,0,0,0,3,0,0,13,3,0,24,0,0,3,0,3,4,14,6,0,34,0,0,0,0,5,8,9,3,0,30,0,0,0,0,3,3,4,3,0,21
101021012,0,0,0,0,13,39,20,15,3,97,0,3,0,0,14,33,26,18,0,100,3,0,0,4,8,20,14,21,0,71,0,0,0,0,4,21,7,10,0,46,0,0,0,0,6,9,8,15,0,34,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,3,0,4,0,7,12,8,23,29,106,198,92,120,9,589,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,14,0,11,3,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,9,5,4,0,3,7,0,0,0,3,19,0,0,0,0,13,0,3,0,0,22,0,0,3,3,11,8,0,0,0,29,0,0,0,3,3,7,3,3,0,21,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
101031013,0,0,0,0,0,3,4,5,0,14,0,0,0,0,0,3,0,3,0,13,0,0,0,0,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,7,8,18,18,14,24,4,111,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0,4,4,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,4,8,0,0,0,0,0,18,0,0,3,10,3,3,0,0,0,15,0,0,0,7,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0
101031014,3,0,0,3,12,19,7,3,3,52,0,0,3,0,10,7,5,3,0,34,0,0,0,0,8,9,0,5,0,20,4,0,0,0,4,0,0,3,0,15,0,0,0,0,10,0,3,8,0,19,0,0,0,0,3,3,3,0,0,12,0,0,0,0,3,0,0,3,0,9,9,27,20,36,96,92,44,73,5,404,0,3,0,0,0,0,0,0,0,3,0,22,3,0,0,0,0,0,0,32,0,14,3,0,0,0,0,0,3,22,0,10,10,3,0,0,0,0,0,29,0,6,14,4,0,0,0,0,0,29,0,6,14,18,6,3,4,5,0,63,3,5,3,33,11,8,4,3,0,65,3,3,12,24,8,10,5,4,0,67,0,0,0,4,11,3,0,8,0,32,0,0,0,3,7,6,3,4,0,19,0,0,0,0,3,4,0,4,0,21,0,0,0,0,9,6,3,3,0,25
101031015,0,3,0,0,0,0,0,7,0,18,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,11,13,15,27,0,80,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,3,0,4,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,8,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031016,3,0,4,4,16,23,17,41,0,111,0,0,0,0,3,16,9,14,0,53,0,0,0,0,3,8,10,20,0,41,0,0,0,3,3,4,3,8,0,20,0,0,0,0,0,0,0,10,0,19,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,5,4,17,18,31,25,56,98,105,99,171,21,616,0,0,0,0,0,0,0,0,0,10,0,19,3,3,0,3,0,0,3,33,0,11,9,9,0,3,3,3,0,47,0,10,12,11,6,6,0,3,0,51,3,0,10,25,14,4,0,11,0,74,0,12,20,42,29,17,24,18,4,179,0,9,10,53,39,17,36,23,0,197,0,4,3,23,27,25,24,31,0,141,4,0,0,6,13,14,6,30,0,75,0,0,0,3,5,6,6,14,0,39,0,0,3,3,0,0,4,6,0,19,0,0,0,0,7,0,5,3,0,19
