SA2_MAINCODE_2016,OIDNS_2000_2999_H_0,OIDNS_2000_2999_H_1_15,OIDNS_2000_2999_H_16_24,OIDNS_2000_2999_H_25_34,OIDNS_2000_2999_H_35_39,OIDNS_2000_2999_H_40,OIDNS_2000_2999_H_41_48,OIDNS_2000_2999_H_49mo,OIDNS_2000_2999_H_NS,OIDNS_2000_2999_H_Tot,OIDNS_3000mo_H_0,OIDNS_3000mo_H_1_15,OIDNS_3000mo_H_16_24,OIDNS_3000mo_H_25_34,OIDNS_3000mo_H_35_39,OIDNS_3000mo_H_40,OIDNS_3000mo_H_41_48,OIDNS_3000mo_H_49mo,OIDNS_3000mo_H_NS,OIDNS_3000mo_H_Tot,OIDNS_PINS_H_0,OIDNS_PINS_H_1_15,OIDNS_PINS_H_16_24,OIDNS_PINS_H_25_34,OIDNS_PINS_H_35_39,OIDNS_PINS_H_40,OIDNS_PINS_H_41_48,OIDNS_PINS_H_49mo,OIDNS_PINS_H_NS,OIDNS_PINS_H_Tot,OIDNS_Tot_H_0,OIDNS_Tot_H_1_15,OIDNS_Tot_H_16_24,OIDNS_Tot_H_25_34,OIDNS_Tot_H_35_39,OIDNS_Tot_H_40,OIDNS_Tot_H_41_48,OIDNS_Tot_H_49mo,OIDNS_Tot_H_NS,OIDNS_Tot_H_Tot,Tot_NNI_H_0,Tot_NNI_H_1_15,Tot_NNI_H_16_24,Tot_NNI_H_25_34,Tot_NNI_H_35_39,Tot_NNI_H_40,Tot_NNI_H_41_48,Tot_NNI_H_49mo,Tot_NNI_H_NS,Tot_NNI_H_Tot,Tot_1_149_H_0,Tot_1_149_H_1_15,Tot_1_149_H_16_24,Tot_1_149_H_25_34,Tot_1_149_H_35_39,Tot_1_149_H_40,Tot_1_149_H_41_48,Tot_1_149_H_49mo,Tot_1_149_H_NS,Tot_1_149_H_Tot,Tot_150_299_H_0,Tot_150_299_H_1_15,Tot_150_299_H_16_24,Tot_150_299_H_25_34,Tot_150_299_H_35_39,Tot_150_299_H_40,Tot_150_299_H_41_48,Tot_150_299_H_49mo,Tot_150_299_H_NS,Tot_150_299_H_Tot,Tot_300_399_H_0,Tot_300_399_H_1_15,Tot_300_399_H_16_24,Tot_300_399_H_25_34,Tot_300_399_H_35_39,Tot_300_399_H_40,Tot_300_399_H_41_48,Tot_300_399_H_49mo,Tot_300_399_H_NS,Tot_300_399_H_Tot,Tot_400_499_H_0,Tot_400_499_H_1_15,Tot_400_499_H_16_24,Tot_400_499_H_25_34,Tot_400_499_H_35_39,Tot_400_499_H_40,Tot_400_499_H_41_48,Tot_400_499_H_49mo,Tot_400_499_H_NS,Tot_400_499_H_Tot,Tot_500_649_H_0,Tot_500_649_H_1_15,Tot_500_649_H_16_24,Tot_500_649_H_25_34,Tot_500_649_H_35_39,Tot_500_649_H_40,Tot_500_649_H_41_48,Tot_500_649_H_49mo,Tot_500_649_H_NS,Tot_500_649_H_Tot,Tot_650_799_H_0,Tot_650_799_H_1_15,Tot_650_799_H_16_24,Tot_650_799_H_25_34,Tot_650_799_H_35_39,Tot_650_799_H_40,Tot_650_799_H_41_48,Tot_650_799_H_49mo,Tot_650_799_H_NS,Tot_650_799_H_Tot,Tot_800_999_H_0,Tot_800_999_H_1_15,Tot_800_999_H_16_24,Tot_800_999_H_25_34,Tot_800_999_H_35_39,Tot_800_999_H_40,Tot_800_999_H_41_48,Tot_800_999_H_49mo,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_15,Tot_1000_1249_H_16_24,Tot_1000_1249_H_25_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40,Tot_1000_1249_H_41_48,Tot_1000_1249_H_49mo,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_15,Tot_1250_1499_H_16_24,Tot_1250_1499_H_25_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40,Tot_1250_1499_H_41_48,Tot_1250_1499_H_49mo,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_15,Tot_1500_1749_H_16_24,Tot_1500_1749_H_25_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40,Tot_1500_1749_H_41_48,Tot_1500_1749_H_49mo,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_15,Tot_1750_1999_H_16_24,Tot_1750_1999_H_25_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40,Tot_1750_1999_H_41_48,Tot_1750_1999_H_49mo,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_15,Tot_2000_2999_H_16_24,Tot_2000_2999_H_25_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40,Tot_2000_2999_H_41_48,Tot_2000_2999_H_49mo,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000mo_H_0,Tot_3000mo_H_1_15,Tot_3000mo_H_16_24,Tot_3000mo_H_25_34,Tot_3000mo_H_35_39,Tot_3000mo_H_40,Tot_3000mo_H_41_48,Tot_3000mo_H_49mo,Tot_3000mo_H_NS,Tot_3000mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_15,Tot_PINS_H_16_24,Tot_PINS_H_25_34,Tot_PINS_H_35_39,Tot_PINS_H_40,Tot_PINS_H_41_48,Tot_PINS_H_49mo,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_15,Tot_Tot_H_16_24,Tot_Tot_H_25_34,Tot_Tot_H_35_39,Tot_Tot_H_40,Tot_Tot_H_41_48,Tot_Tot_H_49mo,Tot_Tot_H_NS,Tot_Tot_H_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,3,3,0,3,0,0,15,25,0,3,6,0,0,0,0,16,0,27,0,27,3,4,0,3,0,3,4,42,3,23,8,9,3,0,0,13,5,59,3,18,8,6,5,6,3,20,3,71,3,17,22,12,5,9,4,23,0,89,6,16,22,20,11,19,6,17,0,119,3,5,20,32,16,16,8,15,0,113,0,3,13,21,19,25,13,16,0,113,6,11,3,9,14,30,26,32,0,127,0,7,5,10,10,16,4,25,0,72,4,0,0,7,8,9,10,19,0,62,3,0,0,4,4,6,10,10,0,41,3,6,3,3,8,8,9,10,0,48,0,0,3,0,0,3,4,8,0,25,0,5,0,4,0,0,0,5,11,32,40,142,127,134,106,148,92,233,29,1050
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,11,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0,0,0,0,41,0,19,7,6,0,0,0,0,0,38,3,15,12,4,4,0,0,6,0,42,0,16,18,3,3,3,0,0,0,48,3,11,18,16,7,7,0,3,0,68,3,10,8,23,18,12,3,3,0,88,0,4,5,19,16,12,3,20,0,88,0,12,4,3,22,18,6,11,7,93,3,3,0,13,22,13,5,14,0,86,0,0,0,9,5,14,5,9,0,58,3,0,0,4,15,21,13,18,0,74,3,0,3,0,8,11,7,21,0,55,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,3,3,0,0,15,23,130,90,110,128,128,63,107,7,796
101021009,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,0,0,0,6,16,3,9,3,6,19,17,9,6,28,104,6,7,3,0,0,3,3,4,3,25,13,185,14,0,0,0,0,4,3,222,10,119,40,16,9,0,0,0,0,196,8,75,63,20,12,9,0,7,12,205,3,55,99,55,26,19,9,11,6,278,7,54,99,118,59,35,12,9,11,416,20,46,54,126,197,70,42,40,8,602,20,34,56,96,246,153,65,86,11,768,25,12,47,69,243,164,80,98,8,745,18,10,18,48,152,118,64,84,5,511,13,9,22,43,100,110,53,87,0,443,14,0,6,14,83,86,34,64,4,315,22,6,11,18,112,104,77,123,0,468,3,5,0,14,11,28,24,63,7,149,5,9,6,3,14,12,0,3,14,61,193,634,529,647,1245,918,468,681,95,5418
101021010,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,4,6,3,3,3,15,35,3,4,4,0,0,0,0,3,0,15,3,104,8,0,0,0,0,0,3,132,0,40,17,8,0,3,0,0,0,67,4,23,21,7,8,4,0,3,3,76,3,19,21,20,12,8,4,5,0,94,6,10,21,29,34,28,8,9,0,153,5,7,17,38,101,60,32,23,9,305,13,5,22,51,109,118,60,50,6,443,16,15,8,29,108,138,85,97,4,500,8,4,7,6,67,88,56,92,7,327,0,3,4,0,37,55,33,71,0,204,0,0,0,4,15,26,24,55,0,134,3,3,3,3,7,28,23,85,3,156,3,0,3,8,0,10,3,39,0,65,3,9,0,3,3,12,4,8,8,42,74,254,160,205,505,570,351,542,45,2714
101021011,0,0,0,0,3,3,0,4,0,7,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,6,6,0,4,0,7,12,5,14,10,61,0,16,3,3,3,0,0,14,3,45,4,86,10,5,0,3,0,4,3,122,6,51,14,14,5,3,3,10,0,101,8,46,26,17,9,8,4,10,0,127,7,25,25,27,9,16,5,4,0,118,6,25,37,45,13,29,8,26,0,189,5,17,22,34,46,32,16,13,3,186,6,23,10,42,58,79,31,39,7,292,16,17,14,36,65,69,39,72,5,330,3,13,10,21,44,55,46,70,8,266,6,11,12,15,47,61,38,78,4,268,5,3,3,11,25,33,39,49,0,174,13,11,8,13,27,76,90,141,0,386,9,12,10,4,12,23,37,102,3,209,4,10,6,0,3,3,3,6,7,43,90,350,209,288,372,503,363,646,52,2863
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,6,3,3,9,33,3,3,0,0,0,0,0,0,0,12,0,55,10,0,0,0,0,0,3,71,0,49,6,4,0,3,0,3,0,72,0,25,18,14,3,0,0,0,0,69,0,18,22,20,7,10,3,0,6,91,3,17,13,30,25,22,5,20,7,148,4,10,16,29,55,29,16,19,3,182,6,10,14,26,69,81,32,38,0,281,8,12,7,20,64,96,58,53,3,322,3,4,9,12,39,68,43,68,3,250,6,0,7,20,12,59,44,72,0,214,3,4,3,8,14,42,24,50,0,144,9,3,0,3,12,39,20,61,0,147,0,0,3,4,3,6,14,41,3,81,0,3,0,0,8,6,0,5,3,25,48,221,138,188,311,479,255,433,40,2109
101031013,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6,3,0,0,3,0,3,5,6,27,0,3,0,0,3,3,4,5,3,20,0,23,3,4,0,0,0,0,0,31,0,16,4,3,0,3,0,12,0,47,3,13,8,5,7,4,8,3,0,48,4,16,20,5,4,5,4,6,4,64,0,9,28,20,11,10,8,12,0,101,6,11,15,24,16,17,9,27,0,124,5,3,5,14,33,25,24,36,4,154,5,6,4,8,24,10,29,48,3,144,6,5,6,4,15,12,11,33,0,97,3,3,0,0,16,12,13,29,0,74,0,0,0,9,8,10,9,22,0,46,3,0,0,0,8,5,3,19,0,41,0,0,0,3,0,0,3,9,0,21,0,3,3,0,0,6,3,4,0,20,45,104,106,105,142,121,121,257,24,1029
101031014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,4,3,3,7,3,7,8,15,47,0,12,0,0,4,3,0,3,3,23,9,106,15,7,0,0,0,0,3,141,7,70,27,15,3,9,3,8,5,144,4,49,39,25,8,3,3,10,6,152,11,38,66,40,30,17,8,25,0,234,12,45,75,98,53,31,17,44,6,383,12,24,55,122,119,61,27,41,9,467,19,9,35,73,146,84,51,70,6,495,18,12,20,36,118,79,43,67,9,399,9,3,14,26,74,53,32,47,0,259,12,3,3,15,49,50,22,41,3,195,7,6,3,7,37,41,23,42,0,174,7,3,0,7,59,24,36,50,0,182,6,3,4,3,6,27,9,32,0,98,5,10,8,5,8,7,3,10,4,61,140,398,351,472,719,488,282,503,66,3415
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,5,0,0,0,3,0,9,0,16,0,7,0,0,0,0,3,0,0,18,0,14,3,3,3,4,0,12,3,43,0,15,8,10,4,9,0,3,0,58,0,7,9,11,0,9,0,17,0,57,0,14,9,14,9,15,3,26,0,90,0,3,7,13,11,10,3,20,0,60,0,7,4,10,14,15,8,26,0,84,0,7,3,6,12,9,7,28,0,70,3,6,3,3,9,3,9,22,0,50,0,3,0,6,0,6,3,22,0,39,0,0,0,0,0,3,3,6,0,23,0,0,0,0,0,9,3,19,0,37,0,4,0,0,0,7,0,9,4,23,0,0,0,0,0,0,0,3,0,5,19,96,56,70,61,105,49,216,15,684
101031016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,8,3,11,0,3,12,5,4,12,25,75,0,8,4,3,3,0,3,10,3,42,13,77,18,14,9,4,0,8,8,149,7,48,31,26,11,12,9,19,3,157,4,47,47,47,29,20,7,25,8,239,4,33,50,68,52,30,12,50,9,302,11,49,72,151,140,68,60,96,11,658,5,28,47,152,199,99,108,101,15,751,11,16,27,64,138,114,133,174,12,681,13,15,21,38,98,105,86,189,12,567,4,3,13,17,44,61,49,102,7,302,8,8,10,14,32,38,24,87,6,227,8,0,0,8,23,33,16,54,4,149,7,6,5,3,23,25,14,76,0,158,3,0,8,6,4,8,0,44,0,70,0,17,7,10,15,3,11,17,20,87,94,353,346,611,812,619,533,1046,121,4532
