SA3_CODE_2016,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000mor_E,M_3000mor_OM_IE,M_3000mor_OM_UIE,M_3000mor_CFW,M_3000mor_ES_NS,M_3000mor_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000mor_E,F_3000mor_OM_IE,F_3000mor_OM_UIE,F_3000mor_CFW,F_3000mor_ES_NS,F_3000mor_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE
10102,18,3,7,36,0,64,252,3,23,11,4,285,146,9,27,14,3,201,151,26,47,19,7,245,209,32,57,12,3,304,372,43,68,13,11,507,559,54,85,15,8,722,962,102,104,17,8,1183,1075,136,98,22,14,1341,747,122,79,11,6,976,602,148,66,3,7,832,445,76,39,3,3,567,734,122,45,6,3,906,220,122,56,11,3,407,83,16,10,9,4,126,6562,1006,807,195,91,8660,27,0,3,29,0,66,305,3,19,22,3,351,249,12,48,27,3,338,270,21,40,17,7,352,331,17,51,17,0,411,471,34,64,12,3,592,669,21,53,6,9,757,676,47,56,15,9,808,643,45,58,18,4,765,464,25,41,8,7,543,343,41,21,6,3,420,271,18,12,4,5,313,278,38,30,5,0,347,68,35,13,3,0,125,73,5,9,9,10,95,5145,355,527,196,61,6287,44,3,16,65,0,127,554,9
10103,16,3,8,17,0,45,111,0,10,7,5,139,96,0,38,9,4,153,146,6,24,17,7,208,186,11,46,29,3,275,377,29,85,21,3,509,505,33,79,20,4,642,619,42,84,17,17,776,544,73,87,11,3,723,315,38,50,7,0,417,228,47,47,10,5,336,175,28,28,8,3,242,223,26,32,3,0,286,80,34,23,12,4,148,55,7,19,9,8,87,3683,392,646,200,64,4987,16,0,7,37,3,61,163,0,10,16,11,205,171,10,34,21,3,243,227,19,31,12,3,288,302,20,33,22,4,377,608,23,64,17,3,721,678,26,54,11,0,761,543,36,48,9,6,640,378,36,32,5,8,462,238,27,23,3,0,289,145,25,15,8,3,201,124,9,7,7,4,144,104,12,16,3,0,132,26,19,19,5,0,63,63,3,18,4,3,94,3784,259,399,180,51,4675,34,3,9,59,4,105,277,4
10104,29,6,16,33,6,93,324,14,41,28,7,415,237,28,117,37,14,423,295,40,150,37,18,541,439,47,165,32,21,696,751,109,235,23,26,1141,1100,127,234,29,16,1501,1369,146,244,22,20,1797,1178,156,226,12,24,1599,695,128,164,7,10,1004,489,113,87,7,3,698,423,44,58,0,3,531,380,88,70,9,13,554,132,73,71,8,3,283,143,25,23,12,22,220,7976,1140,1904,278,202,11494,29,6,17,62,4,119,551,11,47,38,14,653,543,29,118,45,15,747,678,26,118,48,19,887,1008,31,145,39,21,1238,1470,78,184,30,16,1783,1547,85,163,24,21,1836,1396,65,123,14,20,1625,1101,63,90,22,8,1286,625,52,59,10,4,753,453,53,36,4,4,548,309,13,31,3,0,361,263,31,13,8,0,315,54,22,30,4,4,112,161,14,18,13,16,213,10193,586,1180,365,160,12482,61,12,40,92,9,212,879,23
10105,22,3,10,35,3,78,165,3,12,16,3,198,135,13,29,29,6,212,151,12,41,21,3,230,191,15,65,32,12,307,311,38,104,33,10,496,518,50,96,35,10,707,761,61,102,18,7,950,779,92,108,15,10,1013,508,63,65,14,6,650,456,52,56,11,3,576,410,25,26,3,0,464,454,45,43,16,3,563,94,46,58,11,3,212,87,5,26,5,9,130,5029,522,847,286,92,6777,31,0,6,40,6,81,261,3,28,20,11,326,264,5,35,32,8,345,304,10,43,16,11,383,433,13,40,16,8,515,742,26,54,31,8,860,836,26,41,14,7,922,771,27,48,6,8,866,690,23,37,7,3,757,441,24,28,5,0,492,326,11,19,6,5,367,241,8,4,3,0,254,197,9,10,10,0,225,38,15,21,6,0,83,84,3,11,5,4,112,5659,217,426,217,80,6592,48,3,16,77,11,156,424,7
10106,16,0,22,43,0,79,145,3,19,25,0,186,111,11,28,44,7,201,116,26,56,28,6,222,173,14,85,34,3,307,307,44,109,41,16,514,523,59,99,34,6,724,668,71,138,35,21,923,553,73,129,27,5,789,299,59,78,20,10,468,244,58,70,22,3,397,180,44,40,16,3,280,205,51,61,14,7,337,74,79,53,14,8,232,66,9,13,17,5,117,3671,602,1001,403,101,5775,13,7,7,52,0,81,248,3,28,27,8,315,217,13,49,55,15,345,305,25,64,27,9,430,357,10,57,33,5,463,636,26,73,48,5,792,653,35,76,28,7,798,524,23,64,21,9,649,420,37,46,19,7,531,254,13,41,4,4,316,184,32,27,11,0,251,120,17,7,6,0,157,118,18,34,17,3,192,26,22,29,8,7,93,60,3,13,22,3,104,4139,281,619,382,85,5507,28,9,33,89,0,163,387,4
10201,69,11,32,78,4,186,854,9,55,26,17,958,684,27,117,29,16,881,641,78,154,40,19,930,862,86,184,21,19,1175,1461,149,304,29,25,1967,2197,218,327,20,41,2803,2937,266,394,26,38,3664,2969,439,394,23,32,3857,1942,289,259,13,20,2523,1726,318,226,16,18,2304,1291,190,138,3,13,1633,1539,377,178,11,15,2115,545,331,182,13,9,1088,297,53,49,11,45,459,20034,2843,2983,373,321,26543,105,12,23,98,10,243,1556,20,144,43,20,1781,1558,52,227,47,22,1906,1735,82,216,61,33,2123,2128,93,246,40,37,2540,3536,128,290,70,41,4065,3958,156,264,32,48,4455,3922,161,221,27,29,4362,3175,180,212,23,17,3604,1912,117,121,16,16,2177,1474,110,79,5,7,1687,1138,70,46,10,6,1266,884,139,82,5,11,1118,221,103,73,7,7,411,401,27,30,14,26,500,27703,1450,2276,491,304,32229,175,28,49,170,14,430,2410,31
10202,55,15,14,47,10,137,711,13,35,25,4,791,560,19,73,31,13,699,528,65,131,32,13,779,723,57,162,24,17,985,1186,121,237,22,20,1590,1848,166,223,16,27,2288,2696,237,294,17,28,3271,2580,312,334,14,33,3273,1671,235,191,7,12,2118,1384,220,131,3,15,1749,989,114,88,6,11,1205,1237,205,88,4,6,1539,453,205,88,6,12,756,245,43,50,6,24,369,16878,2033,2129,270,246,21556,87,7,19,66,5,178,1268,20,71,45,17,1417,1286,38,139,39,29,1523,1417,53,171,41,30,1709,1743,66,167,42,25,2041,2810,104,217,40,33,3201,3180,115,147,32,30,3499,2987,122,140,24,19,3293,2389,110,117,10,15,2640,1440,91,59,10,10,1599,1066,77,60,9,3,1217,731,35,23,3,7,799,574,71,41,8,10,697,136,66,22,3,3,227,294,9,21,9,16,347,21395,980,1410,370,240,24406,140,18,34,109,10,310,1975,36
10301,31,8,12,42,5,86,232,0,7,12,11,261,198,7,39,29,12,283,221,17,58,23,6,331,307,22,65,22,3,418,497,46,114,26,14,697,801,56,90,23,16,987,1166,97,110,21,12,1406,1126,100,120,18,21,1381,824,74,76,7,5,990,735,97,74,15,9,931,600,41,46,12,4,706,680,78,65,0,3,828,160,76,58,5,7,310,112,14,18,11,8,156,7693,733,965,262,132,9771,21,0,11,44,4,84,435,8,26,19,10,500,477,17,57,29,14,598,479,20,53,19,7,578,638,13,63,22,15,751,996,32,89,25,6,1147,1155,44,84,18,16,1305,1143,45,64,18,10,1279,998,50,50,8,7,1111,678,23,31,4,3,745,536,41,30,5,3,611,399,14,10,4,0,429,359,27,26,0,0,415,77,20,17,5,0,126,125,3,7,7,6,160,8518,364,613,230,109,9844,50,5,19,84,7,166,671,11
10302,25,4,48,105,4,188,212,4,25,34,4,277,148,13,87,53,14,313,231,22,113,76,20,465,314,28,147,56,20,566,621,73,241,82,23,1033,978,65,219,75,37,1363,1199,109,276,62,28,1674,1053,145,266,45,22,1545,657,89,161,23,11,943,546,84,147,20,10,803,403,43,80,12,8,545,594,63,108,15,12,788,159,77,125,20,16,397,129,12,39,39,22,246,7260,835,2093,716,248,11152,31,3,19,88,0,140,388,4,34,38,5,467,409,11,81,47,10,565,498,23,84,52,18,676,686,19,102,53,21,882,1106,44,160,55,20,1383,1191,31,137,50,20,1430,1024,55,127,31,6,1245,824,51,108,26,17,1024,538,41,64,13,3,653,408,26,53,11,8,501,288,10,34,10,4,341,259,23,44,8,0,341,45,23,36,11,5,126,109,6,22,29,19,189,7790,368,1118,543,158,9973,57,7,64,190,3,329,593,3
10303,19,0,25,55,0,100,178,0,18,23,7,221,140,13,57,30,3,237,169,25,61,34,11,299,232,26,67,33,12,373,369,40,106,35,14,563,622,44,105,24,9,798,807,66,111,21,12,1023,860,87,117,15,19,1100,657,65,79,11,12,816,633,48,44,8,3,733,615,37,37,3,3,699,1412,71,33,11,9,1541,564,72,44,12,8,697,134,9,14,11,15,183,7403,601,913,323,135,9378,31,6,17,52,5,108,313,5,35,27,4,389,393,18,75,34,7,526,481,24,72,31,13,616,585,24,65,34,16,725,911,29,109,21,12,1092,970,51,80,17,6,1124,842,38,55,18,13,967,659,44,53,9,6,778,443,22,24,8,3,504,336,22,22,3,8,395,255,19,6,3,3,280,202,22,28,7,3,263,54,21,15,8,0,93,86,4,14,10,12,134,6569,350,667,290,116,7992,46,5,41,106,9,210,489,5
