SA3_CODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
10102,2250,2320,2693,1613,1987,1328,1095,1384,276,14949
10103,1763,1205,1213,1481,974,955,715,1196,161,9660
10104,3168,3971,3344,3120,2942,2876,1259,2912,382,23971
10105,1998,2050,1662,2092,1563,1308,963,1516,223,13372
10106,2471,1487,1446,1186,1198,1086,647,1585,164,11285
10201,6413,12546,7562,7742,8228,6787,2849,5716,927,58776
10202,4637,7957,6365,6097,6102,5971,3181,4907,743,45957
10301,2556,3559,2648,2637,2358,1987,1287,2251,325,19613
10302,4645,2983,2660,2102,2205,1854,1714,2552,399,21121
10303,2280,2387,2863,1906,2002,1499,2249,1900,284,17373
10304,3419,5076,3508,2684,3281,2224,1842,2654,395,25090
10401,1949,2779,2126,2295,2042,1825,1090,1866,268,16229
10402,4051,6223,3993,4176,4382,3591,1723,3930,541,32611
10501,2232,1291,1219,1118,875,491,1056,1151,207,9636
10502,1054,1279,1056,1141,794,714,737,930,157,7862
10503,4714,4847,3642,3549,3481,2831,1727,3144,468,28401
10601,3538,4177,5611,3895,3039,2872,5267,3586,536,32521
10602,2645,5058,3934,3109,3689,3170,1796,2666,368,26438
10603,3198,3771,5324,3204,3004,2733,2194,2700,479,26611
10604,1815,1769,2945,1163,1340,984,2359,1937,225,14535
10701,2768,3989,5212,2722,3092,2423,3710,3081,498,27505
10702,9,11,18,8,4,0,16,3,4,63
10703,2373,4016,3173,3554,2618,3311,1181,2253,314,22804
10704,5129,14031,5676,6893,8834,4868,1592,3862,774,51659
10801,1078,1408,1256,1249,1009,1244,478,1104,173,8994
10802,1883,2452,1871,2223,1608,1421,986,2111,301,14864
10803,56,18,37,25,24,11,4,33,11,216
10804,3135,5502,3724,3552,3867,3189,1449,2689,414,27511
10805,2154,3026,2083,2142,1923,1963,1023,2188,264,16770
10901,3567,5350,3672,3433,4071,3262,1687,2594,431,28059
10902,1173,514,649,470,476,256,547,927,114,5128
10903,3495,1765,2110,1748,1552,1211,1247,2568,267,15957
11001,2724,3396,1689,1693,1954,1481,635,1786,208,15561
11002,2882,1743,1531,1523,1292,1210,809,2043,300,13344
11003,2237,1599,1347,1019,1271,876,1136,1330,207,11022
11004,4918,5658,4433,3528,3907,3188,2913,4660,559,33764
11101,3948,6986,5635,5358,5701,5938,1965,4015,523,40066
11102,1620,3304,2826,2515,2117,1593,1486,1896,245,17597
11103,9649,25135,12273,10845,15900,8196,5986,8519,1423,97925
11201,4168,5708,3937,3717,3238,3273,1356,3127,463,28993
11202,3694,5976,3219,3377,3595,2805,1614,3874,477,28625
11203,3235,5275,3619,3952,3704,3417,1432,3051,473,28163
11301,3849,2727,2663,1822,2362,1832,1721,3848,383,21208
11302,1051,729,830,562,564,434,746,881,106,5902
11303,5960,7419,5706,5480,4897,3985,2319,4550,563,40886
11401,3918,6063,5333,4745,3944,3836,1702,3515,554,33614
11402,2461,3258,2733,2191,2094,1974,1015,1951,277,17950
11501,8103,14906,5806,6074,8315,6589,1484,3233,924,55429
11502,1551,1742,1651,1044,1344,906,616,1090,182,10127
11503,682,538,836,344,573,202,308,544,88,4114
11504,1398,1334,1751,989,1260,1710,787,1378,198,10804
11601,5567,8372,6338,4140,6725,5108,4557,4846,892,46554
11602,1613,3030,1903,1926,1605,1776,1274,1428,240,14801
11603,4892,5793,4769,3380,6114,3865,10331,4917,976,45040
11701,7759,8734,7191,6329,9182,6590,7033,5178,1316,59315
11702,3261,4647,3527,2107,2799,2193,2417,2654,451,24057
11703,87840,190285,33048,32221,83803,33150,6741,17903,9986,494980
11801,7726,13486,5348,7535,5392,6238,901,2820,916,50369
11802,4220,16127,3862,5681,4886,2501,1038,2486,696,41500
11901,6788,10827,8335,5865,8651,5736,6011,6156,1301,59670
11902,3191,5209,3861,3351,3752,3090,2674,2693,648,28474
11903,3091,6050,3456,3695,3997,3373,1212,2013,539,27424
11904,3559,9755,3851,3847,4642,2712,1446,2687,569,33062
12001,4961,9624,3247,2909,5991,3254,1015,1813,649,33463
12002,3219,5733,2670,2756,2455,2043,778,1114,379,21143
12003,6471,13177,5247,5441,8391,5921,3017,3925,1039,52624
12101,13096,27134,7583,5938,11431,7655,1819,3624,1362,79642
12102,3167,6455,3434,3315,3341,3159,1351,2393,368,26979
12103,3898,10347,2704,4387,3899,2387,433,1708,523,30282
12104,15562,29377,5681,5615,10510,5423,656,2439,1469,76727
12201,1927,3889,1512,2082,1500,1540,216,863,219,13738
12202,3044,4893,3152,2315,2814,2313,769,1457,393,21155
12203,7826,12142,7106,5906,7324,5748,2667,3792,811,53333
12301,2072,3054,3471,2258,2662,2369,2128,2025,321,20360
12302,4871,8969,5989,5605,6025,5323,4962,5553,926,48221
12303,1167,1291,2011,869,1074,719,1508,1273,162,10075
12401,2014,4294,2276,3158,2133,1790,586,1869,248,18364
12402,0,3,8,8,0,0,0,0,0,17
12403,4834,10453,6142,5735,7315,5723,3122,4431,804,48565
12404,1874,2951,2904,2419,2179,1559,1188,1683,306,17064
12405,1914,2151,2338,1475,2423,1470,3913,2197,372,18256
12501,7971,10527,7182,4051,9114,4535,4802,4869,1298,54362
12502,2890,4375,2933,1509,2905,1685,1285,1814,416,19802
12503,6042,6808,7139,4232,7447,4090,8184,5270,1183,50394
12504,10273,26764,7351,8886,21736,6713,4105,5918,2048,93799
12601,1302,3408,1027,1342,1677,901,172,540,197,10563
12602,15786,30436,8445,6760,12745,6927,1960,4362,1622,89040
12701,1941,3185,2132,1968,1802,1512,1437,1689,307,15978
12702,6008,8502,7378,5308,6907,5404,6167,5711,1238,52616
12703,5905,10634,7137,5493,8478,5604,6024,5263,1333,55883
12801,5154,7817,5221,5078,5417,5964,1684,3135,616,40078
12802,2836,5988,3858,3865,3722,2608,946,2105,374,26306
19797,3,19,18,11,3,0,3,30,0,86
19999,9958,14164,50062,12664,5611,6003,13373,28442,3084,143365
20101,4603,10076,6239,5812,6201,5155,2409,4499,727,45726
20102,1590,1106,972,915,708,537,356,1004,120,7308
20103,1323,909,902,857,630,646,459,982,111,6828
20201,4241,9200,5433,5181,5640,4786,2062,3898,584,41022
20202,2146,2597,2074,2010,1370,1174,869,3002,234,15469
20203,1299,401,424,206,265,184,465,593,71,3908
20301,980,501,498,377,360,257,197,626,53,3849
20302,9054,19672,11351,10924,11253,9504,5134,8238,1337,86473
20303,2274,3066,2743,2598,1802,2191,418,1801,247,17142
20401,3480,2875,2573,2793,1957,1736,1166,2684,336,19606
20402,3026,3408,2468,2182,2130,1814,1255,2410,308,19002
20403,4416,4818,4538,3844,3163,2622,2516,3533,469,29917
20501,2613,2756,2163,1831,1744,1481,828,2207,238,15866
20502,2472,2434,2046,2058,1792,1666,878,2108,278,15735
20503,4035,3082,2865,2410,2166,2293,1158,2667,326,21010
20504,3011,5411,4973,3733,4362,3179,2348,2963,575,30561
20505,2951,2703,2769,1933,1690,1437,1112,2157,277,17024
20601,2861,5833,3236,3388,2912,2512,1220,1836,372,24175
20602,1905,3426,2162,2158,1447,1331,632,982,222,14254
20603,2217,4835,2146,3184,3352,2468,599,1312,341,20456
20604,68527,161559,26508,30717,79786,24966,5495,16707,8198,422451
20605,17341,26944,9621,6536,13742,7115,2674,4608,1510,90087
20606,5392,9433,3725,4249,3764,4225,457,1888,515,33652
20607,13353,27919,7726,6934,10953,7218,2269,3673,1337,81386
20701,10630,23815,6194,8229,10306,6752,991,3319,1142,71382
20702,2983,4667,2770,3798,2675,4628,728,1760,330,24329
20703,5547,15699,4678,5047,7693,3973,864,2386,732,46617
20801,3944,7874,3396,4665,3604,3009,786,1771,488,29537
20802,4389,11555,4363,5803,5009,3649,792,2503,557,38610
20803,9012,10132,9418,5817,8067,8237,5148,6273,1020,63115
20804,2714,5534,2121,2391,2603,4107,252,1291,303,21312
20901,3785,12692,5191,5516,5116,3567,1243,2666,577,40356
20902,4023,7516,3652,4042,4316,4279,2278,2749,564,33422
20903,1706,3032,2202,2193,1723,1344,453,1157,196,14011
20904,6047,10473,7407,5922,6556,7288,4540,6303,881,55416
21001,4432,4660,5456,2501,5714,3568,3268,2884,555,33033
21002,848,1259,1093,861,919,777,278,694,89,6823
21003,1466,2720,2222,2473,1452,1355,1163,1470,253,14577
21004,777,1373,1099,1209,920,1344,286,714,99,7829
21005,8652,10351,10802,7725,9615,7380,11060,9000,1573,76165
21101,8651,11103,9291,5943,9244,7418,5324,6261,995,64226
21102,524,1329,665,747,575,244,90,360,78,4611
21103,5003,8205,6246,4860,5322,5573,2118,4306,613,42235
21104,2984,4835,2840,2727,3054,3186,981,1711,314,22635
21105,5088,6490,6305,5286,4440,4454,2142,4643,603,39453
21201,2896,3415,3658,2785,2676,2999,1514,2875,347,23166
21202,4296,7212,5373,4621,5017,6092,2199,3894,608,39303
21203,2523,4284,3522,3813,2487,3396,1618,2940,356,24944
21204,13860,16206,15875,7102,15536,9253,15169,12319,2094,107411
21205,14487,29607,12815,8892,15826,8799,5401,6778,1747,104349
21301,5617,9750,6680,5631,6976,5995,6939,5906,1141,54640
21302,3993,4919,5343,3077,3824,2680,4796,3971,649,33252
21303,4351,8405,3779,4471,4345,5215,2876,3116,697,37261
21304,2878,5096,4108,4615,3469,3845,2279,2871,498,29662
21305,6836,10155,7373,7164,7352,7021,10231,6317,1187,63642
21401,4752,9286,5803,5471,5523,5301,2068,4065,652,42912
21402,5889,8321,8285,7405,5476,6206,1735,5401,749,49479
21501,5264,3673,2815,3216,2426,2207,1427,3450,384,24861
21502,3162,3583,2651,2490,2533,2588,1327,2670,349,21354
21503,3457,2162,1800,1428,1607,1402,968,2089,274,15177
21601,2842,2214,2009,1613,1533,1666,1008,2234,217,15340
21602,2110,1262,1323,994,1035,972,731,1909,199,10534
21603,3922,5177,3621,3063,3407,2913,1840,3540,451,27934
21701,2910,2278,1952,1587,1519,1357,1329,1807,235,14967
21703,3694,2066,2021,1763,1373,1369,1095,2791,304,16471
21704,3545,3845,2638,2406,2399,2380,1302,3056,327,21892
29797,6,14,67,0,0,3,25,34,4,157
29999,7931,11580,45842,10740,4300,5053,8963,22073,2557,119032
30101,2222,2689,2824,2485,2505,2874,1029,1942,269,18852
30102,2495,4726,2930,3422,3004,2528,1011,2922,335,23375
