SA4_CODE_2016,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_Turkey_E,P_Turkey_OM_IE,P_Turkey_OM_UIE,P_Turkey_CFW,P_Turkey_ES_NS,P_Turkey_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Zimbabwe_E,P_Zimbabwe_OM_IE,P_Zimbabwe_OM_UIE,P_Zimbabwe_CFW,P_Zimbabwe_ES_NS,P_Zimbabwe_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
101,339,6,14,14,11,390,53,3,11,0,3,74,36,4,4,3,0,47,176,32,22,9,3,237,99,8,6,0,0,114,97,12,16,3,3,137,16,3,0,5,0,25,1777,202,389,112,32,2511,204,21,40,13,3,286,75,9,32,6,0,120,62,0,8,3,0,71,1211,129,159,53,16,1573,1173,102,218,82,71,1653,55846,5364,8352,2695,983,73243
102,639,37,19,9,9,717,66,8,18,0,0,97,43,9,10,0,3,69,452,68,101,10,5,642,103,17,10,0,0,127,234,24,32,14,4,311,16,3,9,0,0,32,4091,519,620,93,53,5380,299,32,36,7,5,380,134,17,36,4,3,198,110,8,4,0,0,133,1539,222,229,63,23,2073,1231,101,156,39,71,1601,86009,7309,8802,1503,1115,104732
103,385,13,7,5,8,425,21,0,9,3,3,30,32,0,4,0,0,42,236,26,31,9,5,307,83,10,9,3,0,98,88,13,9,8,3,121,14,0,3,0,0,15,1415,114,216,78,23,1847,146,8,18,12,4,187,66,13,20,13,0,110,106,3,3,0,0,117,765,61,96,25,12,949,1195,116,222,116,99,1739,65855,4636,8462,3014,1230,83199
104,190,10,16,3,6,226,17,5,3,0,0,21,13,0,3,0,0,19,176,31,28,10,0,248,21,0,0,0,0,25,53,0,15,4,5,76,7,0,3,0,0,10,1311,130,236,55,23,1750,133,9,24,0,0,167,32,3,13,3,3,51,41,7,4,0,0,51,855,58,115,30,14,1076,704,42,123,24,48,949,38947,2793,5143,1278,679,48844
105,232,0,12,3,0,254,9,0,0,0,0,16,15,0,4,0,0,15,120,3,9,3,0,135,88,12,14,3,0,114,26,0,0,4,0,31,3,0,0,0,0,4,500,34,54,37,6,628,45,5,7,0,0,57,26,0,9,0,0,38,62,0,3,0,0,64,539,30,41,13,8,630,809,60,136,77,79,1153,35902,2396,4780,2017,791,45892
106,446,9,15,9,3,486,35,5,5,0,0,47,36,3,10,0,0,53,373,29,41,14,4,454,91,9,10,3,0,110,100,8,21,3,4,136,5,3,7,5,0,27,2278,227,303,77,28,2907,228,13,12,9,3,267,90,14,19,7,3,133,110,5,0,3,3,128,932,87,94,27,11,1154,1244,91,140,61,72,1619,85601,5279,6356,1833,1031,100101
107,566,12,24,5,5,610,103,9,13,0,0,126,49,5,4,0,0,66,328,57,46,9,5,443,158,10,7,0,4,178,252,15,43,5,3,318,139,27,45,3,3,214,4188,325,426,68,43,5053,294,24,28,8,3,353,321,42,77,9,3,450,77,6,8,0,0,92,2808,243,323,46,38,3450,1120,84,121,22,87,1441,87024,5851,7018,1150,981,102028
108,281,23,23,4,11,348,23,0,6,0,0,25,21,3,4,0,0,34,179,37,35,14,3,269,34,6,5,0,0,43,55,6,23,3,4,90,3,3,4,0,0,15,1701,196,336,86,27,2348,123,12,37,3,3,183,36,7,14,0,0,55,49,3,11,0,0,62,678,93,110,32,10,916,1106,79,184,64,81,1514,53800,4032,7512,1913,1098,68360
109,264,3,7,5,4,283,18,0,3,0,0,22,23,0,0,0,0,27,124,15,10,0,0,150,86,11,4,0,3,105,44,5,7,0,0,63,3,0,0,0,0,9,867,80,99,40,16,1098,69,7,6,0,0,83,26,10,6,0,0,47,33,0,3,0,0,33,652,28,47,18,5,746,700,77,114,71,59,1016,38679,3473,4513,1794,675,49146
110,520,4,13,7,19,554,11,3,0,0,0,15,41,5,0,0,0,46,224,21,28,10,0,277,85,12,0,0,0,96,56,6,14,4,0,75,4,0,3,0,0,7,926,101,185,82,16,1310,146,13,25,13,0,201,80,6,16,3,0,107,63,3,0,0,0,70,932,40,63,40,22,1092,1169,112,216,102,97,1689,57086,4170,7997,3284,1155,73688
111,755,12,31,4,14,815,116,11,12,0,0,145,75,3,13,0,0,93,585,56,52,5,3,710,174,10,8,3,0,194,233,14,31,11,4,289,17,9,5,0,0,30,3862,321,341,56,22,4608,497,24,58,3,3,586,193,27,55,9,6,289,180,9,8,3,0,202,2280,190,245,41,22,2785,1367,72,92,25,96,1660,135695,8322,8916,1443,1220,155588
112,400,6,23,10,7,447,32,3,13,0,4,52,51,4,7,0,0,59,302,51,85,10,4,456,39,7,4,0,0,49,132,8,22,8,4,168,20,4,3,5,0,30,2473,353,616,101,39,3581,293,41,104,9,7,454,55,7,25,10,0,91,62,6,14,3,0,88,1271,143,311,64,42,1834,1241,100,242,67,80,1729,65750,5694,10918,2171,1241,85780
113,538,7,7,5,11,557,21,0,0,0,0,21,22,4,3,0,0,31,306,16,19,0,4,339,114,12,3,3,0,135,67,3,7,0,0,77,24,3,0,0,0,25,902,59,98,28,12,1096,100,4,7,5,3,124,41,3,16,3,0,65,104,0,5,0,0,116,1390,47,60,19,16,1536,1043,70,188,88,82,1470,54742,3920,6155,2252,918,67996
114,214,3,8,0,5,236,29,10,12,5,0,55,30,4,7,0,0,39,139,30,38,7,0,212,34,11,4,0,0,47,83,3,5,0,3,99,5,3,3,0,0,13,1884,237,350,96,24,2585,140,9,30,5,3,194,48,14,23,6,0,86,36,7,4,0,0,47,746,96,142,37,17,1035,726,71,125,31,67,1022,40058,3931,5682,1170,725,51563
115,1762,70,52,16,9,1899,176,29,35,0,0,243,145,22,19,7,0,192,956,134,92,14,7,1204,739,86,73,12,9,914,249,32,14,5,4,296,94,32,25,0,3,146,2576,426,297,67,15,3379,378,42,34,6,0,458,482,53,30,15,6,593,129,10,12,4,0,151,3472,431,326,71,37,4333,471,68,71,20,41,665,63687,8603,6180,1365,642,80475
116,4535,163,203,31,34,4964,257,18,25,0,0,303,116,10,8,0,0,139,708,54,38,4,8,805,962,115,111,20,14,1228,278,10,11,10,0,306,242,32,43,18,4,346,2783,219,156,24,22,3199,252,22,8,3,3,287,1255,80,114,32,26,1505,121,0,8,0,0,135,6628,540,656,105,93,8020,1028,91,82,16,77,1296,91894,6677,5798,1011,1010,106400
117,12332,114,125,26,53,12655,1479,90,100,14,3,1697,2133,88,75,10,11,2317,6444,615,248,20,40,7367,3815,88,57,9,26,3994,5628,141,189,55,89,6097,957,98,84,19,7,1168,31664,2095,1332,99,174,35370,4891,207,190,16,25,5339,7480,396,378,93,75,8418,755,41,18,6,3,826,48871,2089,1909,254,470,53589,3925,269,203,49,290,4731,523949,27651,20300,2496,3946,578345
118,1612,17,51,10,18,1712,284,51,75,8,3,425,260,21,20,3,7,305,1375,545,426,49,22,2412,296,11,7,3,3,316,862,43,51,11,6,964,133,17,8,0,3,165,4198,665,620,78,42,5602,733,74,107,11,0,919,703,52,96,26,6,885,169,17,14,4,0,200,8988,903,1087,161,123,11266,652,72,81,17,51,879,72289,8793,8693,1300,800,91871
119,2691,58,69,15,27,2861,260,26,35,3,3,331,207,22,17,4,3,259,607,68,36,3,9,728,549,35,25,3,3,610,639,33,61,27,10,764,224,34,45,9,3,319,2809,239,224,44,27,3335,277,24,15,5,0,324,4550,466,636,150,88,5883,198,9,5,0,3,215,12189,1162,1554,176,204,15278,1309,147,165,39,123,1783,119379,13286,12103,2170,1690,148635
120,2735,38,49,12,13,2851,226,26,31,0,4,284,206,16,19,3,0,243,586,62,69,3,9,731,918,75,69,9,10,1084,681,29,54,8,8,783,253,48,56,8,3,365,2773,398,412,38,31,3652,368,39,59,9,3,478,1759,172,166,50,40,2187,107,3,14,0,0,126,8223,553,640,101,95,9612,775,77,93,19,72,1030,87300,9278,8315,1346,991,107232
121,3979,64,56,25,30,4153,521,58,75,9,6,670,676,79,51,14,3,824,3139,552,363,46,18,4115,1387,71,36,6,11,1516,1540,77,72,20,23,1735,230,39,22,7,3,303,11307,1500,959,132,67,13967,1492,169,117,14,15,1806,1533,132,115,28,15,1823,377,40,38,4,0,457,15258,1092,935,175,126,17581,1105,120,118,35,112,1494,178774,18143,12866,2408,1448,213633
122,1145,19,28,5,11,1207,150,29,33,4,0,214,135,21,20,0,0,173,1006,254,166,29,3,1455,172,18,9,0,3,203,549,31,52,14,4,648,54,16,23,3,4,93,5112,1181,882,138,52,7363,616,101,124,20,5,871,298,42,50,8,7,407,98,35,19,3,0,151,5664,615,607,98,63,7049,517,93,84,15,58,775,66096,10930,9061,1440,708,88233
123,1307,27,44,7,16,1406,157,27,22,3,0,213,42,7,5,0,0,53,385,49,38,9,4,487,234,13,21,0,3,273,216,13,21,6,3,264,49,14,7,3,3,70,2502,251,226,49,28,3053,173,14,15,5,0,204,896,90,121,19,10,1143,113,3,6,0,0,123,4190,398,491,97,71,5243,902,109,94,23,63,1193,66069,5742,5034,940,870,78655
124,1819,51,59,13,15,1953,128,22,29,9,3,182,97,9,9,3,0,116,414,41,41,10,4,507,447,36,27,5,3,515,278,18,22,4,0,323,97,8,15,0,3,124,3613,425,494,77,32,4638,272,33,50,10,0,362,613,65,97,21,6,802,127,4,3,0,0,138,3540,333,415,69,62,4419,960,64,96,26,52,1200,85262,6976,7889,1244,899,102264
125,7394,75,94,20,46,7631,498,33,41,7,4,585,439,27,33,7,3,506,1325,75,54,5,4,1465,2923,172,158,28,33,3307,787,25,38,13,8,875,847,148,184,21,30,1230,5596,273,178,32,38,6116,575,15,13,5,0,612,5519,360,374,82,61,6398,318,15,3,3,5,342,17158,1016,996,158,248,19579,1833,152,111,35,146,2281,192017,12808,9719,1770,2047,218360
126,2603,24,27,6,15,2673,269,11,15,0,0,307,393,18,17,4,0,437,1198,72,47,3,3,1324,1171,51,34,3,13,1276,489,18,20,10,8,543,178,16,9,4,0,206,4233,243,161,27,15,4684,660,35,22,0,3,717,1044,57,49,19,3,1176,169,8,4,0,0,182,7393,316,319,54,59,8142,580,32,35,7,50,707,88232,5462,4480,834,597,99607
127,2620,54,60,10,20,2763,271,42,35,3,4,347,115,16,10,0,0,139,498,40,17,3,6,566,501,28,17,3,5,552,537,40,35,11,12,636,317,43,58,16,11,441,2274,176,106,24,27,2606,224,15,16,0,3,255,6418,960,1068,221,111,8774,199,7,0,0,3,212,10414,1037,1090,178,176,12884,1344,137,133,36,143,1791,104308,9485,7632,1539,1521,124482
128,713,14,15,4,7,751,89,18,17,0,0,123,78,10,13,3,0,103,338,48,38,0,9,431,78,10,6,0,0,97,308,24,29,3,0,360,43,13,10,3,0,72,1979,311,267,42,22,2620,192,22,20,8,0,242,332,39,76,8,8,473,68,0,0,0,0,71,3010,288,262,56,28,3643,454,59,52,14,38,612,52554,6737,5613,893,587,66381
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,61,7,16,0,3,86
199,583,53,195,9,15,851,134,63,146,5,9,357,102,32,46,0,4,183,346,99,209,9,13,686,139,25,35,6,3,215,215,11,94,7,5,340,94,44,86,9,11,249,2890,726,2007,83,73,5784,268,44,149,3,6,469,666,166,342,22,19,1207,62,11,16,0,0,90,4369,930,2430,96,144,7968,1384,305,721,61,183,2659,79636,17188,41954,1997,2587,143365
201,262,4,3,6,0,273,22,0,0,0,0,25,32,3,5,3,0,39,123,17,18,0,3,157,89,9,3,3,0,104,63,8,5,3,0,81,4,3,3,0,0,9,1342,115,180,44,10,1688,121,9,18,0,3,154,75,12,11,3,0,105,23,3,3,0,3,36,639,59,78,18,7,797,823,87,107,47,67,1121,49149,3900,4570,1462,787,59866
