SA4_CODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
101,232,209,59,3065,2175,129,523,312,72,3199,2633,205,608,238,87,3773,3623,205,739,254,88,4910,6050,448,1038,271,106,7915,7585,500,980,211,85,9360,8286,617,1010,170,127,10208,7374,747,911,163,91,9275,4592,548,620,92,49,5900,3469,591,442,84,38,4625,2696,283,258,54,21,3312,2947,449,350,81,34,3860,812,468,375,76,32,1765,876,89,156,105,79,1301,55846,5364,8352,2695,983,73243
102,305,135,58,4946,4088,137,556,153,74,5017,4317,280,677,177,89,5543,5454,308,756,131,99,6748,8996,510,1040,160,117,10826,11195,657,957,94,145,13047,12544,787,1045,99,112,14586,11111,1042,1057,78,95,13381,6964,732,621,41,54,8421,5659,725,490,32,40,6952,4146,412,295,24,29,4904,4236,783,384,31,37,5474,1356,705,363,28,24,2482,1243,127,152,38,108,1675,86009,7309,8802,1503,1115,104732
103,189,209,60,2986,2416,107,529,304,74,3423,2896,172,593,299,95,4061,3774,198,665,284,117,5039,6223,336,1036,306,148,8044,8081,411,935,253,123,9807,8834,557,1000,214,118,10725,8327,690,956,166,121,10255,5735,461,591,84,59,6923,4937,468,493,88,59,6046,3951,248,278,46,29,4556,5380,415,425,50,46,6316,1585,462,445,87,38,2611,985,66,166,137,118,1483,65855,4636,8462,3014,1230,83199
104,131,97,32,2054,1590,57,350,152,49,2199,1980,110,468,146,76,2778,2643,135,535,125,68,3501,4462,243,733,123,68,5623,5804,330,688,86,94,7006,5889,337,631,83,76,7023,4779,396,474,50,50,5754,2985,252,322,50,34,3651,2296,266,203,42,20,2835,1819,110,127,17,6,2086,1769,217,161,23,22,2187,507,253,154,15,9,935,538,40,93,35,50,760,38947,2793,5143,1278,679,48844
105,95,128,40,1398,1156,49,261,207,52,1727,1328,101,308,193,66,1993,1889,107,398,206,73,2676,3464,182,559,180,80,4463,4742,235,516,132,79,5703,5152,277,562,127,74,6193,4891,320,547,144,77,5980,3217,220,306,65,41,3844,2720,221,299,38,37,3305,2185,135,191,43,20,2568,2588,223,219,43,31,3091,666,238,260,50,18,1229,660,57,160,99,99,1074,35902,2396,4780,2017,791,45892
106,204,145,40,4030,3275,133,468,236,74,4182,3821,197,521,198,68,4811,4579,215,561,151,102,5601,7400,445,790,151,92,8880,9251,464,735,106,116,10671,10323,560,747,77,131,11833,10383,764,688,108,95,12042,7399,488,454,55,57,8452,6666,519,297,58,55,7593,5361,287,178,20,36,5876,9132,493,225,44,44,9942,2853,549,254,50,29,3729,1294,77,134,68,76,1657,85601,5279,6356,1833,1031,100101
107,246,104,58,4622,4284,109,467,124,67,5048,4322,165,541,115,80,5222,5409,206,612,97,91,6412,8178,391,853,105,104,9626,9662,497,743,69,100,11072,10638,655,828,84,108,12320,10861,833,770,58,82,12601,7520,599,524,41,62,8742,6505,637,394,43,48,7632,5207,338,224,17,23,5811,6771,602,303,18,27,7722,2048,632,320,25,16,3043,1166,86,116,26,95,1486,87024,5851,7018,1150,981,102028
108,200,156,75,2966,2078,90,566,293,72,3095,2664,194,720,273,138,3992,3735,212,739,208,116,5001,6395,383,1029,188,131,8127,7957,458,915,121,138,9582,8063,476,889,91,107,9625,6590,509,713,67,83,7959,4084,360,489,34,44,5009,3066,352,305,33,31,3786,2489,178,167,23,26,2877,2386,318,247,33,17,3005,714,389,259,19,25,1404,896,64,165,56,92,1267,53800,4032,7512,1913,1098,68360
109,99,138,31,1930,1583,78,211,177,43,2089,1785,126,306,174,64,2450,2445,158,337,151,51,3137,4115,330,524,198,72,5236,5092,363,537,124,86,6198,6016,392,538,117,70,7136,5298,446,565,118,66,6495,3470,338,333,81,33,4257,2481,332,275,36,21,3150,1709,185,158,27,19,2094,1824,269,233,59,26,2408,432,352,211,45,8,1050,671,60,97,70,74,977,38679,3473,4513,1794,675,49146
110,192,255,60,2704,2143,101,490,340,60,3140,2556,156,579,362,86,3736,3309,198,688,303,114,4612,5765,296,934,325,123,7448,7912,423,886,234,129,9586,8698,502,990,197,123,10513,7770,558,929,177,102,9536,4683,407,529,82,48,5756,3741,385,424,84,45,4678,2816,207,243,54,20,3337,3409,312,371,71,32,4195,990,449,364,76,28,1906,935,86,192,162,147,1519,57086,4170,7997,3284,1155,73688
111,298,108,53,5936,5202,149,582,164,79,6178,5798,260,668,139,96,6957,7287,290,704,120,96,8498,11742,521,986,115,135,13498,15346,734,1016,98,130,17323,18088,853,1040,94,125,20193,19046,1053,1027,78,112,21316,12824,839,634,47,76,14422,10816,882,509,44,60,12317,7717,485,291,12,28,8535,10529,915,440,23,40,11952,3768,1105,536,45,29,5485,1746,113,104,51,131,2148,135695,8322,8916,1443,1220,155588
112,283,191,80,3530,2759,107,694,269,101,3933,3205,210,955,285,111,4764,4690,271,1075,218,126,6373,7805,452,1433,217,146,10055,9738,505,1375,139,140,11896,10095,635,1279,152,141,12308,8517,808,1210,94,87,10724,4891,531,670,47,57,6196,3695,597,511,49,38,4891,2747,313,302,24,19,3409,2660,509,406,44,25,3649,852,584,410,34,20,1898,944,84,190,86,135,1435,65750,5694,10918,2171,1241,85780
