SA4_CODE_2016,AGFF_Bf_91,AGFF_91_95,AGFF_96_00,AGFF_01_05,AGFF_06_10,AGFF_11_15,AGFF_2016,AGFF_NS,AGFF_Tot,Min_Bf_91,Min_91_95,Min_96_00,Min_01_05,Min_06_10,Min_11_15,Min_2016,Min_NS,Min_Tot,Mnf_Bf_91,Mnf_91_95,Mnf_96_00,Mnf_01_05,Mnf_06_10,Mnf_11_15,Mnf_2016,Mnf_NS,Mnf_Tot,EGWWS_Bf_91,EGWWS_91_95,EGWWS_96_00,EGWWS_01_05,EGWWS_06_10,EGWWS_11_15,EGWWS_2016,EGWWS_NS,EGWWS_Tot,Const_Bf_91,Const_91_95,Const_96_00,Const_01_05,Const_06_10,Const_11_15,Const_2016,Const_NS,Const_Tot,WST_Bf_91,WST_91_95,WST_96_00,WST_01_05,WST_06_10,WST_11_15,WST_2016,WST_NS,WST_Tot,RetT_Bf_91,RetT_91_95,RetT_96_00,RetT_01_05,RetT_06_10,RetT_11_15,RetT_2016,RetT_NS,RetT_Tot,AcFd_Bf_91,AcFd_91_95,AcFd_96_00,AcFd_01_05,AcFd_06_10,AcFd_11_15,AcFd_2016,AcFd_NS,AcFd_Tot,TPW_Bf_91,TPW_91_95,TPW_96_00,TPW_01_05,TPW_06_10,TPW_11_15,TPW_2016,TPW_NS,TPW_Tot,IMT_Bf_91,IMT_91_95,IMT_96_00,IMT_01_05,IMT_06_10,IMT_11_15,IMT_2016,IMT_NS,IMT_Tot,FinIns_Bf_91,FinIns_91_95,FinIns_96_00,FinIns_01_05,FinIns_06_10,FinIns_11_15,FinIns_2016,FinIns_NS,FinIns_Tot,RHRE_Bf_91,RHRE_91_95,RHRE_96_00,RHRE_01_05,RHRE_06_10,RHRE_11_15,RHRE_2016,RHRE_NS,RHRE_Tot,ProSTS_Bf_91,ProSTS_91_95,ProSTS_96_00,ProSTS_01_05,ProSTS_06_10,ProSTS_11_15,ProSTS_2016,ProSTS_NS,ProSTS_Tot,AdSup_Bf_91,AdSup_91_95,AdSup_96_00,AdSup_01_05,AdSup_06_10,AdSup_11_15,AdSup_2016,AdSup_NS,AdSup_Tot,PubAS_Bf_91,PubAS_91_95,PubAS_96_00,PubAS_01_05,PubAS_06_10,PubAS_11_15,PubAS_2016,PubAS_NS,PubAS_Tot,EducTraining_Bf_91,EducTraining_91_95,EducTraining_96_00,EducTraining_01_05,EducTraining_06_10,EducTraining_11_15,EducTraining_2016,EducTraining_NS,EducTraining_Tot,HlthCareSocAssist_Bf_91,HlthCareSocAssist_91_95,HlthCareSocAssist_96_00,HlthCareSocAssist_01_05,HlthCareSocAssist_06_10,HlthCareSocAssist_11_15,HlthCareSocAssist_2016,HlthCareSocAssist_NS,HlthCareSocAssist_Tot,ArtsRecreation_Bf_91,ArtsRecreation_91_95,ArtsRecreation_96_00,ArtsRecreation_01_05,ArtsRecreation_06_10,ArtsRecreation_11_15,ArtsRecreation_2016,ArtsRecreation_NS,ArtsRecreation_Tot,OthServices_Bf_91,OthServices_91_95,OthServices_96_00,OthServices_01_05,OthServices_06_10,OthServices_11_15,OthServices_2016,OthServices_NS,OthServices_Tot,ID_NS_Bf_91,ID_NS_91_95,ID_NS_96_00,ID_NS_01_05,ID_NS_06_10,ID_NS_11_15,ID_NS_2016,ID_NS_NS,ID_NS_Tot,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_2016,Tot_NS,Tot_Tot
101,314,9,24,17,25,57,6,27,494,22,0,3,4,3,6,0,0,39,251,25,40,44,87,103,25,35,614,51,12,6,14,20,10,3,0,111,319,37,49,43,83,73,4,24,628,61,11,10,3,19,21,0,6,132,392,36,63,92,156,111,12,28,890,427,84,87,122,261,262,29,47,1319,177,8,15,8,49,18,0,4,288,36,0,0,3,8,9,0,4,60,41,5,10,13,12,12,0,4,88,73,0,10,12,8,12,3,11,127,262,28,34,38,55,37,3,12,470,138,20,19,16,27,51,4,12,286,357,51,48,78,80,32,0,21,669,353,40,29,46,37,42,6,22,582,696,87,100,152,324,266,12,54,1691,101,8,10,10,19,38,7,18,222,149,13,23,24,57,46,9,10,331,179,19,28,18,50,61,6,32,395,4412,500,611,766,1376,1264,133,362,9436
102,79,10,16,10,17,25,7,3,163,24,4,4,8,10,3,0,3,62,604,106,165,126,158,116,8,21,1303,65,9,5,13,13,3,0,6,109,546,55,118,105,111,87,6,43,1064,160,19,32,44,50,18,0,5,328,765,135,181,173,206,142,9,44,1649,476,94,204,218,351,265,14,62,1688,303,27,33,26,46,20,0,12,467,95,8,30,31,26,28,0,7,220,201,25,34,41,16,15,4,3,332,145,13,19,27,20,12,0,3,244,462,78,87,101,133,67,4,12,940,287,44,53,57,78,64,8,22,607,408,52,52,68,63,33,3,16,704,596,83,90,113,85,52,3,17,1033,1735,285,357,470,618,562,33,96,4152,99,13,19,32,32,22,0,6,215,335,64,65,65,90,72,4,21,712,350,54,58,68,100,86,9,54,776,7729,1171,1609,1784,2205,1684,115,462,16764
103,228,7,38,24,50,60,10,17,433,161,25,34,43,69,48,0,6,383,215,29,65,59,80,105,10,11,573,34,0,4,11,8,4,0,3,61,153,15,21,27,33,53,8,13,324,58,8,10,6,12,26,0,0,123,236,34,48,57,139,76,3,19,610,234,51,70,78,190,152,8,26,812,115,11,17,5,19,13,0,11,191,20,3,5,5,7,4,0,0,57,43,10,4,15,8,8,0,3,85,25,3,4,0,9,3,0,0,49,149,21,25,25,41,40,0,7,313,104,12,20,22,31,35,4,8,235,236,38,33,39,53,20,4,21,438,312,43,45,52,67,53,4,18,600,539,72,97,177,294,286,14,31,1517,32,3,7,10,5,3,0,0,57,100,11,14,19,37,39,0,6,224,107,6,16,26,54,45,3,20,281,3098,402,581,688,1210,1081,67,223,7347
104,208,39,40,50,206,314,42,63,962,7,0,0,0,3,0,0,0,7,114,9,10,21,21,19,3,5,208,17,0,3,0,3,0,0,0,31,165,20,35,16,63,50,0,11,361,38,4,3,9,11,12,0,4,85,245,31,37,48,61,50,3,19,485,240,43,59,54,124,115,12,17,665,120,3,10,7,24,13,0,7,180,24,8,3,4,4,0,0,0,42,36,0,3,4,9,0,0,0,52,53,12,3,10,3,0,0,0,84,136,10,28,32,51,29,3,11,304,92,9,18,14,17,18,3,0,166,175,17,27,27,18,14,0,5,283,250,29,28,41,48,26,0,13,437,651,81,113,161,217,156,4,39,1411,36,9,7,4,7,5,0,0,67,78,8,10,19,38,35,0,0,196,99,17,11,21,49,52,5,14,269,2798,341,462,528,982,917,76,218,6312
105,126,8,12,16,31,39,9,20,243,70,10,11,13,49,32,0,8,184,39,6,14,9,102,104,18,0,292,14,0,3,3,3,3,0,0,26,46,4,9,9,19,9,0,4,96,15,0,0,8,16,17,0,0,51,89,14,14,27,131,93,8,3,379,113,27,25,42,135,106,12,21,488,36,0,0,0,12,10,0,4,70,9,0,4,0,4,3,0,0,19,20,0,0,6,4,4,0,0,32,6,0,0,0,3,3,0,0,20,55,4,11,15,27,18,0,4,127,26,4,7,4,18,12,0,5,74,99,22,23,13,35,12,0,3,204,122,15,25,34,26,21,3,0,250,229,41,48,98,212,215,7,11,874,18,0,0,0,10,3,0,0,34,49,7,3,3,30,19,0,4,114,50,3,4,7,18,34,0,5,124,1237,173,205,301,888,747,54,93,3699
106,151,16,38,28,60,78,13,14,402,343,50,65,95,135,60,0,20,773,346,51,66,89,149,181,9,22,913,55,3,9,11,37,12,0,4,139,301,29,67,54,73,87,3,20,637,75,7,12,9,28,21,0,6,155,320,42,71,92,165,99,0,28,810,358,68,111,107,209,201,11,28,1083,171,15,27,28,36,32,0,6,313,22,3,6,7,8,9,0,3,58,36,4,9,12,16,13,0,0,87,65,11,11,3,12,16,0,10,119,237,18,47,51,64,47,11,14,481,144,20,27,22,51,54,0,8,326,417,62,89,94,117,34,3,23,839,306,33,25,50,63,39,0,10,529,542,80,103,167,325,220,6,26,1466,51,3,3,7,12,15,4,5,106,179,29,21,40,73,36,3,12,394,144,18,28,36,63,52,0,28,377,4263,551,823,1007,1702,1306,77,279,10001
107,32,0,3,5,5,5,0,3,60,113,13,8,22,26,9,0,4,188,866,81,52,85,82,59,4,29,1266,66,5,7,0,15,6,0,3,98,693,71,104,107,84,101,7,25,1184,191,13,23,17,40,32,3,7,330,876,99,121,146,190,216,14,40,1694,529,98,153,180,301,394,52,65,1770,498,28,60,47,48,42,0,23,748,78,6,21,15,19,22,3,0,159,316,34,47,47,47,36,0,13,545,168,9,18,11,13,25,0,10,255,500,69,101,109,143,117,4,19,1057,441,49,55,53,103,85,3,27,808,635,60,53,52,53,24,0,20,903,1129,137,192,213,271,308,17,45,2313,1996,242,269,355,560,580,18,65,4102,98,13,12,13,15,35,0,5,192,370,50,60,61,86,82,10,19,744,379,36,54,66,82,106,11,43,767,9995,1119,1406,1605,2184,2268,157,466,19198
108,145,10,8,9,15,34,0,11,239,8,0,0,0,0,0,0,0,18,152,28,35,37,39,50,7,12,355,62,3,23,24,22,7,0,4,149,263,21,33,39,73,58,4,15,505,61,3,7,11,12,7,0,3,109,348,34,64,66,77,60,0,19,669,282,34,86,82,127,104,11,37,768,111,10,14,6,16,7,0,8,173,22,0,5,5,8,4,0,3,49,55,12,6,13,9,4,0,0,103,64,4,3,4,3,4,0,7,86,209,19,30,35,31,29,0,7,363,153,9,19,19,36,21,3,13,266,199,13,15,15,21,8,3,11,286,315,37,54,69,34,46,0,16,575,858,97,150,204,302,268,6,55,1935,26,3,3,15,6,8,0,0,60,129,8,15,17,32,24,0,9,233,149,19,16,19,24,31,0,18,269,3618,362,602,695,876,760,38,252,7207
109,152,23,32,35,55,108,20,22,438,11,0,0,0,0,3,0,0,14,181,21,22,34,87,143,17,19,514,17,0,3,3,3,3,0,0,32,91,3,8,18,19,24,0,8,176,25,3,9,11,13,18,5,3,87,125,15,28,31,94,49,5,7,352,188,28,25,66,164,113,9,12,599,81,3,12,8,28,6,0,7,157,9,0,3,0,7,7,0,0,23,24,3,3,8,8,3,0,3,47,12,4,0,0,3,3,0,4,28,69,7,13,14,27,11,0,3,141,63,4,6,6,26,24,3,7,143,153,9,15,17,24,13,0,10,231,175,15,29,36,45,37,3,4,340,325,34,58,115,246,154,9,13,949,25,3,3,9,12,4,0,5,57,58,14,17,8,37,36,0,4,182,74,3,9,20,36,40,3,18,195,1851,197,292,421,929,781,78,156,4712
110,315,33,47,46,91,189,39,64,818,38,3,7,10,28,22,0,7,123,99,20,25,31,119,275,19,48,646,13,0,4,3,0,3,0,0,27,90,12,15,13,31,27,7,6,197,41,3,13,5,37,83,19,9,214,153,21,35,50,107,100,15,14,495,153,25,48,62,130,128,15,16,579,80,8,13,4,22,15,3,9,155,12,4,0,3,3,6,0,3,37,28,3,11,8,3,7,0,7,68,30,0,0,0,0,9,0,0,40,125,18,23,27,46,43,4,5,284,63,8,12,9,29,35,3,3,157,132,18,19,30,35,31,0,15,275,326,61,61,67,99,111,11,17,739,378,70,86,124,232,287,3,33,1219,16,0,0,5,3,0,0,0,34,72,8,13,12,27,24,0,8,162,82,13,18,12,31,59,3,23,247,2243,323,466,528,1083,1453,138,286,6521
