SA4_CODE_2016,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20more_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20more_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20more_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20more_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20more_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20more_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20more_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20more_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20more_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20more_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20more_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20more_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20more_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20more_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20more_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20more_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20more_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20more_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20more_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20more_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20more_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20more_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20more_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20more_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20more_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20more_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20more_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20more_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20more_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20more_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20more_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20more_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20more_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20more_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20more_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20more_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20more_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20more_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20more_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20more_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
101,161,316,14,3,499,5,13,0,0,23,67,236,35,7,339,11,21,3,0,32,305,654,52,10,1029,22,100,9,5,128,78,359,47,14,499,53,321,53,0,433,114,181,34,3,328,24,30,0,0,51,43,48,0,0,84,48,152,11,3,210,241,291,30,6,565,67,112,8,11,195,20,17,6,0,45,42,47,3,0,86,72,153,19,0,241,22,39,8,3,72,81,184,7,3,272,87,126,13,4,231,1555,3391,342,76,5364,1097,765,10,68,1934,6,0,0,0,6,228,89,11,7,329,10,6,0,0,17,935,349,3,30,1315,57,34,3,3,98,289,287,12,20,606,230,352,6,9,599,181,97,0,9,283,38,11,0,0,47,27,10,0,0,39,45,30,0,0,73,458,133,9,13,609,317,63,0,5,392,29,8,0,5,40,209,27,0,9,247,397,96,11,4,508,171,31,0,3,205,427,254,0,13,688
102,15,63,4,3,85,10,15,3,0,23,93,310,59,5,475,10,34,4,0,47,495,821,52,15,1375,50,134,11,0,197,135,437,59,7,647,50,274,68,3,397,138,139,17,8,304,53,63,11,0,131,119,124,3,0,257,98,217,17,6,341,425,509,31,8,969,147,171,16,10,341,28,45,8,0,76,69,87,11,3,163,141,382,41,4,570,30,67,5,0,108,129,261,9,0,404,171,212,14,7,400,2429,4360,446,73,7309,169,58,0,9,231,9,0,0,0,9,267,104,0,6,384,17,3,0,0,18,1273,413,0,24,1714,68,33,0,0,100,318,231,11,9,567,160,189,0,3,351,240,46,3,3,297,105,8,0,0,111,69,22,0,0,95,82,14,0,0,94,850,157,5,3,1017,598,105,0,5,713,27,0,3,0,32,348,59,3,3,414,679,228,14,10,929,227,30,0,5,259,788,253,0,14,1058
103,250,371,40,18,677,39,45,10,0,96,40,245,44,3,333,4,20,3,0,27,185,465,36,10,696,25,118,18,7,169,45,321,55,7,431,27,224,52,5,307,105,163,24,10,295,17,19,4,0,39,42,52,0,0,97,28,73,16,5,112,136,260,27,7,424,51,100,13,3,172,5,16,3,0,29,15,17,0,0,32,72,180,11,0,268,8,14,5,0,24,59,181,13,0,249,51,80,14,7,160,1207,2963,381,92,4636,1725,1047,3,98,2872,24,3,0,0,27,172,94,3,3,271,20,8,0,0,27,646,332,0,25,1002,39,31,0,0,70,259,237,4,13,511,166,267,6,8,447,228,90,0,14,329,31,3,0,0,37,35,16,0,0,50,52,22,0,3,79,371,118,17,8,506,263,67,0,3,333,18,11,3,0,33,172,32,0,0,203,383,111,7,3,503,119,20,0,6,145,515,242,0,22,785
104,42,81,17,4,141,9,3,0,0,17,16,113,14,0,144,3,8,0,0,16,125,267,21,3,408,16,45,3,0,62,44,230,35,0,316,29,170,38,3,243,48,74,12,4,145,22,22,4,0,47,31,47,4,0,76,39,90,8,0,140,137,154,21,0,309,40,58,3,0,104,6,7,0,0,12,17,39,6,0,59,46,183,14,3,247,9,8,7,0,20,38,109,0,0,149,52,65,7,6,128,772,1782,208,33,2793,468,195,22,17,703,3,0,0,0,3,180,89,0,3,273,12,0,0,0,11,593,155,3,20,768,30,25,0,4,60,215,161,3,13,393,130,198,3,3,334,109,50,3,3,164,25,0,0,0,25,30,7,0,0,43,53,22,0,0,77,319,88,8,3,419,225,38,0,9,271,14,8,0,0,17,146,22,0,0,173,444,90,3,3,545,99,11,3,3,119,390,144,0,9,541
105,189,324,8,18,534,10,15,3,0,33,16,75,13,0,99,5,3,3,0,16,69,209,15,3,301,16,55,13,0,78,25,200,31,4,264,21,126,25,3,178,51,65,11,4,132,5,12,0,0,16,18,40,0,0,50,16,51,0,0,62,42,119,13,3,177,21,61,4,0,88,3,8,4,0,9,4,9,0,0,14,37,70,16,0,123,0,8,0,0,10,24,94,3,0,125,31,54,8,0,86,610,1582,167,35,2396,1087,795,10,60,1957,26,3,0,0,34,85,46,0,7,134,3,0,0,0,8,336,148,0,13,491,21,23,0,0,45,133,115,12,3,264,103,152,7,3,269,146,47,0,10,203,8,0,0,0,8,13,6,0,3,15,16,8,0,0,22,142,59,0,0,204,96,36,0,7,137,8,3,0,0,16,65,9,0,3,73,191,43,6,9,250,50,15,0,3,68,295,125,0,17,434
106,97,142,18,12,265,85,77,35,0,194,65,218,54,3,333,11,28,0,0,41,258,548,43,19,871,31,78,12,4,122,80,345,58,0,481,38,247,60,6,350,121,206,33,9,366,18,20,0,0,39,52,57,3,3,118,40,118,9,0,169,202,343,33,3,580,79,143,15,3,246,12,19,11,0,42,29,34,3,0,63,112,211,24,3,352,23,28,8,0,62,86,240,12,0,345,86,144,13,4,248,1518,3241,454,68,5279,536,227,0,27,790,26,7,0,0,33,187,68,0,0,256,9,0,3,0,16,729,249,0,16,993,42,20,0,0,56,200,221,11,3,439,141,206,3,9,363,180,70,0,0,252,20,5,0,0,29,35,3,0,0,43,53,28,0,0,80,402,113,9,9,532,375,78,0,5,461,30,3,0,0,35,226,39,0,6,272,450,90,12,9,569,114,29,0,5,139,562,174,0,13,750
107,15,29,0,0,49,20,20,3,0,41,68,189,34,4,299,4,12,0,0,16,311,690,61,8,1066,31,113,25,0,169,96,372,64,9,542,31,269,74,3,383,142,141,29,5,312,30,39,3,0,74,67,108,6,0,189,58,154,21,0,244,316,386,49,10,754,86,158,16,0,258,13,25,5,0,44,54,86,11,0,157,144,351,47,3,544,22,47,4,0,82,94,227,15,3,345,106,152,23,3,280,1718,3577,498,57,5851,76,29,0,5,103,3,6,0,0,7,167,90,0,6,266,18,0,0,0,18,887,267,0,11,1165,33,28,0,0,59,317,207,16,10,548,153,249,8,7,407,183,55,7,8,242,68,9,0,0,77,39,17,0,0,57,51,14,0,0,69,634,165,18,8,829,384,67,0,5,450,33,4,4,0,42,347,70,4,4,421,672,181,10,9,866,177,30,0,0,215,646,259,0,12,916
108,77,124,6,5,210,4,6,3,0,15,35,143,37,0,210,5,11,0,0,19,204,391,30,13,632,23,72,16,0,105,57,338,43,7,445,43,236,58,9,346,76,125,22,3,225,17,18,3,0,36,56,43,3,3,112,38,165,9,3,218,167,233,19,3,424,58,103,7,7,176,6,18,3,0,26,21,29,7,0,57,92,257,24,5,384,14,28,0,0,43,41,128,4,4,180,65,102,6,3,180,1098,2572,295,66,4032,802,244,0,35,1085,0,0,0,0,0,229,84,0,7,314,11,3,0,0,9,970,299,3,27,1300,32,20,0,0,61,277,280,9,9,578,173,271,6,3,455,212,81,0,4,299,30,0,0,0,32,38,7,0,0,51,41,29,0,4,72,458,143,9,8,616,392,91,6,10,494,22,9,0,0,30,202,30,0,0,238,453,169,10,10,639,116,25,0,0,142,566,240,0,17,820
109,280,513,22,21,833,3,5,3,0,10,34,138,36,4,207,9,4,0,0,9,86,316,15,9,423,21,78,13,0,117,30,215,36,3,279,52,165,32,10,251,76,125,21,6,228,8,15,3,0,22,23,44,0,0,70,29,46,3,0,79,76,146,10,7,230,33,60,10,0,105,6,14,3,0,24,14,14,7,0,33,53,116,16,3,192,10,19,0,0,26,55,129,3,0,187,49,82,8,0,136,956,2218,239,62,3473,813,500,8,35,1353,4,0,0,0,5,94,69,0,0,161,3,4,0,0,9,432,152,3,6,588,37,26,0,0,64,137,124,4,3,273,111,170,3,3,291,97,43,4,3,143,12,0,0,0,19,18,9,0,0,24,27,14,0,0,34,204,77,13,4,294,125,39,0,3,171,12,0,3,0,18,91,9,0,0,103,253,60,13,7,329,42,12,0,0,48,284,145,0,10,435
110,268,631,32,31,963,10,11,3,0,29,44,112,27,8,190,8,17,0,0,26,118,385,30,10,533,18,127,6,0,152,45,306,38,8,388,42,177,35,9,256,83,148,22,4,258,13,8,0,0,20,34,53,4,3,92,38,97,11,4,151,93,197,34,4,328,39,85,4,0,132,5,14,0,0,21,25,19,3,0,43,55,157,12,0,231,11,11,0,0,24,35,147,3,3,191,54,79,9,9,142,1034,2779,264,94,4170,1919,996,4,87,3011,9,0,0,0,12,196,86,3,3,292,6,5,0,0,10,607,276,4,17,911,42,19,0,4,70,201,231,13,11,448,98,233,6,4,340,206,106,3,3,314,21,9,0,0,33,30,9,0,3,43,30,24,0,0,54,270,120,31,7,430,200,80,0,8,291,23,9,3,0,31,200,21,6,0,224,383,87,0,11,483,77,22,0,0,96,408,223,0,9,639
