SA4_CODE_2016,NG_NNI_Mng,NG_NNI_Pro,NG_NNI_TecTW,NG_NNI_CoPSW,NG_NNI_ClAW,NG_NNI_SWks,NG_NNI_MaOpDv,NG_NNI_Lab,NG_NNI_IDNS,NG_NNI_Tot,NG_1_149_Mng,NG_1_149_Pro,NG_1_149_TecTW,NG_1_149_CoPSW,NG_1_149_ClAW,NG_1_149_SWks,NG_1_149_MaOpDv,NG_1_149_Lab,NG_1_149_IDNS,NG_1_149_Tot,NG_150_299_Mng,NG_150_299_Pro,NG_150_299_TecTW,NG_150_299_CoPSW,NG_150_299_ClAW,NG_150_299_SWks,NG_150_299_MaOpDv,NG_150_299_Lab,NG_150_299_IDNS,NG_150_299_Tot,NG_300_399_Mng,NG_300_399_Pro,NG_300_399_TecTW,NG_300_399_CoPSW,NG_300_399_ClAW,NG_300_399_SWks,NG_300_399_MaOpDv,NG_300_399_Lab,NG_300_399_IDNS,NG_300_399_Tot,NG_400_499_Mng,NG_400_499_Pro,NG_400_499_TecTW,NG_400_499_CoPSW,NG_400_499_ClAW,NG_400_499_SWks,NG_400_499_MaOpDv,NG_400_499_Lab,NG_400_499_IDNS,NG_400_499_Tot,NG_500_649_Mng,NG_500_649_Pro,NG_500_649_TecTW,NG_500_649_CoPSW,NG_500_649_ClAW,NG_500_649_SWks,NG_500_649_MaOpDv,NG_500_649_Lab,NG_500_649_IDNS,NG_500_649_Tot,NG_650_799_Mng,NG_650_799_Pro,NG_650_799_TecTW,NG_650_799_CoPSW,NG_650_799_ClAW,NG_650_799_SWks,NG_650_799_MaOpDv,NG_650_799_Lab,NG_650_799_IDNS,NG_650_799_Tot,NG_800_999_Mng,NG_800_999_Pro,NG_800_999_TecTW,NG_800_999_CoPSW,NG_800_999_ClAW,NG_800_999_SWks,NG_800_999_MaOpDv,NG_800_999_Lab,NG_800_999_IDNS,NG_800_999_Tot,NG_1000_1249_Mng,NG_1000_1249_Pro,NG_1000_1249_TecTW,NG_1000_1249_CoPSW,NG_1000_1249_ClAW,NG_1000_1249_SWks,NG_1000_1249_MaOpDv,NG_1000_1249_Lab,NG_1000_1249_IDNS,NG_1000_1249_Tot,NG_1250_1499_Mng,NG_1250_1499_Pro,NG_1250_1499_TecTW,NG_1250_1499_CoPSW,NG_1250_1499_ClAW,NG_1250_1499_SWks,NG_1250_1499_MaOpDv,NG_1250_1499_Lab,NG_1250_1499_IDNS,NG_1250_1499_Tot,NG_1500_1749_Mng,NG_1500_1749_Pro,NG_1500_1749_TecTW,NG_1500_1749_CoPSW,NG_1500_1749_ClAW,NG_1500_1749_SWks,NG_1500_1749_MaOpDv,NG_1500_1749_Lab,NG_1500_1749_IDNS,NG_1500_1749_Tot,NG_1750_1999_Mng,NG_1750_1999_Pro,NG_1750_1999_TecTW,NG_1750_1999_CoPSW,NG_1750_1999_ClAW,NG_1750_1999_SWks,NG_1750_1999_MaOpDv,NG_1750_1999_Lab,NG_1750_1999_IDNS,NG_1750_1999_Tot,NG_2000_2999_Mng,NG_2000_2999_Pro,NG_2000_2999_TecTW,NG_2000_2999_CoPSW,NG_2000_2999_ClAW,NG_2000_2999_SWks,NG_2000_2999_MaOpDv,NG_2000_2999_Lab,NG_2000_2999_IDNS,NG_2000_2999_Tot,NG_3000mo_Mng,NG_3000mo_Pro,NG_3000mo_TecTW,NG_3000mo_CoPSW,NG_3000mo_ClAW,NG_3000mo_SWks,NG_3000mo_MaOpDv,NG_3000mo_Lab,NG_3000mo_IDNS,NG_3000mo_Tot,NG_PINS_Mng,NG_PINS_Pro,NG_PINS_TecTW,NG_PINS_CoPSW,NG_PINS_ClAW,NG_PINS_SWks,NG_PINS_MaOpDv,NG_PINS_Lab,NG_PINS_IDNS,NG_PINS_Tot,NG_Tot_Mng,NG_Tot_Pro,NG_Tot_TecTW,NG_Tot_CoPSW,NG_Tot_ClAW,NG_Tot_SWks,NG_Tot_MaOpDv,NG_Tot_Lab,NG_Tot_IDNS,NG_Tot_Tot,SG_NNI_Mng,SG_NNI_Pro,SG_NNI_TecTW,SG_NNI_CoPSW,SG_NNI_ClAW,SG_NNI_SWks,SG_NNI_MaOpDv,SG_NNI_Lab,SG_NNI_IDNS,SG_NNI_Tot,SG_1_149_Mng,SG_1_149_Pro,SG_1_149_TecTW,SG_1_149_CoPSW,SG_1_149_ClAW,SG_1_149_SWks,SG_1_149_MaOpDv,SG_1_149_Lab,SG_1_149_IDNS,SG_1_149_Tot,SG_150_299_Mng,SG_150_299_Pro,SG_150_299_TecTW,SG_150_299_CoPSW,SG_150_299_ClAW,SG_150_299_SWks,SG_150_299_MaOpDv,SG_150_299_Lab,SG_150_299_IDNS,SG_150_299_Tot,SG_300_399_Mng,SG_300_399_Pro,SG_300_399_TecTW,SG_300_399_CoPSW,SG_300_399_ClAW,SG_300_399_SWks,SG_300_399_MaOpDv,SG_300_399_Lab,SG_300_399_IDNS,SG_300_399_Tot
101,0,0,0,0,7,0,0,0,0,7,0,4,0,0,18,0,0,0,0,32,0,6,4,0,31,0,0,0,3,41,0,7,0,0,25,0,0,0,0,36,0,7,3,3,29,9,0,3,0,50,0,19,0,5,47,10,0,0,3,85,3,8,3,4,67,12,4,3,0,99,3,13,0,9,97,14,0,0,3,144,9,32,8,14,219,6,0,0,12,304,26,39,10,29,141,0,3,6,9,261,42,44,8,27,71,3,0,3,6,200,42,45,3,16,33,0,0,0,3,139,171,83,8,21,22,0,0,0,12,316,77,27,0,4,5,0,0,0,0,117,3,3,0,6,8,0,0,0,0,16,384,340,43,142,811,52,5,24,52,1856,0,3,0,0,0,0,0,0,0,11,3,4,3,17,4,0,0,3,0,39,0,21,3,49,13,0,0,5,0,101,0,40,3,43,20,0,4,14,0,118
102,0,0,0,0,3,0,0,0,0,3,0,11,0,0,18,3,0,0,0,28,0,5,0,7,8,0,0,0,0,23,0,9,0,9,17,0,0,0,0,35,0,7,0,10,12,0,0,0,0,34,3,17,8,3,47,6,3,0,0,93,0,25,0,3,63,3,4,0,0,96,3,28,0,4,120,6,6,3,0,173,9,36,8,3,208,5,5,0,12,288,14,48,15,7,175,4,3,0,8,270,18,63,12,6,77,0,0,0,5,177,11,67,3,0,26,0,0,0,0,105,12,57,3,0,17,0,0,0,0,98,9,10,0,0,0,0,0,0,0,21,0,0,0,0,9,0,0,0,4,13,78,386,46,61,787,35,23,7,29,1453,0,7,0,3,0,0,0,0,0,16,4,11,0,14,7,0,0,8,0,47,0,36,5,58,26,0,0,19,0,146,11,59,6,73,39,0,3,15,3,203
103,3,0,0,0,9,0,0,0,0,15,0,6,0,10,7,0,0,0,0,21,3,12,3,15,36,0,3,3,0,68,0,9,0,10,19,0,0,0,0,44,3,8,0,14,26,0,0,3,5,60,3,32,3,19,45,8,3,4,0,123,0,29,3,45,40,3,3,6,0,142,0,44,9,24,77,10,0,5,9,176,15,72,19,23,133,12,3,0,3,278,18,80,19,8,119,3,0,0,4,249,33,100,10,11,50,0,3,3,0,207,17,107,6,7,28,0,0,0,3,171,41,133,3,3,27,0,0,0,3,209,23,29,0,0,4,0,0,0,0,51,3,9,0,0,7,0,0,0,0,23,174,664,83,188,617,39,14,32,34,1839,0,3,0,7,0,0,0,0,0,9,3,10,0,25,3,3,0,10,0,52,0,37,5,43,8,0,0,20,0,118,3,47,8,52,20,0,3,20,0,145
104,0,0,0,0,3,0,0,0,0,6,0,0,0,3,5,0,0,0,0,6,0,3,0,3,9,6,0,0,0,18,0,8,0,4,17,3,0,0,0,36,0,3,0,3,17,4,0,3,0,35,0,10,3,3,30,5,0,0,0,49,0,16,0,3,48,3,0,0,0,80,0,19,0,0,91,9,0,0,0,126,6,22,3,7,158,0,0,0,4,212,8,34,5,0,155,3,0,0,5,223,22,48,4,5,41,0,0,0,5,135,14,21,7,4,11,0,0,0,4,58,22,38,3,0,15,0,0,0,0,78,3,3,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,6,86,228,33,44,617,29,11,12,32,1078,0,0,0,0,3,0,0,3,0,8,0,8,0,7,3,0,0,3,0,22,0,24,0,25,8,0,0,5,0,61,0,26,0,29,11,3,0,5,0,74
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,3,0,0,11,0,0,0,0,16,0,0,0,0,4,0,0,3,0,9,0,3,0,3,9,3,0,0,0,21,3,3,0,3,8,0,0,4,0,29,0,10,0,3,25,0,0,3,3,43,0,9,0,4,26,5,0,4,0,51,3,16,4,6,38,3,0,4,0,80,3,34,0,8,47,0,0,3,4,97,12,29,7,4,29,3,0,3,3,80,3,22,0,4,3,0,0,0,0,35,14,17,3,4,8,0,0,0,0,46,4,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,41,150,19,36,225,21,5,24,13,535,0,6,0,7,0,0,0,0,0,13,0,9,0,13,3,0,0,3,0,29,0,15,0,32,5,0,0,9,0,59,0,23,0,34,6,0,0,9,0,75
106,0,0,0,0,9,0,0,0,0,11,0,0,0,0,12,4,0,0,0,19,0,3,0,3,11,0,0,4,0,27,0,3,0,9,19,0,0,0,4,35,4,3,0,3,16,0,0,0,3,34,6,14,0,47,27,11,4,3,3,117,14,15,8,189,47,13,3,3,3,288,23,24,20,114,89,15,15,3,12,312,46,67,125,151,152,3,24,9,16,599,72,81,223,148,156,3,18,0,10,717,99,127,249,110,72,0,3,3,14,677,114,92,116,52,21,0,4,3,3,405,182,169,74,49,51,0,0,3,8,529,46,58,8,4,12,0,0,0,3,129,0,4,4,6,9,0,0,0,3,32,615,651,829,890,706,39,80,32,83,3928,0,0,0,3,0,0,0,0,0,11,0,12,0,29,8,0,0,4,0,63,0,28,0,58,19,0,3,20,0,129,3,44,7,74,21,0,3,19,3,177
107,0,3,0,0,3,0,0,0,0,10,0,66,4,6,28,0,0,3,3,111,3,94,0,11,27,3,0,7,8,158,4,63,0,15,39,3,3,7,8,136,3,100,9,8,70,7,0,6,3,216,5,131,7,16,144,11,3,3,3,329,13,114,11,10,184,8,6,11,0,351,20,137,14,9,256,10,14,0,11,474,29,155,37,13,411,6,8,0,20,688,43,215,44,17,388,3,4,0,13,741,66,303,42,13,163,3,5,0,13,611,59,236,6,5,56,0,0,0,7,373,135,463,7,8,46,3,0,0,3,661,74,119,0,0,5,0,0,0,0,200,5,19,0,0,11,0,0,0,0,31,445,2226,194,135,1836,67,45,43,84,5076,0,12,0,3,3,0,0,3,4,24,0,23,0,31,5,0,0,13,0,72,4,31,6,65,32,3,3,18,0,168,3,62,9,82,35,3,3,19,6,215
108,0,0,0,0,8,0,0,0,0,10,0,3,0,0,14,0,0,0,0,17,0,8,0,0,20,0,0,0,0,28,0,3,0,3,28,0,0,0,0,36,0,3,0,8,24,4,0,0,0,43,3,10,0,7,34,10,0,0,0,58,0,9,3,4,44,3,0,0,0,67,3,18,3,8,84,10,0,0,0,129,0,18,7,0,133,5,0,0,8,173,15,38,4,4,134,3,0,0,3,211,16,44,3,5,35,0,0,0,3,107,4,41,3,3,13,0,0,0,0,61,9,22,0,0,9,0,0,0,0,46,3,4,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,4,63,218,28,44,582,41,4,13,23,1009,0,0,0,0,0,0,0,0,0,3,0,9,0,18,3,0,0,6,0,35,0,19,0,32,19,0,0,10,0,84,0,38,9,44,19,3,0,14,0,129
109,0,0,0,0,3,0,0,0,0,5,0,0,0,4,7,0,0,0,0,12,0,8,0,0,14,0,0,4,0,25,0,0,0,3,29,0,0,0,0,36,0,6,0,9,65,3,0,3,0,91,0,17,3,4,85,0,0,3,5,119,5,18,0,6,79,5,0,3,0,124,3,23,6,7,122,11,3,3,8,182,5,48,7,13,170,3,3,0,11,260,13,84,10,3,153,0,0,0,10,277,22,78,4,7,60,0,0,0,8,183,20,63,4,3,19,0,0,0,4,116,43,70,3,0,20,0,0,0,3,140,4,12,0,0,0,0,0,0,0,19,0,3,0,0,6,3,0,0,0,16,112,441,43,69,838,29,14,15,47,1604,0,3,0,0,0,0,0,0,0,7,0,4,3,6,0,0,0,0,0,19,0,13,3,13,5,0,0,7,0,42,0,19,3,28,11,0,0,16,0,85
110,0,0,0,0,3,0,0,0,0,6,0,16,0,3,12,0,0,0,0,37,3,32,5,0,32,0,0,3,3,77,0,24,3,3,21,3,0,0,0,59,0,27,5,3,18,5,0,0,0,71,0,42,0,7,42,3,0,4,5,109,3,29,9,7,41,3,3,10,0,106,8,52,17,8,65,20,0,4,0,180,18,100,40,23,153,4,0,6,3,338,25,118,41,15,136,0,3,3,3,347,47,190,21,7,62,0,0,0,7,331,38,143,7,9,23,0,0,0,3,222,47,275,11,0,17,0,3,0,0,350,38,70,0,0,3,0,0,0,0,113,0,3,0,0,3,0,0,0,0,12,237,1123,160,85,642,36,9,33,27,2357,0,4,3,4,3,0,0,0,0,11,0,22,0,26,5,0,0,5,0,55,0,18,3,31,15,0,3,16,0,84,6,44,3,59,23,0,0,28,0,160
