SA4_CODE_2016,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000mo_Mng,Tot_3000mo_Pro,Tot_3000mo_TecTW,Tot_3000mo_CoPSW,Tot_3000mo_ClAW,Tot_3000mo_SWks,Tot_3000mo_MaOpDv,Tot_3000mo_Lab,Tot_3000mo_IDNS,Tot_3000mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
101,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,4,0,16,13,5,48,0,23,8,114,65,139,725,961,239,1526,67,778,69,4577
102,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,3,3,19,24,0,55,0,20,15,147,133,313,972,1814,387,3245,219,1518,87,8680
103,0,3,4,0,0,0,0,0,0,5,0,0,3,0,0,0,0,3,0,12,0,3,21,18,3,46,0,11,22,124,105,241,778,1123,214,1589,75,866,86,5069
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,24,0,9,18,60,59,90,354,560,130,1135,38,593,50,3002
105,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,7,0,3,7,4,0,21,0,12,11,55,36,101,358,415,103,687,35,323,41,2096
106,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,15,13,0,50,0,27,10,120,127,238,960,1252,302,2306,151,1318,86,6747
107,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,11,3,5,18,33,8,53,3,12,14,155,170,706,1026,2248,603,3025,255,1452,118,9592
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,19,8,47,0,23,7,109,59,116,500,749,171,1560,62,770,59,4047
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,8,0,28,0,6,11,68,66,126,441,650,130,1088,43,504,49,3104
110,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,9,0,0,11,17,0,33,5,20,13,101,104,224,561,765,237,1484,86,739,69,4270
111,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,8,0,6,21,40,13,65,0,23,24,202,221,842,1377,2987,756,4151,290,1998,116,12735
112,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,4,3,3,7,25,4,45,0,27,20,130,98,167,594,986,263,2054,90,1061,82,5391
