SA4_CODE_2016,SS_NS_None_Mng,SS_NS_None_Pro,SS_NS_None_TecTW,SS_NS_None_CoPSW,SS_NS_None_ClAW,SS_NS_None_SWks,SS_NS_None_MaOpDv,SS_NS_None_Lab,SS_NS_None_IDNS,SS_NS_None_Tot,SS_NS_1_15_Mng,SS_NS_1_15_Pro,SS_NS_1_15_TecTW,SS_NS_1_15_CoPSW,SS_NS_1_15_ClAW,SS_NS_1_15_SWks,SS_NS_1_15_MaOpDv,SS_NS_1_15_Lab,SS_NS_1_15_IDNS,SS_NS_1_15_Tot,SS_NS_16_24_Mng,SS_NS_16_24_Pro,SS_NS_16_24_TecTW,SS_NS_16_24_CoPSW,SS_NS_16_24_ClAW,SS_NS_16_24_SWks,SS_NS_16_24_MaOpDv,SS_NS_16_24_Lab,SS_NS_16_24_IDNS,SS_NS_16_24_Tot,SS_NS_25_34_Mng,SS_NS_25_34_Pro,SS_NS_25_34_TecTW,SS_NS_25_34_CoPSW,SS_NS_25_34_ClAW,SS_NS_25_34_SWks,SS_NS_25_34_MaOpDv,SS_NS_25_34_Lab,SS_NS_25_34_IDNS,SS_NS_25_34_Tot,SS_NS_35_39_Mng,SS_NS_35_39_Pro,SS_NS_35_39_TecTW,SS_NS_35_39_CoPSW,SS_NS_35_39_ClAW,SS_NS_35_39_SWks,SS_NS_35_39_MaOpDv,SS_NS_35_39_Lab,SS_NS_35_39_IDNS,SS_NS_35_39_Tot,SS_NS_40_Mng,SS_NS_40_Pro,SS_NS_40_TecTW,SS_NS_40_CoPSW,SS_NS_40_ClAW,SS_NS_40_SWks,SS_NS_40_MaOpDv,SS_NS_40_Lab,SS_NS_40_IDNS,SS_NS_40_Tot,SS_NS_41_48_Mng,SS_NS_41_48_Pro,SS_NS_41_48_TecTW,SS_NS_41_48_CoPSW,SS_NS_41_48_ClAW,SS_NS_41_48_SWks,SS_NS_41_48_MaOpDv,SS_NS_41_48_Lab,SS_NS_41_48_IDNS,SS_NS_41_48_Tot,SS_NS_49mo_Mng,SS_NS_49mo_Pro,SS_NS_49mo_TecTW,SS_NS_49mo_CoPSW,SS_NS_49mo_ClAW,SS_NS_49mo_SWks,SS_NS_49mo_MaOpDv,SS_NS_49mo_Lab,SS_NS_49mo_IDNS,SS_NS_49mo_Tot,SS_NS_NS_Mng,SS_NS_NS_Pro,SS_NS_NS_TecTW,SS_NS_NS_CoPSW,SS_NS_NS_ClAW,SS_NS_NS_SWks,SS_NS_NS_MaOpDv,SS_NS_NS_Lab,SS_NS_NS_IDNS,SS_NS_NS_Tot,SS_NS_Tot_Mng,SS_NS_Tot_Pro,SS_NS_Tot_TecTW,SS_NS_Tot_CoPSW,SS_NS_Tot_ClAW,SS_NS_Tot_SWks,SS_NS_Tot_MaOpDv,SS_NS_Tot_Lab,SS_NS_Tot_Inad_des_Tot,SS_NS_Tot_Tot,Tot_None_Mng,Tot_None_Pro,Tot_None_TecTW,Tot_None_CoPSW,Tot_None_ClAW,Tot_None_SWks,Tot_None_MaOpDv,Tot_None_Lab,Tot_None_IDNS,Tot_None_Tot,Tot_1_15_Mng,Tot_1_15_Pro,Tot_1_15_TecTW,Tot_1_15_CoPSW,Tot_1_15_ClAW,Tot_1_15_SWks,Tot_1_15_MaOpDv,Tot_1_15_Lab,Tot_1_15_IDNS,Tot_1_15_Tot,Tot_16_24_Mng,Tot_16_24_Pro,Tot_16_24_TecTW,Tot_16_24_CoPSW,Tot_16_24_ClAW,Tot_16_24_SWks,Tot_16_24_MaOpDv,Tot_16_24_Lab,Tot_16_24_IDNS,Tot_16_24_Tot,Tot_25_34_Mng,Tot_25_34_Pro,Tot_25_34_TecTW,Tot_25_34_CoPSW,Tot_25_34_ClAW,Tot_25_34_SWks,Tot_25_34_MaOpDv,Tot_25_34_Lab,Tot_25_34_IDNS,Tot_25_34_Tot,Tot_35_39_Mng,Tot_35_39_Pro,Tot_35_39_TecTW,Tot_35_39_CoPSW,Tot_35_39_ClAW,Tot_35_39_SWks,Tot_35_39_MaOpDv,Tot_35_39_Lab,Tot_35_39_IDNS,Tot_35_39_Tot,Tot_40_Mng,Tot_40_Pro,Tot_40_TecTW,Tot_40_CoPSW,Tot_40_ClAW,Tot_40_SWks,Tot_40_MaOpDv,Tot_40_Lab,Tot_40_IDNS,Tot_40_Tot,Tot_41_48_Mng,Tot_41_48_Pro,Tot_41_48_TecTW,Tot_41_48_CoPSW,Tot_41_48_ClAW,Tot_41_48_SWks,Tot_41_48_MaOpDv,Tot_41_48_Lab,Tot_41_48_IDNS,Tot_41_48_Tot,Tot_49mo_Mng,Tot_49mo_Pro,Tot_49mo_TecTW,Tot_49mo_CoPSW,Tot_49mo_ClAW,Tot_49mo_SWks,Tot_49mo_MaOpDv,Tot_49mo_Lab,Tot_49mo_IDNS,Tot_49mo_Tot,Tot_NS_Mng,Tot_NS_Pro,Tot_NS_TecTW,Tot_NS_CoPSW,Tot_NS_ClAW,Tot_NS_SWks,Tot_NS_MaOpDv,Tot_NS_Lab,Tot_NS_IDNS,Tot_NS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_Inad_des_Tot,Tot_Tot_Tot
101,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,3,0,15,0,0,0,6,0,3,0,0,0,7,0,0,0,3,0,8,0,3,0,10,0,0,5,0,0,0,0,5,0,15,0,0,8,3,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,11,3,0,18,20,4,13,5,18,7,93,3,0,10,49,6,77,0,38,0,190,19,47,60,516,80,1099,27,530,24,2408,8,13,27,140,30,182,3,87,7,499,4,17,39,100,27,73,3,35,0,289,10,33,216,64,56,33,16,26,9,454,10,9,205,33,24,10,7,11,3,316,3,6,102,11,6,11,5,15,0,164,12,9,46,20,4,6,0,12,0,111,0,3,15,26,4,35,3,26,24,140,65,139,725,961,239,1526,67,778,69,4577
102,0,0,0,0,0,0,0,0,0,4,0,3,3,4,0,14,0,4,0,34,0,0,0,3,3,5,0,0,0,12,0,0,0,7,0,3,0,0,0,7,0,0,10,4,5,3,0,0,0,22,0,0,8,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,9,14,0,5,26,16,4,33,0,10,9,108,9,7,24,81,15,176,3,65,3,397,32,117,82,978,155,2281,125,1091,27,4891,26,61,50,353,82,496,56,219,9,1346,18,34,61,188,32,159,12,70,4,581,18,40,288,109,47,46,9,25,0,588,15,28,266,54,29,26,14,16,0,444,12,11,110,13,13,5,3,3,0,165,10,8,57,9,8,4,0,0,0,99,3,5,27,30,3,51,0,17,35,168,133,313,972,1814,387,3245,219,1518,87,8680
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,20,0,0,0,0,0,5,0,5,0,8,0,0,0,5,0,8,0,0,0,10,0,0,11,5,3,3,0,5,0,25,0,0,9,0,0,0,0,3,0,17,0,0,4,0,0,0,0,0,0,11,0,5,3,0,0,0,0,3,0,8,0,0,7,0,0,0,0,9,11,23,7,4,26,12,3,19,3,28,11,123,4,14,12,79,6,112,0,50,4,284,30,71,49,568,70,1093,31,592,18,2530,8,18,24,166,21,190,11,83,4,522,9,27,28,107,14,82,4,43,3,316,13,40,226,90,48,49,9,27,3,505,17,39,223,35,20,19,7,23,3,385,7,7,121,21,20,3,0,12,0,195,9,13,71,21,9,8,6,10,0,135,5,5,22,28,7,37,3,27,47,193,105,241,778,1123,214,1589,75,866,86,5069
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,14,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,11,0,3,3,0,0,0,0,0,3,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,3,12,7,0,6,0,6,9,47,3,3,4,37,3,62,3,28,0,155,13,16,31,299,38,853,16,457,20,1755,14,9,13,73,18,108,11,63,0,306,7,16,23,55,12,39,0,12,0,172,13,21,136,54,34,24,4,10,0,290,7,8,88,14,11,4,0,11,3,145,3,3,36,4,3,10,0,4,0,65,3,7,15,3,3,5,0,0,0,43,0,3,8,10,3,16,0,13,22,73,59,90,354,560,130,1135,38,593,50,3002
105,0,0,3,0,0,0,0,0,0,3,0,0,3,4,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,3,0,3,0,10,0,0,11,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,7,6,0,0,24,5,5,12,0,6,7,70,3,3,9,23,4,34,3,27,0,108,3,17,26,192,22,501,12,216,4,999,4,14,15,52,9,71,3,38,4,204,9,9,8,50,15,29,0,7,0,123,4,29,100,48,33,19,3,7,0,239,8,15,109,30,14,6,0,4,0,187,3,3,46,11,6,4,0,5,0,82,8,9,42,9,0,0,4,10,0,86,0,0,6,7,0,24,0,7,25,76,36,101,358,415,103,687,35,323,41,2096
106,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,5,0,4,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,9,3,0,14,4,0,4,3,0,0,28,0,0,9,3,0,0,0,3,0,20,0,0,3,4,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,11,0,0,0,3,0,0,0,3,0,12,9,4,34,24,6,15,4,21,0,105,9,6,18,74,7,104,13,62,4,302,37,80,69,628,111,1642,87,965,26,3643,11,25,37,237,45,318,22,154,5,859,20,25,42,108,30,140,3,59,0,432,22,37,314,60,61,42,6,17,5,572,17,32,257,40,25,11,3,14,4,401,10,19,133,23,10,4,4,4,3,214,4,12,78,53,6,6,4,9,0,184,4,4,7,24,3,41,3,24,38,144,127,238,960,1252,302,2306,151,1318,86,6747
107,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,3,0,6,0,25,0,0,0,3,0,3,0,0,0,11,0,0,3,0,0,0,0,0,0,11,0,3,4,3,3,0,0,3,5,19,0,0,10,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,3,3,0,4,12,3,4,17,17,7,14,3,22,13,102,0,18,19,87,18,150,8,73,0,376,41,302,92,1268,279,2100,170,1014,33,5297,27,74,65,433,130,495,48,231,9,1508,29,84,68,218,54,160,9,61,3,688,26,96,274,100,80,49,7,16,9,655,21,74,307,54,31,12,7,14,4,524,7,23,125,24,13,10,4,7,0,211,9,17,60,14,8,3,3,5,0,128,5,17,17,41,3,38,3,19,63,205,170,706,1026,2248,603,3025,255,1452,118,9592
108,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,5,0,7,0,13,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,3,0,9,0,3,11,4,0,0,0,0,0,11,0,0,5,0,3,0,0,0,0,17,0,3,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,6,0,10,23,12,3,17,0,15,9,92,4,3,14,54,10,105,0,60,4,258,22,29,37,435,66,1204,39,560,14,2406,9,10,29,92,10,134,13,65,0,362,0,14,32,60,15,54,0,25,0,194,9,20,173,47,42,19,3,17,0,329,9,18,107,28,16,7,0,8,0,198,0,6,58,13,12,7,3,3,0,105,8,6,33,6,3,8,0,6,0,61,0,5,16,15,0,36,0,27,37,136,59,116,500,749,171,1560,62,770,59,4047
109,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,7,3,0,12,5,0,7,0,7,4,42,0,0,9,37,13,61,0,33,3,162,23,44,32,386,47,816,23,359,6,1738,7,11,17,92,10,100,4,37,0,279,4,9,18,54,10,47,7,32,0,179,8,36,145,29,28,20,3,15,6,292,7,14,135,15,14,12,3,7,0,208,3,4,54,11,6,0,3,3,0,84,4,5,20,10,0,3,0,4,0,46,6,4,12,15,3,24,3,18,33,116,66,126,441,650,130,1088,43,504,49,3104
110,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,7,0,15,0,0,0,0,3,0,0,0,0,9,0,0,0,3,0,3,0,0,0,8,7,0,8,0,0,11,0,3,0,27,3,0,6,0,0,0,0,3,0,15,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,3,13,9,3,22,12,10,17,3,18,3,95,12,18,14,60,10,92,11,54,3,268,18,65,74,359,71,1021,43,491,14,2158,16,17,19,122,36,164,6,88,5,475,13,26,18,75,31,81,3,29,0,273,10,49,169,55,56,37,3,21,6,413,12,21,140,20,20,16,5,25,0,254,4,12,61,17,11,24,3,10,0,137,15,11,52,16,3,9,8,9,0,125,0,4,10,39,15,42,3,16,41,173,104,224,561,765,237,1484,86,739,69,4270
