LGA_NAME16	CountryOfBirth	EmploymentStatus	Sex	workers
Albury (C)		Contributing family workers	F	8
Albury (C)		Contributing family workers	M	7
Albury (C)		Employee	F	329
Albury (C)		Employee	M	326
Albury (C)		Owner managers of incorporated enterprises	F	23
Albury (C)		Owner managers of incorporated enterprises	M	27
Albury (C)		Owner managers of unincorporated enterprises	F	25
Albury (C)		Owner managers of unincorporated enterprises	M	35
Albury (C)		Status in employment not stated	F	13
Albury (C)		Status in employment not stated	M	13
Albury (C)	AUS	Contributing family workers	F	136
Albury (C)	AUS	Contributing family workers	M	113
Albury (C)	AUS	Employee	F	10630
Albury (C)	AUS	Employee	M	8097
Albury (C)	AUS	Owner managers of incorporated enterprises	F	379
Albury (C)	AUS	Owner managers of incorporated enterprises	M	820
Albury (C)	AUS	Owner managers of unincorporated enterprises	F	598
Albury (C)	AUS	Owner managers of unincorporated enterprises	M	797
Albury (C)	AUS	Status in employment not stated	F	87
Albury (C)	AUS	Status in employment not stated	M	80
Albury (C)	CAN	Employee	F	9
Albury (C)	CAN	Employee	M	21
Albury (C)	CAN	Owner managers of incorporated enterprises	M	4
Albury (C)	CHN	Contributing family workers	M	3
Albury (C)	CHN	Employee	F	34
Albury (C)	CHN	Employee	M	17
Albury (C)	CHN	Owner managers of incorporated enterprises	F	5
Albury (C)	CHN	Owner managers of incorporated enterprises	M	5
Albury (C)	CHN	Owner managers of unincorporated enterprises	F	3
Albury (C)	CHN	Owner managers of unincorporated enterprises	M	8
Albury (C)	HRV	Employee	F	8
Albury (C)	HRV	Employee	M	9
Albury (C)	EGY	Employee	M	4
Albury (C)	FJI	Employee	F	17
Albury (C)	FJI	Employee	M	9
Albury (C)	FJI	Owner managers of incorporated enterprises	F	3
Albury (C)	FJI	Owner managers of unincorporated enterprises	M	3
Albury (C)	DEU	Employee	F	34
Albury (C)	DEU	Employee	M	29
Albury (C)	DEU	Owner managers of incorporated enterprises	F	5
Albury (C)	DEU	Owner managers of unincorporated enterprises	F	4
Albury (C)	DEU	Owner managers of unincorporated enterprises	M	4
Albury (C)	GRC	Employee	M	7
Albury (C)	GRC	Owner managers of unincorporated enterprises	M	4
Albury (C)	HKG	Employee	F	3
Albury (C)	HKG	Employee	M	8
Albury (C)	HKG	Owner managers of incorporated enterprises	M	3
Albury (C)	HKG	Owner managers of unincorporated enterprises	F	4
Albury (C)	HKG	Owner managers of unincorporated enterprises	M	4
Albury (C)	IND	Contributing family workers	M	3
Albury (C)	IND	Employee	F	135
Albury (C)	IND	Employee	M	146
Albury (C)	IND	Owner managers of incorporated enterprises	F	5
Albury (C)	IND	Owner managers of incorporated enterprises	M	19
Albury (C)	IND	Owner managers of unincorporated enterprises	F	3
Albury (C)	IND	Owner managers of unincorporated enterprises	M	8
Albury (C)	IDN	Employee	F	6
Albury (C)	IDN	Employee	M	3
Albury (C)	IRN	Employee	F	6
Albury (C)	IRN	Employee	M	4
Albury (C)	IRQ	Employee	M	3
Albury (C)	IRL	Employee	F	6
Albury (C)	IRL	Employee	M	21
Albury (C)	IRL	Owner managers of incorporated enterprises	M	3
Albury (C)	ITA	Employee	F	9
Albury (C)	ITA	Employee	M	6
Albury (C)	ITA	Owner managers of incorporated enterprises	M	3
Albury (C)	JPN	Employee	F	3
Albury (C)	LBN	Employee	F	4
Albury (C)	LBN	Employee	M	3
Albury (C)	LBN	Owner managers of incorporated enterprises	M	3
Albury (C)	LBN	Owner managers of unincorporated enterprises	M	5
Albury (C)	MYS	Employee	F	23
Albury (C)	MYS	Employee	M	6
Albury (C)	MLT	Employee	F	3
Albury (C)	NLD	Contributing family workers	F	4
Albury (C)	NLD	Employee	F	22
Albury (C)	NLD	Employee	M	16
Albury (C)	NLD	Owner managers of incorporated enterprises	M	5
Albury (C)	NLD	Owner managers of unincorporated enterprises	F	4
Albury (C)	NLD	Owner managers of unincorporated enterprises	M	3
Albury (C)	NZL	Contributing family workers	M	4
Albury (C)	NZL	Employee	F	134
Albury (C)	NZL	Employee	M	135
Albury (C)	NZL	Owner managers of incorporated enterprises	F	7
Albury (C)	NZL	Owner managers of incorporated enterprises	M	13
Albury (C)	NZL	Owner managers of unincorporated enterprises	F	9
Albury (C)	NZL	Owner managers of unincorporated enterprises	M	11
Albury (C)	PAK	Employee	M	11
Albury (C)	PHL	Employee	F	97
Albury (C)	PHL	Employee	M	54
