LGA_NAME16	Occupation	PublicSector	LevelOfGovt	workers
Albury (C)				139
Albury (C)		0		173
Albury (C)		0		60
Albury (C)		1	Local	6
Albury (C)		1	National	45
Albury (C)		1	State territory	16
Albury (C)	Clerical and administrative workers			7
Albury (C)	Clerical and administrative workers	0		2562
Albury (C)	Clerical and administrative workers	0		50
Albury (C)	Clerical and administrative workers	1	Local	93
Albury (C)	Clerical and administrative workers	1	National	794
Albury (C)	Clerical and administrative workers	1	State territory	305
Albury (C)	Community and personal service workers			17
Albury (C)	Community and personal service workers	0		2630
Albury (C)	Community and personal service workers	0		46
Albury (C)	Community and personal service workers	1	Local	28
Albury (C)	Community and personal service workers	1	National	55
Albury (C)	Community and personal service workers	1	State territory	436
Albury (C)	Labourers			28
Albury (C)	Labourers	0		2000
Albury (C)	Labourers	0		38
Albury (C)	Labourers	1	Local	36
Albury (C)	Labourers	1	National	16
Albury (C)	Labourers	1	State territory	76
Albury (C)	Machinery operators and drivers			5
Albury (C)	Machinery operators and drivers	0		1349
Albury (C)	Machinery operators and drivers	0		18
Albury (C)	Machinery operators and drivers	1	Local	41
Albury (C)	Machinery operators and drivers	1	National	8
Albury (C)	Machinery operators and drivers	1	State territory	26
Albury (C)	Managers			13
Albury (C)	Managers	0		2283
Albury (C)	Managers	0		32
Albury (C)	Managers	1	Local	53
Albury (C)	Managers	1	National	106
Albury (C)	Managers	1	State territory	161
Albury (C)	Professionals			22
Albury (C)	Professionals	0		3179
Albury (C)	Professionals	0		56
Albury (C)	Professionals	1	Local	90
Albury (C)	Professionals	1	National	423
Albury (C)	Professionals	1	State territory	1237
Albury (C)	Sales workers			8
Albury (C)	Sales workers	0		3055
Albury (C)	Sales workers	0		57
Albury (C)	Sales workers	1	National	18
Albury (C)	Sales workers	1	State territory	15
Albury (C)	Technicians and trades workers			25
Albury (C)	Technicians and trades workers	0		3015
Albury (C)	Technicians and trades workers	0		61
Albury (C)	Technicians and trades workers	1	Local	122
Albury (C)	Technicians and trades workers	1	National	37
Albury (C)	Technicians and trades workers	1	State territory	76
Armidale Regional (A)				62
Armidale Regional (A)		0		87
Armidale Regional (A)		0		25
Armidale Regional (A)		1	Local	3
Armidale Regional (A)		1	National	11
Armidale Regional (A)		1	State territory	7
Armidale Regional (A)	Clerical and administrative workers			3
Armidale Regional (A)	Clerical and administrative workers	0		1173
Armidale Regional (A)	Clerical and administrative workers	0		23
Armidale Regional (A)	Clerical and administrative workers	1	Local	55
Armidale Regional (A)	Clerical and administrative workers	1	National	342
Armidale Regional (A)	Clerical and administrative workers	1	State territory	157
Armidale Regional (A)	Community and personal service workers			4
Armidale Regional (A)	Community and personal service workers	0		1184
Armidale Regional (A)	Community and personal service workers	0		22
Armidale Regional (A)	Community and personal service workers	1	Local	18
Armidale Regional (A)	Community and personal service workers	1	National	48
Armidale Regional (A)	Community and personal service workers	1	State territory	259
Armidale Regional (A)	Labourers			13
Armidale Regional (A)	Labourers	0		1255
Armidale Regional (A)	Labourers	0		33
Armidale Regional (A)	Labourers	1	Local	41
Armidale Regional (A)	Labourers	1	National	13
Armidale Regional (A)	Labourers	1	State territory	64
Armidale Regional (A)	Machinery operators and drivers			3
Armidale Regional (A)	Machinery operators and drivers	0		420
Armidale Regional (A)	Machinery operators and drivers	0		12
Armidale Regional (A)	Machinery operators and drivers	1	Local	50
Armidale Regional (A)	Machinery operators and drivers	1	State territory	14
Armidale Regional (A)	Managers			11
Armidale Regional (A)	Managers	0		1648
Armidale Regional (A)	Managers	0		46
Armidale Regional (A)	Managers	1	Local	33
Armidale Regional (A)	Managers	1	National	146
Armidale Regional (A)	Managers	1	State territory	87
Armidale Regional (A)	Professionals	0		1523
Armidale Regional (A)	Professionals	0		31
Armidale Regional (A)	Professionals	1	Local	48
Armidale Regional (A)	Professionals	1	National	854
Armidale Regional (A)	Professionals	1	State territory	703
Armidale Regional (A)	Sales workers			3
Armidale Regional (A)	Sales workers	0		1309
Armidale Regional (A)	Sales workers	0		20
Armidale Regional (A)	Sales workers	1	Local	3
Armidale Regional (A)	Sales workers	1	National	11
Armidale Regional (A)	Sales workers	1	State territory	4
Armidale Regional (A)	Technicians and trades workers			11
Armidale Regional (A)	Technicians and trades workers	0		1225
Armidale Regional (A)	Technicians and trades workers	0		28
Armidale Regional (A)	Technicians and trades workers	1	Local	42
Armidale Regional (A)	Technicians and trades workers	1	National	103
Armidale Regional (A)	Technicians and trades workers	1	State territory	44
Ballina (A)				91
Ballina (A)		0		111
Ballina (A)		0		27
Ballina (A)		1	Local	9
Ballina (A)		1	State territory	7
Ballina (A)	Clerical and administrative workers			8
Ballina (A)	Clerical and administrative workers	0		1412
Ballina (A)	Clerical and administrative workers	0		28
Ballina (A)	Clerical and administrative workers	1	Local	78
Ballina (A)	Clerical and administrative workers	1	National	70
Ballina (A)	Clerical and administrative workers	1	State territory	154
Ballina (A)	Community and personal service workers			13
Ballina (A)	Community and personal service workers	0		1686
Ballina (A)	Community and personal service workers	0		30
Ballina (A)	Community and personal service workers	1	Local	8
Ballina (A)	Community and personal service workers	1	National	14
Ballina (A)	Community and personal service workers	1	State territory	240
Ballina (A)	Labourers			13
Ballina (A)	Labourers	0		1567
Ballina (A)	Labourers	0		34
Ballina (A)	Labourers	1	Local	51
Ballina (A)	Labourers	1	State territory	57
Ballina (A)	Machinery operators and drivers			4
Ballina (A)	Machinery operators and drivers	0		666
Ballina (A)	Machinery operators and drivers	0		4
Ballina (A)	Machinery operators and drivers	1	Local	44
Ballina (A)	Machinery operators and drivers	1	State territory	8
Ballina (A)	Managers			12
Ballina (A)	Managers	0		1811
Ballina (A)	Managers	0		27
Ballina (A)	Managers	1	Local	34
Ballina (A)	Managers	1	National	13
Ballina (A)	Managers	1	State territory	93
Ballina (A)	Professionals			15
Ballina (A)	Professionals	0		2147
Ballina (A)	Professionals	0		32
Ballina (A)	Professionals	1	Local	65
Ballina (A)	Professionals	1	National	31
Ballina (A)	Professionals	1	State territory	709
Ballina (A)	Sales workers			8
Ballina (A)	Sales workers	0		1672
Ballina (A)	Sales workers	0		28
Ballina (A)	Sales workers	1	National	6
Ballina (A)	Sales workers	1	State territory	7
Ballina (A)	Technicians and trades workers			22
Ballina (A)	Technicians and trades workers	0		1849
Ballina (A)	Technicians and trades workers	0		29
Ballina (A)	Technicians and trades workers	1	Local	65
Ballina (A)	Technicians and trades workers	1	State territory	48
Balranald (A)				9
Balranald (A)		0		12
Balranald (A)		0		4
Balranald (A)	Clerical and administrative workers			3
Balranald (A)	Clerical and administrative workers	0		63
Balranald (A)	Clerical and administrative workers	1	Local	14
Balranald (A)	Clerical and administrative workers	1	State territory	11
Balranald (A)	Community and personal service workers	0		53
Balranald (A)	Community and personal service workers	0		3
Balranald (A)	Community and personal service workers	1	Local	9
Balranald (A)	Community and personal service workers	1	State territory	19
Balranald (A)	Labourers	0		127
Balranald (A)	Labourers	0		3
Balranald (A)	Labourers	1	Local	7
Balranald (A)	Labourers	1	State territory	7
Balranald (A)	Machinery operators and drivers			3
Balranald (A)	Machinery operators and drivers	0		63
Balranald (A)	Machinery operators and drivers	1	Local	13
Balranald (A)	Managers	0		175
Balranald (A)	Managers	0		12
Balranald (A)	Managers	1	Local	7
Balranald (A)	Professionals	0		39
Balranald (A)	Professionals	0		3
Balranald (A)	Professionals	1	Local	3
Balranald (A)	Professionals	1	State territory	37
Balranald (A)	Sales workers	0		31
Balranald (A)	Technicians and trades workers	0		79
Balranald (A)	Technicians and trades workers	1	Local	5
Bathurst Regional (A)				111
Bathurst Regional (A)		0		130
Bathurst Regional (A)		0		41
Bathurst Regional (A)		1	Local	4
Bathurst Regional (A)		1	National	16
Bathurst Regional (A)		1	State territory	17
Bathurst Regional (A)	Clerical and administrative workers			6
Bathurst Regional (A)	Clerical and administrative workers	0		1585
Bathurst Regional (A)	Clerical and administrative workers	0		30
