SA2_NAME16	Age	Sex	workers
Braidwood	15-19	F	24
Braidwood	15-19	M	23
Braidwood	20-24	F	19
Braidwood	20-24	M	25
Braidwood	25-29	F	23
Braidwood	25-29	M	25
Braidwood	30-34	F	23
Braidwood	30-34	M	35
Braidwood	35-39	F	26
Braidwood	35-39	M	32
Braidwood	40-44	F	58
Braidwood	40-44	M	47
Braidwood	45-49	F	71
Braidwood	45-49	M	59
Braidwood	50-54	F	62
Braidwood	50-54	M	59
Braidwood	55-59	F	81
Braidwood	55-59	M	70
Braidwood	60-64	F	50
Braidwood	60-64	M	49
Braidwood	65-69	F	31
Braidwood	65-69	M	54
Braidwood	70-74	F	25
Braidwood	70-74	M	30
Braidwood	75+	F	13
Braidwood	75+	M	39
Karabar	15-19	F	31
Karabar	15-19	M	37
Karabar	20-24	F	31
Karabar	20-24	M	36
Karabar	25-29	F	38
Karabar	25-29	M	32
Karabar	30-34	F	27
Karabar	30-34	M	31
Karabar	35-39	F	33
Karabar	35-39	M	22
Karabar	40-44	F	55
Karabar	40-44	M	34
Karabar	45-49	F	65
Karabar	45-49	M	36
Karabar	50-54	F	57
Karabar	50-54	M	29
Karabar	55-59	F	57
Karabar	55-59	M	49
Karabar	60-64	F	35
Karabar	60-64	M	23
Karabar	65-69	F	13
Karabar	65-69	M	14
Karabar	70-74	F	4
Karabar	70-74	M	6
Karabar	75+	M	3
Queanbeyan	15-19	F	215
Queanbeyan	15-19	M	173
Queanbeyan	20-24	F	290
Queanbeyan	20-24	M	271
Queanbeyan	25-29	F	300
Queanbeyan	25-29	M	313
Queanbeyan	30-34	F	295
Queanbeyan	30-34	M	299
Queanbeyan	35-39	F	281
Queanbeyan	35-39	M	263
Queanbeyan	40-44	F	319
Queanbeyan	40-44	M	290
Queanbeyan	45-49	F	307
Queanbeyan	45-49	M	263
Queanbeyan	50-54	F	310
Queanbeyan	50-54	M	216
Queanbeyan	55-59	F	278
Queanbeyan	55-59	M	182
Queanbeyan	60-64	F	206
Queanbeyan	60-64	M	139
Queanbeyan	65-69	F	69
Queanbeyan	65-69	M	77
Queanbeyan	70-74	F	19
Queanbeyan	70-74	M	24
Queanbeyan	75+	F	4
Queanbeyan	75+	M	16
Queanbeyan - East	15-19	F	90
Queanbeyan - East	15-19	M	149
Queanbeyan - East	20-24	F	51
Queanbeyan - East	20-24	M	222
Queanbeyan - East	25-29	F	73
Queanbeyan - East	25-29	M	281
Queanbeyan - East	30-34	F	74
Queanbeyan - East	30-34	M	240
Queanbeyan - East	35-39	F	72
Queanbeyan - East	35-39	M	187
Queanbeyan - East	40-44	F	66
Queanbeyan - East	40-44	M	198
Queanbeyan - East	45-49	F	73
Queanbeyan - East	45-49	M	194
Queanbeyan - East	50-54	F	65
Queanbeyan - East	50-54	M	167
Queanbeyan - East	55-59	F	55
Queanbeyan - East	55-59	M	158
Queanbeyan - East	60-64	F	32
Queanbeyan - East	60-64	M	131
Queanbeyan - East	65-69	F	11
Queanbeyan - East	65-69	M	61
Queanbeyan - East	70-74	F	11
Queanbeyan - East	70-74	M	19
Queanbeyan - East	75+	F	4
Queanbeyan - East	75+	M	16
Queanbeyan Region	15-19	F	82
Queanbeyan Region	15-19	M	73
Queanbeyan Region	20-24	F	50
Queanbeyan Region	20-24	M	104
Queanbeyan Region	25-29	F	75
Queanbeyan Region	25-29	M	177
Queanbeyan Region	30-34	F	79
Queanbeyan Region	30-34	M	189
Queanbeyan Region	35-39	F	114
Queanbeyan Region	35-39	M	164
Queanbeyan Region	40-44	F	124
Queanbeyan Region	40-44	M	193
Queanbeyan Region	45-49	F	164
Queanbeyan Region	45-49	M	225
Queanbeyan Region	50-54	F	131
Queanbeyan Region	50-54	M	238
Queanbeyan Region	55-59	F	98
Queanbeyan Region	55-59	M	158
Queanbeyan Region	60-64	F	80
Queanbeyan Region	60-64	M	121
Queanbeyan Region	65-69	F	46
Queanbeyan Region	65-69	M	78
Queanbeyan Region	70-74	F	21
Queanbeyan Region	70-74	M	48
Queanbeyan Region	75+	F	16
Queanbeyan Region	75+	M	22
Queanbeyan West - Jerrabomberra	15-19	F	58
Queanbeyan West - Jerrabomberra	15-19	M	90
Queanbeyan West - Jerrabomberra	20-24	F	83
Queanbeyan West - Jerrabomberra	20-24	M	184
Queanbeyan West - Jerrabomberra	25-29	F	69
Queanbeyan West - Jerrabomberra	25-29	M	188
Queanbeyan West - Jerrabomberra	30-34	F	54
Queanbeyan West - Jerrabomberra	30-34	M	178
Queanbeyan West - Jerrabomberra	35-39	F	61
Queanbeyan West - Jerrabomberra	35-39	M	145
Queanbeyan West - Jerrabomberra	40-44	F	82
Queanbeyan West - Jerrabomberra	40-44	M	153
Queanbeyan West - Jerrabomberra	45-49	F	81
Queanbeyan West - Jerrabomberra	45-49	M	143
Queanbeyan West - Jerrabomberra	50-54	F	87
Queanbeyan West - Jerrabomberra	50-54	M	128
Queanbeyan West - Jerrabomberra	55-59	F	50
Queanbeyan West - Jerrabomberra	55-59	M	117
Queanbeyan West - Jerrabomberra	60-64	F	31
Queanbeyan West - Jerrabomberra	60-64	M	75
Queanbeyan West - Jerrabomberra	65-69	F	12
Queanbeyan West - Jerrabomberra	65-69	M	32
Queanbeyan West - Jerrabomberra	70-74	F	10
Queanbeyan West - Jerrabomberra	70-74	M	6
Queanbeyan West - Jerrabomberra	75+	M	5
Bombala	15-19	F	30
Bombala	15-19	M	29
Bombala	20-24	F	20
Bombala	20-24	M	36
Bombala	25-29	F	23
Bombala	25-29	M	37
Bombala	30-34	F	38
Bombala	30-34	M	37
Bombala	35-39	F	33
Bombala	35-39	M	39
Bombala	40-44	F	41
Bombala	40-44	M	50
Bombala	45-49	F	46
Bombala	45-49	M	58
Bombala	50-54	F	66
Bombala	50-54	M	66
Bombala	55-59	F	59
Bombala	55-59	M	67
Bombala	60-64	F	44
Bombala	60-64	M	72
Bombala	65-69	F	32
Bombala	65-69	M	31
Bombala	70-74	F	20
Bombala	70-74	M	26
Bombala	75+	M	15
Cooma	15-19	F	121
Cooma	15-19	M	132
Cooma	20-24	F	115
Cooma	20-24	M	144
Cooma	25-29	F	157
Cooma	25-29	M	118
Cooma	30-34	F	155
Cooma	30-34	M	137
Cooma	35-39	F	146
Cooma	35-39	M	115
Cooma	40-44	F	206
Cooma	40-44	M	156
Cooma	45-49	F	241
Cooma	45-49	M	168
Cooma	50-54	F	240
Cooma	50-54	M	187
Cooma	55-59	F	210
Cooma	55-59	M	197
Cooma	60-64	F	136
Cooma	60-64	M	133
Cooma	65-69	F	63
Cooma	65-69	M	61
Cooma	70-74	F	28
Cooma	70-74	M	28
Cooma	75+	F	14
Cooma	75+	M	23
Cooma Region	15-19	F	14
Cooma Region	15-19	M	13
Cooma Region	20-24	F	9
Cooma Region	20-24	M	14
Cooma Region	25-29	F	7
Cooma Region	25-29	M	28
Cooma Region	30-34	F	14
Cooma Region	30-34	M	24
Cooma Region	35-39	F	14
Cooma Region	35-39	M	23
Cooma Region	40-44	F	22
Cooma Region	40-44	M	48
Cooma Region	45-49	F	32
Cooma Region	45-49	M	49
Cooma Region	50-54	F	36
Cooma Region	50-54	M	51
Cooma Region	55-59	F	25
Cooma Region	55-59	M	48
Cooma Region	60-64	F	34
Cooma Region	60-64	M	36
Cooma Region	65-69	F	18
Cooma Region	65-69	M	34
Cooma Region	70-74	F	22
Cooma Region	70-74	M	28
Cooma Region	75+	F	10
Cooma Region	75+	M	38
Jindabyne - Berridale	15-19	F	154
Jindabyne - Berridale	15-19	M	152
Jindabyne - Berridale	20-24	F	394
Jindabyne - Berridale	20-24	M	414
Jindabyne - Berridale	25-29	F	295
Jindabyne - Berridale	25-29	M	355
Jindabyne - Berridale	30-34	F	172
Jindabyne - Berridale	30-34	M	211
Jindabyne - Berridale	35-39	F	175
Jindabyne - Berridale	35-39	M	162
Jindabyne - Berridale	40-44	F	195
Jindabyne - Berridale	40-44	M	220
Jindabyne - Berridale	45-49	F	206
Jindabyne - Berridale	45-49	M	213
Jindabyne - Berridale	50-54	F	211
Jindabyne - Berridale	50-54	M	206
Jindabyne - Berridale	55-59	F	155
Jindabyne - Berridale	55-59	M	204
Jindabyne - Berridale	60-64	F	85
Jindabyne - Berridale	60-64	M	145
Jindabyne - Berridale	65-69	F	57
Jindabyne - Berridale	65-69	M	67
Jindabyne - Berridale	70-74	F	23
Jindabyne - Berridale	70-74	M	44
Jindabyne - Berridale	75+	F	17
Jindabyne - Berridale	75+	M	16
Batemans Bay	15-19	F	200
Batemans Bay	15-19	M	149
Batemans Bay	20-24	F	128
Batemans Bay	20-24	M	164
Batemans Bay	25-29	F	150
Batemans Bay	25-29	M	146
Batemans Bay	30-34	F	177
Batemans Bay	30-34	M	186
Batemans Bay	35-39	F	188
Batemans Bay	35-39	M	168
Batemans Bay	40-44	F	242
Batemans Bay	40-44	M	224
Batemans Bay	45-49	F	271
Batemans Bay	45-49	M	207
Batemans Bay	50-54	F	303
Batemans Bay	50-54	M	207
Batemans Bay	55-59	F	278
Batemans Bay	55-59	M	226
Batemans Bay	60-64	F	187
Batemans Bay	60-64	M	188
Batemans Bay	65-69	F	56
Batemans Bay	65-69	M	81
Batemans Bay	70-74	F	12
Batemans Bay	70-74	M	23
Batemans Bay	75+	F	8
Batemans Bay	75+	M	16
Batemans Bay - South	15-19	F	33
Batemans Bay - South	15-19	M	23
Batemans Bay - South	20-24	F	36
Batemans Bay - South	20-24	M	20
Batemans Bay - South	25-29	F	38
Batemans Bay - South	25-29	M	27
Batemans Bay - South	30-34	F	28
Batemans Bay - South	30-34	M	34
Batemans Bay - South	35-39	F	51
Batemans Bay - South	35-39	M	39
Batemans Bay - South	40-44	F	76
Batemans Bay - South	40-44	M	41
Batemans Bay - South	45-49	F	66
Batemans Bay - South	45-49	M	56
Batemans Bay - South	50-54	F	109
Batemans Bay - South	50-54	M	67
Batemans Bay - South	55-59	F	116
Batemans Bay - South	55-59	M	67
Batemans Bay - South	60-64	F	78
Batemans Bay - South	60-64	M	47
Batemans Bay - South	65-69	F	32
Batemans Bay - South	65-69	M	34
Batemans Bay - South	70-74	F	5
Batemans Bay - South	70-74	M	14
Batemans Bay - South	75+	F	3
Batemans Bay - South	75+	M	7
Bega - Tathra	15-19	F	178
Bega - Tathra	15-19	M	125
Bega - Tathra	20-24	F	162
Bega - Tathra	20-24	M	162
Bega - Tathra	25-29	F	158
Bega - Tathra	25-29	M	154
Bega - Tathra	30-34	F	219
Bega - Tathra	30-34	M	196
Bega - Tathra	35-39	F	226
Bega - Tathra	35-39	M	185
Bega - Tathra	40-44	F	269
Bega - Tathra	40-44	M	246
Bega - Tathra	45-49	F	345
Bega - Tathra	45-49	M	288
Bega - Tathra	50-54	F	394
Bega - Tathra	50-54	M	350
Bega - Tathra	55-59	F	383
Bega - Tathra	55-59	M	326
Bega - Tathra	60-64	F	220
Bega - Tathra	60-64	M	232
Bega - Tathra	65-69	F	88
Bega - Tathra	65-69	M	79
Bega - Tathra	70-74	F	38
Bega - Tathra	70-74	M	30
Bega - Tathra	75+	F	4
Bega - Tathra	75+	M	25
Bega-Eden Hinterland	15-19	F	17
Bega-Eden Hinterland	15-19	M	37
Bega-Eden Hinterland	20-24	F	19
Bega-Eden Hinterland	20-24	M	34
Bega-Eden Hinterland	25-29	F	33
Bega-Eden Hinterland	25-29	M	35
Bega-Eden Hinterland	30-34	F	28
Bega-Eden Hinterland	30-34	M	43
Bega-Eden Hinterland	35-39	F	35
Bega-Eden Hinterland	35-39	M	60
