SA2_NAME16	Occupation	PublicSector	LevelOfGovt	workers
Braidwood				8
Braidwood		0		15
Braidwood		0		5
Braidwood	Clerical and administrative workers	0		72
Braidwood	Clerical and administrative workers	0		3
Braidwood	Clerical and administrative workers	1	Local	10
Braidwood	Clerical and administrative workers	1	National	6
Braidwood	Clerical and administrative workers	1	State territory	10
Braidwood	Community and personal service workers	0		59
Braidwood	Community and personal service workers	1	State territory	18
Braidwood	Labourers	0		99
Braidwood	Labourers	0		3
Braidwood	Labourers	1	Local	8
Braidwood	Labourers	1	State territory	3
Braidwood	Machinery operators and drivers	0		59
Braidwood	Machinery operators and drivers	1	Local	10
Braidwood	Managers	0		291
Braidwood	Managers	0		9
Braidwood	Managers	1	State territory	4
Braidwood	Professionals	0		119
Braidwood	Professionals	1	National	3
Braidwood	Professionals	1	State territory	43
Braidwood	Sales workers	0		84
Braidwood	Technicians and trades workers	0		117
Braidwood	Technicians and trades workers	0		3
Braidwood	Technicians and trades workers	1	Local	4
Karabar				6
Karabar		0		3
Karabar	Clerical and administrative workers	0		41
Karabar	Clerical and administrative workers	1	National	3
Karabar	Clerical and administrative workers	1	State territory	18
Karabar	Community and personal service workers	0		117
Karabar	Community and personal service workers	1	State territory	27
Karabar	Labourers			3
Karabar	Labourers	0		76
Karabar	Machinery operators and drivers	0		27
Karabar	Managers	0		58
Karabar	Managers	1	National	6
Karabar	Managers	1	State territory	3
Karabar	Professionals	0		82
Karabar	Professionals	0		3
Karabar	Professionals	1	State territory	148
Karabar	Sales workers	0		59
Karabar	Technicians and trades workers	0		95
Karabar	Technicians and trades workers	0		3
Karabar	Technicians and trades workers	1	State territory	4
Queanbeyan				24
Queanbeyan		0		41
Queanbeyan		0		16
Queanbeyan		1	Local	6
Queanbeyan		1	National	12
Queanbeyan		1	State territory	10
Queanbeyan	Clerical and administrative workers			8
Queanbeyan	Clerical and administrative workers	0		453
Queanbeyan	Clerical and administrative workers	0		7
Queanbeyan	Clerical and administrative workers	1	Local	67
Queanbeyan	Clerical and administrative workers	1	National	224
Queanbeyan	Clerical and administrative workers	1	State territory	129
Queanbeyan	Community and personal service workers			11
Queanbeyan	Community and personal service workers	0		625
Queanbeyan	Community and personal service workers	0		10
Queanbeyan	Community and personal service workers	1	Local	19
Queanbeyan	Community and personal service workers	1	National	13
Queanbeyan	Community and personal service workers	1	State territory	200
Queanbeyan	Labourers			7
Queanbeyan	Labourers	0		389
Queanbeyan	Labourers	0		9
Queanbeyan	Labourers	1	Local	6
Queanbeyan	Labourers	1	National	5
Queanbeyan	Labourers	1	State territory	22
Queanbeyan	Machinery operators and drivers			3
Queanbeyan	Machinery operators and drivers	0		220
Queanbeyan	Machinery operators and drivers	1	Local	14
Queanbeyan	Machinery operators and drivers	1	State territory	6
Queanbeyan	Managers			6
Queanbeyan	Managers	0		374
Queanbeyan	Managers	0		3
Queanbeyan	Managers	1	Local	28
Queanbeyan	Managers	1	National	34
Queanbeyan	Managers	1	State territory	82
Queanbeyan	Professionals			3
Queanbeyan	Professionals	0		538
Queanbeyan	Professionals	0		7
Queanbeyan	Professionals	1	Local	71
Queanbeyan	Professionals	1	National	33
Queanbeyan	Professionals	1	State territory	410
Queanbeyan	Sales workers			3
Queanbeyan	Sales workers	0		608
Queanbeyan	Sales workers	0		4
Queanbeyan	Sales workers	1	National	7
Queanbeyan	Sales workers	1	State territory	3
Queanbeyan	Technicians and trades workers			6
Queanbeyan	Technicians and trades workers	0		608
Queanbeyan	Technicians and trades workers	0		7
Queanbeyan	Technicians and trades workers	1	Local	57
Queanbeyan	Technicians and trades workers	1	National	8
Queanbeyan	Technicians and trades workers	1	State territory	20
Queanbeyan - East				15
Queanbeyan - East		0		19
Queanbeyan - East		0		5
Queanbeyan - East	Clerical and administrative workers			3
Queanbeyan - East	Clerical and administrative workers	0		284
Queanbeyan - East	Clerical and administrative workers	0		4
Queanbeyan - East	Clerical and administrative workers	1	Local	8
Queanbeyan - East	Clerical and administrative workers	1	National	21
Queanbeyan - East	Clerical and administrative workers	1	State territory	14
Queanbeyan - East	Community and personal service workers			3
Queanbeyan - East	Community and personal service workers	0		73
Queanbeyan - East	Community and personal service workers	1	National	3
Queanbeyan - East	Community and personal service workers	1	State territory	5
Queanbeyan - East	Labourers	0		305
Queanbeyan - East	Labourers	0		4
Queanbeyan - East	Labourers	1	Local	4
Queanbeyan - East	Labourers	1	State territory	3
Queanbeyan - East	Machinery operators and drivers			5
Queanbeyan - East	Machinery operators and drivers	0		376
Queanbeyan - East	Machinery operators and drivers	0		5
Queanbeyan - East	Machinery operators and drivers	1	Local	9
Queanbeyan - East	Managers	0		355
Queanbeyan - East	Managers	0		9
Queanbeyan - East	Managers	1	Local	11
Queanbeyan - East	Managers	1	State territory	8
Queanbeyan - East	Professionals	0		149
Queanbeyan - East	Professionals	1	Local	10
Queanbeyan - East	Professionals	1	State territory	16
Queanbeyan - East	Sales workers	0		286
Queanbeyan - East	Sales workers	0		7
Queanbeyan - East	Sales workers	1	State territory	4
Queanbeyan - East	Technicians and trades workers			3
Queanbeyan - East	Technicians and trades workers	0		691
Queanbeyan - East	Technicians and trades workers	0		5
Queanbeyan - East	Technicians and trades workers	1	Local	24
Queanbeyan - East	Technicians and trades workers	1	State territory	4
Queanbeyan Region				8
Queanbeyan Region		0		31
Queanbeyan Region		0		6
Queanbeyan Region		1	Local	3
Queanbeyan Region		1	National	13
Queanbeyan Region	Clerical and administrative workers			5
Queanbeyan Region	Clerical and administrative workers	0		229
Queanbeyan Region	Clerical and administrative workers	0		6
Queanbeyan Region	Clerical and administrative workers	1	Local	16
Queanbeyan Region	Clerical and administrative workers	1	National	71
Queanbeyan Region	Clerical and administrative workers	1	State territory	7
Queanbeyan Region	Community and personal service workers	0		192
Queanbeyan Region	Community and personal service workers	0		4
Queanbeyan Region	Community and personal service workers	1	National	91
Queanbeyan Region	Community and personal service workers	1	State territory	13
Queanbeyan Region	Labourers	0		242
Queanbeyan Region	Labourers	0		10
Queanbeyan Region	Labourers	1	Local	15
Queanbeyan Region	Labourers	1	National	5
Queanbeyan Region	Labourers	1	State territory	4
Queanbeyan Region	Machinery operators and drivers	0		143
Queanbeyan Region	Machinery operators and drivers	0		4
Queanbeyan Region	Machinery operators and drivers	1	Local	14
Queanbeyan Region	Managers	0		439
Queanbeyan Region	Managers	0		7
Queanbeyan Region	Managers	1	Local	11
Queanbeyan Region	Managers	1	National	278
Queanbeyan Region	Managers	1	State territory	7
Queanbeyan Region	Professionals			5
Queanbeyan Region	Professionals	0		283
Queanbeyan Region	Professionals	1	Local	20
Queanbeyan Region	Professionals	1	National	100
Queanbeyan Region	Professionals	1	State territory	30
Queanbeyan Region	Sales workers	0		134
Queanbeyan Region	Sales workers	0		4
Queanbeyan Region	Technicians and trades workers			3
Queanbeyan Region	Technicians and trades workers	0		426
Queanbeyan Region	Technicians and trades workers	0		5
Queanbeyan Region	Technicians and trades workers	1	Local	9
Queanbeyan Region	Technicians and trades workers	1	National	17
Queanbeyan Region	Technicians and trades workers	1	State territory	4
Queanbeyan West - Jerrabomberra				17
Queanbeyan West - Jerrabomberra		0		18
Queanbeyan West - Jerrabomberra		0		3
Queanbeyan West - Jerrabomberra	Clerical and administrative workers			3
Queanbeyan West - Jerrabomberra	Clerical and administrative workers	0		266
Queanbeyan West - Jerrabomberra	Clerical and administrative workers	0		3
Queanbeyan West - Jerrabomberra	Clerical and administrative workers	1	National	3
Queanbeyan West - Jerrabomberra	Clerical and administrative workers	1	State territory	8
Queanbeyan West - Jerrabomberra	Community and personal service workers			7
Queanbeyan West - Jerrabomberra	Community and personal service workers	0		145
Queanbeyan West - Jerrabomberra	Community and personal service workers	1	National	3
Queanbeyan West - Jerrabomberra	Community and personal service workers	1	State territory	6
Queanbeyan West - Jerrabomberra	Labourers			3
Queanbeyan West - Jerrabomberra	Labourers	0		179
Queanbeyan West - Jerrabomberra	Labourers	0		4
Queanbeyan West - Jerrabomberra	Labourers	1	Local	4
Queanbeyan West - Jerrabomberra	Machinery operators and drivers	0		207
Queanbeyan West - Jerrabomberra	Machinery operators and drivers	0		3
Queanbeyan West - Jerrabomberra	Managers	0		251
Queanbeyan West - Jerrabomberra	Managers	1	National	8
Queanbeyan West - Jerrabomberra	Professionals			3
Queanbeyan West - Jerrabomberra	Professionals	0		204
Queanbeyan West - Jerrabomberra	Professionals	1	National	4
Queanbeyan West - Jerrabomberra	Professionals	1	State territory	48
Queanbeyan West - Jerrabomberra	Sales workers	0		139
Queanbeyan West - Jerrabomberra	Sales workers	0		5
Queanbeyan West - Jerrabomberra	Technicians and trades workers	0		584
