SA3_NAME16	Age	ModeTravelToWork	NumberModes	Sex	workers
Queanbeyan	15-24	Bicycle	1	M	3
Queanbeyan	15-24	Bus	1	F	12
Queanbeyan	15-24	Bus	1	M	7
Queanbeyan	15-24	Bus and car as driver	2	M	3
Queanbeyan	15-24	Bus and car as passenger	2	M	3
Queanbeyan	15-24	Car as driver	1	F	577
Queanbeyan	15-24	Car as driver	1	M	881
Queanbeyan	15-24	Car as passenger	1	F	170
Queanbeyan	15-24	Car as passenger	1	M	165
Queanbeyan	15-24	Did not go to work		F	180
Queanbeyan	15-24	Did not go to work		M	177
Queanbeyan	15-24	Method of travel not stated		F	15
Queanbeyan	15-24	Method of travel not stated		M	19
Queanbeyan	15-24	Motorbike scooter	1	M	17
Queanbeyan	15-24	(Other)	1	M	12
Queanbeyan	15-24	Other two methods	2	M	13
Queanbeyan	15-24	Taxi	1	F	3
Queanbeyan	15-24	Tram includes light rail	1	M	3
Queanbeyan	15-24	Truck	1	M	18
Queanbeyan	15-24	Walked only	1	F	55
Queanbeyan	15-24	Walked only	1	M	58
Queanbeyan	15-24	Worked at home		F	9
Queanbeyan	15-24	Worked at home		M	12
Queanbeyan	25-34	Bicycle	1	F	3
Queanbeyan	25-34	Bicycle	1	M	11
Queanbeyan	25-34	Bus	1	F	14
Queanbeyan	25-34	Bus	1	M	9
Queanbeyan	25-34	Bus and car as passenger	2	M	3
Queanbeyan	25-34	Car as driver	1	F	712
Queanbeyan	25-34	Car as driver	1	M	1581
Queanbeyan	25-34	Car as passenger	1	F	99
Queanbeyan	25-34	Car as passenger	1	M	77
Queanbeyan	25-34	Did not go to work		F	134
Queanbeyan	25-34	Did not go to work		M	87
Queanbeyan	25-34	Method of travel not stated		F	12
Queanbeyan	25-34	Method of travel not stated		M	22
Queanbeyan	25-34	Motorbike scooter	1	F	3
Queanbeyan	25-34	Motorbike scooter	1	M	15
Queanbeyan	25-34	(Other)	1	F	4
Queanbeyan	25-34	(Other)	1	M	9
Queanbeyan	25-34	Other two methods	2	F	8
Queanbeyan	25-34	Other two methods	2	M	21
Queanbeyan	25-34	Taxi	1	F	3
Queanbeyan	25-34	Taxi	1	M	9
Queanbeyan	25-34	Truck	1	M	40
Queanbeyan	25-34	Walked only	1	F	75
Queanbeyan	25-34	Walked only	1	M	68
Queanbeyan	25-34	Worked at home		F	70
Queanbeyan	25-34	Worked at home		M	35
Queanbeyan	35-44	Bicycle	1	M	10
Queanbeyan	35-44	Bus	1	F	5
Queanbeyan	35-44	Car as driver	1	F	862
Queanbeyan	35-44	Car as driver	1	M	1394
Queanbeyan	35-44	Car as passenger	1	F	62
Queanbeyan	35-44	Car as passenger	1	M	43
Queanbeyan	35-44	Did not go to work		F	128
Queanbeyan	35-44	Did not go to work		M	86
Queanbeyan	35-44	Method of travel not stated		F	14
Queanbeyan	35-44	Method of travel not stated		M	12
Queanbeyan	35-44	Motorbike scooter	1	M	8
Queanbeyan	35-44	(Other)	1	F	12
Queanbeyan	35-44	(Other)	1	M	11
Queanbeyan	35-44	Other two methods	2	F	6
Queanbeyan	35-44	Other two methods	2	M	4
Queanbeyan	35-44	Truck	1	M	38
Queanbeyan	35-44	Walked only	1	F	57
Queanbeyan	35-44	Walked only	1	M	41
Queanbeyan	35-44	Worked at home		F	137
Queanbeyan	35-44	Worked at home		M	53
Queanbeyan	45-54	Bicycle	1	F	3
Queanbeyan	45-54	Bicycle	1	M	14
Queanbeyan	45-54	Bus	1	F	3
Queanbeyan	45-54	Bus	1	M	7
Queanbeyan	45-54	Car as driver	1	F	1025
Queanbeyan	45-54	Car as driver	1	M	1362
Queanbeyan	45-54	Car as passenger	1	F	53
Queanbeyan	45-54	Car as passenger	1	M	23
Queanbeyan	45-54	Did not go to work		F	112
Queanbeyan	45-54	Did not go to work		M	101
Queanbeyan	45-54	Ferry	1	M	3
Queanbeyan	45-54	Method of travel not stated		F	12
Queanbeyan	45-54	Method of travel not stated		M	10
Queanbeyan	45-54	Motorbike scooter	1	M	14
Queanbeyan	45-54	(Other)	1	F	12
Queanbeyan	45-54	(Other)	1	M	20
Queanbeyan	45-54	Other two methods	2	F	5
Queanbeyan	45-54	Other two methods	2	M	18
Queanbeyan	45-54	Train and car as driver	2	M	3
