SA3_NAME16	EmploymentStatus	IncomeTotPersonal.max	workers
Queanbeyan	Contributing family workers	0	65
Queanbeyan	Contributing family workers	7875	34
Queanbeyan	Contributing family workers	15750	45
Queanbeyan	Contributing family workers	21000	31
Queanbeyan	Contributing family workers	26250	22
Queanbeyan	Contributing family workers	34125	31
Queanbeyan	Contributing family workers	42000	27
Queanbeyan	Contributing family workers	52500	32
Queanbeyan	Contributing family workers	65625	37
Queanbeyan	Contributing family workers	78750	16
Queanbeyan	Contributing family workers	91875	11
Queanbeyan	Contributing family workers	105000	8
Queanbeyan	Contributing family workers	157500	10
Queanbeyan	Contributing family workers	Inf	13
Queanbeyan	Employee	0	44
Queanbeyan	Employee	7875	554
Queanbeyan	Employee	15750	399
Queanbeyan	Employee	21000	420
Queanbeyan	Employee	26250	544
Queanbeyan	Employee	34125	843
Queanbeyan	Employee	42000	1225
Queanbeyan	Employee	52500	1638
Queanbeyan	Employee	65625	1720
Queanbeyan	Employee	78750	1211
Queanbeyan	Employee	91875	951
Queanbeyan	Employee	105000	710
Queanbeyan	Employee	157500	1010
Queanbeyan	Employee	Inf	289
Queanbeyan	Owner managers of incorporated enterprises	0	3
Queanbeyan	Owner managers of incorporated enterprises	7875	9
Queanbeyan	Owner managers of incorporated enterprises	15750	15
Queanbeyan	Owner managers of incorporated enterprises	21000	41
Queanbeyan	Owner managers of incorporated enterprises	26250	42
Queanbeyan	Owner managers of incorporated enterprises	34125	70
Queanbeyan	Owner managers of incorporated enterprises	42000	73
Queanbeyan	Owner managers of incorporated enterprises	52500	145
Queanbeyan	Owner managers of incorporated enterprises	65625	185
Queanbeyan	Owner managers of incorporated enterprises	78750	149
Queanbeyan	Owner managers of incorporated enterprises	91875	195
Queanbeyan	Owner managers of incorporated enterprises	105000	99
Queanbeyan	Owner managers of incorporated enterprises	157500	157
Queanbeyan	Owner managers of incorporated enterprises	Inf	158
Queanbeyan	Owner managers of unincorporated enterprises	0	16
Queanbeyan	Owner managers of unincorporated enterprises	7875	42
Queanbeyan	Owner managers of unincorporated enterprises	15750	77
Queanbeyan	Owner managers of unincorporated enterprises	21000	87
Queanbeyan	Owner managers of unincorporated enterprises	26250	104
Queanbeyan	Owner managers of unincorporated enterprises	34125	131
Queanbeyan	Owner managers of unincorporated enterprises	42000	134
Queanbeyan	Owner managers of unincorporated enterprises	52500	159
Queanbeyan	Owner managers of unincorporated enterprises	65625	151
Queanbeyan	Owner managers of unincorporated enterprises	78750	119
Queanbeyan	Owner managers of unincorporated enterprises	91875	85
Queanbeyan	Owner managers of unincorporated enterprises	105000	55
Queanbeyan	Owner managers of unincorporated enterprises	157500	75
Queanbeyan	Owner managers of unincorporated enterprises	Inf	69
Queanbeyan	Status in employment not stated	7875	4
Queanbeyan	Status in employment not stated	15750	8
Queanbeyan	Status in employment not stated	21000	14
Queanbeyan	Status in employment not stated	26250	5
Queanbeyan	Status in employment not stated	34125	11
Queanbeyan	Status in employment not stated	42000	18
Queanbeyan	Status in employment not stated	52500	14
Queanbeyan	Status in employment not stated	65625	18
Queanbeyan	Status in employment not stated	78750	10
Queanbeyan	Status in employment not stated	91875	11
Queanbeyan	Status in employment not stated	105000	3
Queanbeyan	Status in employment not stated	157500	6
Queanbeyan	Status in employment not stated	Inf	3
Snowy Mountains	Contributing family workers	0	59
Snowy Mountains	Contributing family workers	7875	24
Snowy Mountains	Contributing family workers	15750	35
Snowy Mountains	Contributing family workers	21000	30
Snowy Mountains	Contributing family workers	26250	45
Snowy Mountains	Contributing family workers	34125	39
Snowy Mountains	Contributing family workers	42000	32
Snowy Mountains	Contributing family workers	52500	21
Snowy Mountains	Contributing family workers	65625	23
Snowy Mountains	Contributing family workers	78750	12
Snowy Mountains	Contributing family workers	91875	13
Snowy Mountains	Contributing family workers	105000	15
Snowy Mountains	Contributing family workers	157500	6
Snowy Mountains	Contributing family workers	Inf	12
Snowy Mountains	Employee	0	34
Snowy Mountains	Employee	7875	277
Snowy Mountains	Employee	15750	268
Snowy Mountains	Employee	21000	372
Snowy Mountains	Employee	26250	487
Snowy Mountains	Employee	34125	983
Snowy Mountains	Employee	42000	1180
Snowy Mountains	Employee	52500	1158
Snowy Mountains	Employee	65625	924
Snowy Mountains	Employee	78750	559
Snowy Mountains	Employee	91875	375
Snowy Mountains	Employee	105000	304
Snowy Mountains	Employee	157500	329
Snowy Mountains	Employee	Inf	106
Snowy Mountains	Owner managers of incorporated enterprises	0	3
Snowy Mountains	Owner managers of incorporated enterprises	7875	4
Snowy Mountains	Owner managers of incorporated enterprises	15750	14
Snowy Mountains	Owner managers of incorporated enterprises	21000	27
Snowy Mountains	Owner managers of incorporated enterprises	26250	31
Snowy Mountains	Owner managers of incorporated enterprises	34125	52
Snowy Mountains	Owner managers of incorporated enterprises	42000	57
Snowy Mountains	Owner managers of incorporated enterprises	52500	81
Snowy Mountains	Owner managers of incorporated enterprises	65625	112
Snowy Mountains	Owner managers of incorporated enterprises	78750	66
Snowy Mountains	Owner managers of incorporated enterprises	91875	75
Snowy Mountains	Owner managers of incorporated enterprises	105000	35
Snowy Mountains	Owner managers of incorporated enterprises	157500	40
Snowy Mountains	Owner managers of incorporated enterprises	Inf	52
Snowy Mountains	Owner managers of unincorporated enterprises	0	9
Snowy Mountains	Owner managers of unincorporated enterprises	7875	18
Snowy Mountains	Owner managers of unincorporated enterprises	15750	73
Snowy Mountains	Owner managers of unincorporated enterprises	21000	51
