SA3_NAME16	IncomeTotPersonal.max	Sex	workers
Queanbeyan		F	351
Queanbeyan		F	338
Queanbeyan		F	352
Queanbeyan		F	411
Queanbeyan		F	592
Queanbeyan		F	757
Queanbeyan		F	808
Queanbeyan		F	765
Queanbeyan		F	543
Queanbeyan		F	420
Queanbeyan		F	313
Queanbeyan		F	347
Queanbeyan		F	95
Queanbeyan		M	285
Queanbeyan		M	201
Queanbeyan		M	245
Queanbeyan		M	304
Queanbeyan		M	507
Queanbeyan		M	722
Queanbeyan		M	1183
Queanbeyan		M	1341
Queanbeyan		M	976
Queanbeyan		M	832
Queanbeyan		M	567
Queanbeyan		M	906
Queanbeyan		M	126
Queanbeyan	0	F	66
Queanbeyan	0	M	64
Queanbeyan	Inf	F	125
Queanbeyan	Inf	M	407
Snowy Mountains		F	205
Snowy Mountains		F	243
Snowy Mountains		F	288
Snowy Mountains		F	377
Snowy Mountains		F	721
Snowy Mountains		F	761
Snowy Mountains		F	640
Snowy Mountains		F	462
Snowy Mountains		F	289
Snowy Mountains		F	201
Snowy Mountains		F	144
Snowy Mountains		F	132
Snowy Mountains		F	94
Snowy Mountains		M	139
Snowy Mountains		M	153
Snowy Mountains		M	208
Snowy Mountains		M	275
Snowy Mountains		M	509
Snowy Mountains		M	642
Snowy Mountains		M	776
Snowy Mountains		M	723
Snowy Mountains		M	417
Snowy Mountains		M	336
Snowy Mountains		M	242
Snowy Mountains		M	286
Snowy Mountains		M	87
Snowy Mountains	0	F	61
Snowy Mountains	0	M	45
Snowy Mountains	Inf	F	63
Snowy Mountains	Inf	M	148
South Coast		F	653
South Coast		F	747
South Coast		F	887
South Coast		F	1238
South Coast		F	1783
South Coast		F	1836
South Coast		F	1625
South Coast		F	1286
South Coast		F	753
South Coast		F	548
South Coast		F	361
South Coast		F	315
South Coast		F	213
South Coast		M	415
South Coast		M	423
South Coast		M	541
South Coast		M	696
South Coast		M	1141
South Coast		M	1501
South Coast		M	1797
South Coast		M	1599
South Coast		M	1004
South Coast		M	698
South Coast		M	531
South Coast		M	554
South Coast		M	220
South Coast	0	F	119
South Coast	0	M	93
South Coast	Inf	F	112
South Coast	Inf	M	283
Goulburn - Mulwaree		F	326
Goulburn - Mulwaree		F	345
Goulburn - Mulwaree		F	383
Goulburn - Mulwaree		F	515
Goulburn - Mulwaree		F	860
Goulburn - Mulwaree		F	922
Goulburn - Mulwaree		F	866
Goulburn - Mulwaree		F	757
Goulburn - Mulwaree		F	492
Goulburn - Mulwaree		F	367
Goulburn - Mulwaree		F	254
Goulburn - Mulwaree		F	225
Goulburn - Mulwaree		F	112
Goulburn - Mulwaree		M	198
Goulburn - Mulwaree		M	212
Goulburn - Mulwaree		M	230
Goulburn - Mulwaree		M	307
Goulburn - Mulwaree		M	496
Goulburn - Mulwaree		M	707
Goulburn - Mulwaree		M	950
Goulburn - Mulwaree		M	1013
Goulburn - Mulwaree		M	650
Goulburn - Mulwaree		M	576
Goulburn - Mulwaree		M	464
Goulburn - Mulwaree		M	563
Goulburn - Mulwaree		M	130
Goulburn - Mulwaree	0	F	81
Goulburn - Mulwaree	0	M	78
Goulburn - Mulwaree	Inf	F	83
Goulburn - Mulwaree	Inf	M	212
Young - Yass		F	315
Young - Yass		F	345
Young - Yass		F	430
Young - Yass		F	463
Young - Yass		F	792
Young - Yass		F	798
Young - Yass		F	649
Young - Yass		F	531
Young - Yass		F	316
Young - Yass		F	251
Young - Yass		F	157
Young - Yass		F	192
Young - Yass		F	104
Young - Yass		M	186
Young - Yass		M	201
Young - Yass		M	222
Young - Yass		M	307
Young - Yass		M	514
Young - Yass		M	724
Young - Yass		M	923
Young - Yass		M	789
