SA4_NAME16	EmploymentStatus	Sex	workers
Capital Region		F	433
Capital Region		M	557
Capital Region	Contributing family workers	F	1342
Capital Region	Contributing family workers	M	1354
Capital Region	Employee	F	28918
Capital Region	Employee	M	26924
Capital Region	Owner managers of incorporated enterprises	F	1702
Capital Region	Owner managers of incorporated enterprises	M	3665
Capital Region	Owner managers of unincorporated enterprises	F	3155
Capital Region	Owner managers of unincorporated enterprises	M	5199
Central Coast		F	550
Central Coast		M	566
Central Coast	Contributing family workers	F	860
Central Coast	Contributing family workers	M	642
Central Coast	Employee	F	49098
Central Coast	Employee	M	36908
Central Coast	Owner managers of incorporated enterprises	F	2432
Central Coast	Owner managers of incorporated enterprises	M	4873
Central Coast	Owner managers of unincorporated enterprises	F	3685
Central Coast	Owner managers of unincorporated enterprises	M	5109
Central West		F	533
Central West		M	694
Central West	Contributing family workers	F	1379
Central West	Contributing family workers	M	1631
Central West	Employee	F	33488
Central West	Employee	M	32363
Central West	Owner managers of incorporated enterprises	F	1519
Central West	Owner managers of incorporated enterprises	M	3121
Central West	Owner managers of unincorporated enterprises	F	3222
Central West	Owner managers of unincorporated enterprises	M	5238
Coffs Harbour - Grafton		F	327
Coffs Harbour - Grafton		M	356
Coffs Harbour - Grafton	Contributing family workers	F	614
Coffs Harbour - Grafton	Contributing family workers	M	659
Coffs Harbour - Grafton	Employee	F	21054
Coffs Harbour - Grafton	Employee	M	17893
Coffs Harbour - Grafton	Owner managers of incorporated enterprises	F	928
Coffs Harbour - Grafton	Owner managers of incorporated enterprises	M	1864
Coffs Harbour - Grafton	Owner managers of unincorporated enterprises	F	2142
Coffs Harbour - Grafton	Owner managers of unincorporated enterprises	M	3004
Far West and Orana		F	315
Far West and Orana		M	475
Far West and Orana	Contributing family workers	F	882
Far West and Orana	Contributing family workers	M	1133
Far West and Orana	Employee	F	18626
Far West and Orana	Employee	M	17276
Far West and Orana	Owner managers of incorporated enterprises	F	753
Far West and Orana	Owner managers of incorporated enterprises	M	1647
Far West and Orana	Owner managers of unincorporated enterprises	F	1683
Far West and Orana	Owner managers of unincorporated enterprises	M	3100
Hunter Valley exc Newcastle		F	460
Hunter Valley exc Newcastle		M	570
Hunter Valley exc Newcastle	Contributing family workers	F	965
Hunter Valley exc Newcastle	Contributing family workers	M	868
Hunter Valley exc Newcastle	Employee	F	39479
Hunter Valley exc Newcastle	Employee	M	46128
Hunter Valley exc Newcastle	Owner managers of incorporated enterprises	F	1729
Hunter Valley exc Newcastle	Owner managers of incorporated enterprises	M	3553
Hunter Valley exc Newcastle	Owner managers of unincorporated enterprises	F	2855
Hunter Valley exc Newcastle	Owner managers of unincorporated enterprises	M	3502
Illawarra		F	456
Illawarra		M	528
Illawarra	Contributing family workers	F	642
Illawarra	Contributing family workers	M	505
Illawarra	Employee	F	46821
Illawarra	Employee	M	40209
Illawarra	Owner managers of incorporated enterprises	F	1721
Illawarra	Owner managers of incorporated enterprises	M	4129
Illawarra	Owner managers of unincorporated enterprises	F	3113
Illawarra	Owner managers of unincorporated enterprises	M	3906
Mid North Coast		F	515
Mid North Coast		M	584
Mid North Coast	Contributing family workers	F	958
Mid North Coast	Contributing family workers	M	953
Mid North Coast	Employee	F	29471
Mid North Coast	Employee	M	24329
Mid North Coast	Owner managers of incorporated enterprises	F	1376
Mid North Coast	Owner managers of incorporated enterprises	M	2656
Mid North Coast	Owner managers of unincorporated enterprises	F	2891
Mid North Coast	Owner managers of unincorporated enterprises	M	4620
Murray		F	289
Murray		M	387
Murray	Contributing family workers	F	819
Murray	Contributing family workers	M	982
Murray	Employee	F	20419
Murray	Employee	M	18265
Murray	Owner managers of incorporated enterprises	F	1085
Murray	Owner managers of incorporated enterprises	M	2386
Murray	Owner managers of unincorporated enterprises	F	1666
Murray	Owner managers of unincorporated enterprises	M	2849
New England and North West		F	493
New England and North West		M	659
New England and North West	Contributing family workers	F	1566
New England and North West	Contributing family workers	M	1714
New England and North West	Employee	F	29310
New England and North West	Employee	M	27772
New England and North West	Owner managers of incorporated enterprises	F	1336
New England and North West	Owner managers of incorporated enterprises	M	2835
New England and North West	Owner managers of unincorporated enterprises	F	2975
New England and North West	Owner managers of unincorporated enterprises	M	5028
Newcastle and Lake Macquarie		F	572
Newcastle and Lake Macquarie		M	648
Newcastle and Lake Macquarie	Contributing family workers	F	780
Newcastle and Lake Macquarie	Contributing family workers	M	659
Newcastle and Lake Macquarie	Employee	F	72413
Newcastle and Lake Macquarie	Employee	M	63286
Newcastle and Lake Macquarie	Owner managers of incorporated enterprises	F	2544
Newcastle and Lake Macquarie	Owner managers of incorporated enterprises	M	5782
Newcastle and Lake Macquarie	Owner managers of unincorporated enterprises	F	3862
Newcastle and Lake Macquarie	Owner managers of unincorporated enterprises	M	5052
Richmond - Tweed		F	571
Richmond - Tweed		M	673
Richmond - Tweed	Contributing family workers	F	1119
Richmond - Tweed	Contributing family workers	M	1051
Richmond - Tweed	Employee	F	36304
Richmond - Tweed	Employee	M	29442
Richmond - Tweed	Owner managers of incorporated enterprises	F	1960
Richmond - Tweed	Owner managers of incorporated enterprises	M	3736
Richmond - Tweed	Owner managers of unincorporated enterprises	F	4515
Richmond - Tweed	Owner managers of unincorporated enterprises	M	6405
Riverina		F	409
Riverina		M	514
Riverina	Contributing family workers	F	977
Riverina	Contributing family workers	M	1277
Riverina	Employee	F	27554
Riverina	Employee	M	27189
Riverina	Owner managers of incorporated enterprises	F	1195
Riverina	Owner managers of incorporated enterprises	M	2723
Riverina	Owner managers of unincorporated enterprises	F	2203
Riverina	Owner managers of unincorporated enterprises	M	3952
Southern Highlands and Shoalhaven		F	330
