SA4_NAME16	IncomeTotPersonal.max	PublicSector	LevelOfGovt	workers
Capital Region				168
Capital Region		0		1035
Capital Region		1	Local	18
Capital Region		1	National	16
Capital Region		1	State territory	60
Capital Region	0			41
Capital Region	0	0		711
Capital Region	0	1	National	7
Capital Region	0	1	State territory	11
Capital Region	7875			54
Capital Region	7875	0		2919
Capital Region	7875	1	Local	12
Capital Region	7875	1	National	32
Capital Region	7875	1	State territory	39
Capital Region	15750			68
Capital Region	15750	0		2963
Capital Region	15750	1	Local	26
Capital Region	15750	1	National	41
Capital Region	15750	1	State territory	101
Capital Region	21000			75
Capital Region	21000	0		3500
Capital Region	21000	1	Local	43
Capital Region	21000	1	National	36
Capital Region	21000	1	State territory	118
Capital Region	26250			67
Capital Region	26250	0		4568
Capital Region	26250	1	Local	47
Capital Region	26250	1	National	50
Capital Region	26250	1	State territory	171
Capital Region	34125			71
Capital Region	34125	0		7296
Capital Region	34125	1	Local	123
Capital Region	34125	1	National	85
Capital Region	34125	1	State territory	340
Capital Region	42000			65
Capital Region	42000	0		8427
Capital Region	42000	1	Local	216
Capital Region	42000	1	National	99
Capital Region	42000	1	State territory	556
Capital Region	52500			78
Capital Region	52500	0		8814
Capital Region	52500	1	Local	410
Capital Region	52500	1	National	144
Capital Region	52500	1	State territory	759
Capital Region	65625			75
Capital Region	65625	0		7444
Capital Region	65625	1	Local	518
Capital Region	65625	1	National	304
Capital Region	65625	1	State territory	940
Capital Region	78750			30
Capital Region	78750	0		4341
Capital Region	78750	1	Local	352
Capital Region	78750	1	National	261
Capital Region	78750	1	State territory	917
Capital Region	91875			26
Capital Region	91875	0		3179
Capital Region	91875	1	Local	265
Capital Region	91875	1	National	200
Capital Region	91875	1	State territory	953
Capital Region	105000			23
Capital Region	105000	0		1936
Capital Region	105000	1	Local	152
Capital Region	105000	1	National	139
Capital Region	105000	1	State territory	1053
Capital Region	157500			22
Capital Region	157500	0		2297
Capital Region	157500	1	Local	177
Capital Region	157500	1	National	316
Capital Region	157500	1	State territory	1050
Capital Region	Inf			29
Capital Region	Inf	0		1388
Capital Region	Inf	1	Local	52
Capital Region	Inf	1	National	117
Capital Region	Inf	1	State territory	178
Central Coast				251
Central Coast		0		1293
Central Coast		1	Local	20
Central Coast		1	National	13
Central Coast		1	State territory	98
Central Coast	0			45
Central Coast	0	0		680
Central Coast	0	1	Local	3
Central Coast	0	1	National	3
Central Coast	0	1	State territory	16
Central Coast	7875			59
Central Coast	7875	0		4794
Central Coast	7875	1	Local	8
Central Coast	7875	1	National	28
Central Coast	7875	1	State territory	47
Central Coast	15750			72
Central Coast	15750	0		4752
Central Coast	15750	1	Local	27
Central Coast	15750	1	National	23
