SA4_NAME16	IndustryOfEmployment	Occupation	workers
Capital Region		Clerical and administrative workers	300
Capital Region		Community and personal service workers	151
Capital Region		Labourers	426
Capital Region		Machinery operators and drivers	255
Capital Region		Managers	351
Capital Region		Professionals	182
Capital Region		Sales workers	185
Capital Region		Technicians and trades workers	503
Capital Region	Accommodation and food services		66
Capital Region	Accommodation and food services	Clerical and administrative workers	330
Capital Region	Accommodation and food services	Community and personal service workers	2114
Capital Region	Accommodation and food services	Labourers	1691
Capital Region	Accommodation and food services	Machinery operators and drivers	132
Capital Region	Accommodation and food services	Managers	1468
Capital Region	Accommodation and food services	Professionals	48
Capital Region	Accommodation and food services	Sales workers	824
Capital Region	Accommodation and food services	Technicians and trades workers	1034
Capital Region	Administrative and support services		14
Capital Region	Administrative and support services	Clerical and administrative workers	301
Capital Region	Administrative and support services	Community and personal service workers	191
Capital Region	Administrative and support services	Labourers	867
Capital Region	Administrative and support services	Machinery operators and drivers	54
Capital Region	Administrative and support services	Managers	130
Capital Region	Administrative and support services	Professionals	146
Capital Region	Administrative and support services	Sales workers	34
Capital Region	Administrative and support services	Technicians and trades workers	206
Capital Region	Agriculture forestry and fishing	Clerical and administrative workers	196
Capital Region	Agriculture forestry and fishing	Community and personal service workers	14
Capital Region	Agriculture forestry and fishing	Labourers	1207
Capital Region	Agriculture forestry and fishing	Machinery operators and drivers	176
Capital Region	Agriculture forestry and fishing	Managers	3915
Capital Region	Agriculture forestry and fishing	Professionals	98
Capital Region	Agriculture forestry and fishing	Sales workers	49
Capital Region	Agriculture forestry and fishing	Technicians and trades workers	384
Capital Region	Arts and recreation services		15
Capital Region	Arts and recreation services	Clerical and administrative workers	143
Capital Region	Arts and recreation services	Community and personal service workers	391
Capital Region	Arts and recreation services	Labourers	161
Capital Region	Arts and recreation services	Machinery operators and drivers	167
Capital Region	Arts and recreation services	Managers	216
Capital Region	Arts and recreation services	Professionals	269
Capital Region	Arts and recreation services	Sales workers	84
