SA4_NAME16	Occupation	OccupationSubtype	workers
Capital Region			1212
Capital Region	Clerical and administrative workers	Clerical and administrative workers nfd	17
Capital Region	Clerical and administrative workers	Clerical and office support workers	556
Capital Region	Clerical and administrative workers	General clerical workers	1829
Capital Region	Clerical and administrative workers	Inquiry clerks and receptionists	1596
Capital Region	Clerical and administrative workers	Numerical clerks	1723
Capital Region	Clerical and administrative workers	Office managers and program administrators	1472
Capital Region	Clerical and administrative workers	Other clerical and administrative workers	926
Capital Region	Clerical and administrative workers	Personal assistants and secretaries	542
Capital Region	Community and personal service workers	Carers and aides	3778
Capital Region	Community and personal service workers	Community and personal service workers nfd	3
Capital Region	Community and personal service workers	Health and welfare support workers	1009
Capital Region	Community and personal service workers	Hospitality workers	2299
Capital Region	Community and personal service workers	Protective service workers	1224
Capital Region	Community and personal service workers	Sports and personal service workers	1181
Capital Region	Labourers	Cleaners and laundry workers	2214
Capital Region	Labourers	Construction and mining labourers	1028
Capital Region	Labourers	Factory process workers	1125
Capital Region	Labourers	Farm forestry and garden workers	1451
Capital Region	Labourers	Food preparation assistants	1209
Capital Region	Labourers	Labourers nfd	229
Capital Region	Labourers	Other labourers	1350
Capital Region	Machinery operators and drivers	Machine and stationary plant operators	1018
Capital Region	Machinery operators and drivers	Machinery operators and drivers nfd	128
Capital Region	Machinery operators and drivers	Mobile plant operators	894
Capital Region	Machinery operators and drivers	Road and rail drivers	2257
Capital Region	Machinery operators and drivers	Storepersons	374
Capital Region	Managers	Chief executives general managers and legislators	542
Capital Region	Managers	Farmers and farm managers	4011
Capital Region	Managers	Hospitality retail and service managers	3752
Capital Region	Managers	Managers nfd	177
Capital Region	Managers	Specialist managers	3173
Capital Region	Professionals	Arts and media professionals	405
Capital Region	Professionals	Business human resource and marketing professionals	1599
Capital Region	Professionals	Design engineering science and transport professionals	1359
Capital Region	Professionals	Education professionals	3326
Capital Region	Professionals	Health professionals	3051
Capital Region	Professionals	Information and Communication Technology ICT professionals	309
Capital Region	Professionals	Legal social and welfare professionals	924
Capital Region	Professionals	Professionals nfd	64
Capital Region	Sales workers	Sales assistants and salespersons	5553
Capital Region	Sales workers	Sales representatives and agents	1032
Capital Region	Sales workers	Sales support workers	973
Capital Region	Sales workers	Sales workers nfd	8
Capital Region	Technicians and trades workers	Automotive and engineering trades workers	2255
Capital Region	Technicians and trades workers	Construction trades workers	2064
Capital Region	Technicians and trades workers	Electrotechnology and telecommunications trades workers	1110
Capital Region	Technicians and trades workers	Engineering ICT and science technicians	945
Capital Region	Technicians and trades workers	Food trades workers	1483
Capital Region	Technicians and trades workers	Other technicians and trades workers	1257
Capital Region	Technicians and trades workers	Skilled animal and horticultural workers	1143
Capital Region	Technicians and trades workers	Technicians and trades workers nfd	105
Central Coast			1669
Central Coast	Clerical and administrative workers	Clerical and administrative workers nfd	30
Central Coast	Clerical and administrative workers	Clerical and office support workers	693
Central Coast	Clerical and administrative workers	General clerical workers	2806
Central Coast	Clerical and administrative workers	Inquiry clerks and receptionists	3131
Central Coast	Clerical and administrative workers	Numerical clerks	2899
Central Coast	Clerical and administrative workers	Office managers and program administrators	2240
Central Coast	Clerical and administrative workers	Other clerical and administrative workers	1484
Central Coast	Clerical and administrative workers	Personal assistants and secretaries	1055
Central Coast	Community and personal service workers	Carers and aides	6133
Central Coast	Community and personal service workers	Community and personal service workers nfd	3
Central Coast	Community and personal service workers	Health and welfare support workers	1729
Central Coast	Community and personal service workers	Hospitality workers	3171
Central Coast	Community and personal service workers	Protective service workers	1061
Central Coast	Community and personal service workers	Sports and personal service workers	1745
Central Coast	Labourers	Cleaners and laundry workers	2470
Central Coast	Labourers	Construction and mining labourers	1413
Central Coast	Labourers	Factory process workers	1787
Central Coast	Labourers	Farm forestry and garden workers	697
Central Coast	Labourers	Food preparation assistants	2075
Central Coast	Labourers	Labourers nfd	223
Central Coast	Labourers	Other labourers	1959
Central Coast	Machinery operators and drivers	Machine and stationary plant operators	1063
Central Coast	Machinery operators and drivers	Machinery operators and drivers nfd	117
Central Coast	Machinery operators and drivers	Mobile plant operators	887
Central Coast	Machinery operators and drivers	Road and rail drivers	2779
Central Coast	Machinery operators and drivers	Storepersons	1177
Central Coast	Managers	Chief executives general managers and legislators	803
Central Coast	Managers	Farmers and farm managers	421
Central Coast	Managers	Hospitality retail and service managers	4613
Central Coast	Managers	Managers nfd	261
Central Coast	Managers	Specialist managers	4954
Central Coast	Professionals	Arts and media professionals	656
Central Coast	Professionals	Business human resource and marketing professionals	3051
Central Coast	Professionals	Design engineering science and transport professionals	1822
Central Coast	Professionals	Education professionals	5632
Central Coast	Professionals	Health professionals	6874
Central Coast	Professionals	Information and Communication Technology ICT professionals	707
Central Coast	Professionals	Legal social and welfare professionals	1641
Central Coast	Professionals	Professionals nfd	108
Central Coast	Sales workers	Sales assistants and salespersons	9159
Central Coast	Sales workers	Sales representatives and agents	1846
Central Coast	Sales workers	Sales support workers	1734
Central Coast	Sales workers	Sales workers nfd	20
Central Coast	Technicians and trades workers	Automotive and engineering trades workers	2579
Central Coast	Technicians and trades workers	Construction trades workers	3054
Central Coast	Technicians and trades workers	Electrotechnology and telecommunications trades workers	1513
Central Coast	Technicians and trades workers	Engineering ICT and science technicians	1727
Central Coast	Technicians and trades workers	Food trades workers	1774
Central Coast	Technicians and trades workers	Other technicians and trades workers	1817
Central Coast	Technicians and trades workers	Skilled animal and horticultural workers	1336
Central Coast	Technicians and trades workers	Technicians and trades workers nfd	128
Central West			1407
Central West	Clerical and administrative workers	Clerical and administrative workers nfd	19
Central West	Clerical and administrative workers	Clerical and office support workers	603
Central West	Clerical and administrative workers	General clerical workers	2271
Central West	Clerical and administrative workers	Inquiry clerks and receptionists	1553
Central West	Clerical and administrative workers	Numerical clerks	1885
Central West	Clerical and administrative workers	Office managers and program administrators	1587
Central West	Clerical and administrative workers	Other clerical and administrative workers	1154
Central West	Clerical and administrative workers	Personal assistants and secretaries	774
Central West	Community and personal service workers	Carers and aides	4113
Central West	Community and personal service workers	Community and personal service workers nfd	5
Central West	Community and personal service workers	Health and welfare support workers	1248
Central West	Community and personal service workers	Hospitality workers	1887
Central West	Community and personal service workers	Protective service workers	1188
Central West	Community and personal service workers	Sports and personal service workers	893
Central West	Labourers	Cleaners and laundry workers	2419
Central West	Labourers	Construction and mining labourers	1008
Central West	Labourers	Factory process workers	1475
Central West	Labourers	Farm forestry and garden workers	1604
Central West	Labourers	Food preparation assistants	1224
Central West	Labourers	Labourers nfd	254
Central West	Labourers	Other labourers	1390
Central West	Machinery operators and drivers	Machine and stationary plant operators	2862
Central West	Machinery operators and drivers	Machinery operators and drivers nfd	151
Central West	Machinery operators and drivers	Mobile plant operators	1087
Central West	Machinery operators and drivers	Road and rail drivers	2591
Central West	Machinery operators and drivers	Storepersons	412
Central West	Managers	Chief executives general managers and legislators	485
Central West	Managers	Farmers and farm managers	5476
Central West	Managers	Hospitality retail and service managers	3263
Central West	Managers	Managers nfd	153
Central West	Managers	Specialist managers	3527
Central West	Professionals	Arts and media professionals	344
Central West	Professionals	Business human resource and marketing professionals	2039
Central West	Professionals	Design engineering science and transport professionals	1716
Central West	Professionals	Education professionals	4414
Central West	Professionals	Health professionals	4013
Central West	Professionals	Information and Communication Technology ICT professionals	287
Central West	Professionals	Legal social and welfare professionals	1081
Central West	Professionals	Professionals nfd	111
Central West	Sales workers	Sales assistants and salespersons	5618
Central West	Sales workers	Sales representatives and agents	952
Central West	Sales workers	Sales support workers	975
Central West	Sales workers	Sales workers nfd	13
Central West	Technicians and trades workers	Automotive and engineering trades workers	3673
Central West	Technicians and trades workers	Construction trades workers	1623
Central West	Technicians and trades workers	Electrotechnology and telecommunications trades workers	1501
Central West	Technicians and trades workers	Engineering ICT and science technicians	1512
Central West	Technicians and trades workers	Food trades workers	1287
Central West	Technicians and trades workers	Other technicians and trades workers	1030
Central West	Technicians and trades workers	Skilled animal and horticultural workers	962
Central West	Technicians and trades workers	Technicians and trades workers nfd	111
Coffs Harbour - Grafton			806
Coffs Harbour - Grafton	Clerical and administrative workers	Clerical and administrative workers nfd	13
Coffs Harbour - Grafton	Clerical and administrative workers	Clerical and office support workers	338
Coffs Harbour - Grafton	Clerical and administrative workers	General clerical workers	1405
Coffs Harbour - Grafton	Clerical and administrative workers	Inquiry clerks and receptionists	1238
Coffs Harbour - Grafton	Clerical and administrative workers	Numerical clerks	1125
Coffs Harbour - Grafton	Clerical and administrative workers	Office managers and program administrators	1105
Coffs Harbour - Grafton	Clerical and administrative workers	Other clerical and administrative workers	782
Coffs Harbour - Grafton	Clerical and administrative workers	Personal assistants and secretaries	407
Coffs Harbour - Grafton	Community and personal service workers	Carers and aides	2922
Coffs Harbour - Grafton	Community and personal service workers	Health and welfare support workers	894
Coffs Harbour - Grafton	Community and personal service workers	Hospitality workers	1456
Coffs Harbour - Grafton	Community and personal service workers	Protective service workers	518
Coffs Harbour - Grafton	Community and personal service workers	Sports and personal service workers	677
Coffs Harbour - Grafton	Labourers	Cleaners and laundry workers	1436
Coffs Harbour - Grafton	Labourers	Construction and mining labourers	621
Coffs Harbour - Grafton	Labourers	Factory process workers	583
Coffs Harbour - Grafton	Labourers	Farm forestry and garden workers	1119
Coffs Harbour - Grafton	Labourers	Food preparation assistants	923
Coffs Harbour - Grafton	Labourers	Labourers nfd	116
Coffs Harbour - Grafton	Labourers	Other labourers	995
Coffs Harbour - Grafton	Machinery operators and drivers	Machine and stationary plant operators	521
Coffs Harbour - Grafton	Machinery operators and drivers	Machinery operators and drivers nfd	59
Coffs Harbour - Grafton	Machinery operators and drivers	Mobile plant operators	515
Coffs Harbour - Grafton	Machinery operators and drivers	Road and rail drivers	1462
Coffs Harbour - Grafton	Machinery operators and drivers	Storepersons	249
Coffs Harbour - Grafton	Managers	Chief executives general managers and legislators	262
Coffs Harbour - Grafton	Managers	Farmers and farm managers	1375
Coffs Harbour - Grafton	Managers	Hospitality retail and service managers	2329
Coffs Harbour - Grafton	Managers	Managers nfd	94
Coffs Harbour - Grafton	Managers	Specialist managers	1942
Coffs Harbour - Grafton	Professionals	Arts and media professionals	238
Coffs Harbour - Grafton	Professionals	Business human resource and marketing professionals	1232
Coffs Harbour - Grafton	Professionals	Design engineering science and transport professionals	966
Coffs Harbour - Grafton	Professionals	Education professionals	2570
Coffs Harbour - Grafton	Professionals	Health professionals	2963
Coffs Harbour - Grafton	Professionals	Information and Communication Technology ICT professionals	215
Coffs Harbour - Grafton	Professionals	Legal social and welfare professionals	752
Coffs Harbour - Grafton	Professionals	Professionals nfd	66
Coffs Harbour - Grafton	Sales workers	Sales assistants and salespersons	3970
Coffs Harbour - Grafton	Sales workers	Sales representatives and agents	727
Coffs Harbour - Grafton	Sales workers	Sales support workers	709
Coffs Harbour - Grafton	Sales workers	Sales workers nfd	12
Coffs Harbour - Grafton	Technicians and trades workers	Automotive and engineering trades workers	1411
Coffs Harbour - Grafton	Technicians and trades workers	Construction trades workers	936
Coffs Harbour - Grafton	Technicians and trades workers	Electrotechnology and telecommunications trades workers	666
Coffs Harbour - Grafton	Technicians and trades workers	Engineering ICT and science technicians	792
Coffs Harbour - Grafton	Technicians and trades workers	Food trades workers	991
Coffs Harbour - Grafton	Technicians and trades workers	Other technicians and trades workers	699
Coffs Harbour - Grafton	Technicians and trades workers	Skilled animal and horticultural workers	575
Coffs Harbour - Grafton	Technicians and trades workers	Technicians and trades workers nfd	53
Far West and Orana			832
Far West and Orana	Clerical and administrative workers	Clerical and administrative workers nfd	13
Far West and Orana	Clerical and administrative workers	Clerical and office support workers	284
Far West and Orana	Clerical and administrative workers	General clerical workers	1238
Far West and Orana	Clerical and administrative workers	Inquiry clerks and receptionists	798
Far West and Orana	Clerical and administrative workers	Numerical clerks	981
Far West and Orana	Clerical and administrative workers	Office managers and program administrators	844
Far West and Orana	Clerical and administrative workers	Other clerical and administrative workers	652
Far West and Orana	Clerical and administrative workers	Personal assistants and secretaries	348
Far West and Orana	Community and personal service workers	Carers and aides	2656
Far West and Orana	Community and personal service workers	Community and personal service workers nfd	7
Far West and Orana	Community and personal service workers	Health and welfare support workers	969
Far West and Orana	Community and personal service workers	Hospitality workers	973
Far West and Orana	Community and personal service workers	Protective service workers	794
Far West and Orana	Community and personal service workers	Sports and personal service workers	411
Far West and Orana	Labourers	Cleaners and laundry workers	1338
Far West and Orana	Labourers	Construction and mining labourers	531
Far West and Orana	Labourers	Factory process workers	608
Far West and Orana	Labourers	Farm forestry and garden workers	1196
Far West and Orana	Labourers	Food preparation assistants	629
Far West and Orana	Labourers	Labourers nfd	179
Far West and Orana	Labourers	Other labourers	748
Far West and Orana	Machinery operators and drivers	Machine and stationary plant operators	1214
Far West and Orana	Machinery operators and drivers	Machinery operators and drivers nfd	80
Far West and Orana	Machinery operators and drivers	Mobile plant operators	610
Far West and Orana	Machinery operators and drivers	Road and rail drivers	1360
Far West and Orana	Machinery operators and drivers	Storepersons	254
Far West and Orana	Managers	Chief executives general managers and legislators	284
Far West and Orana	Managers	Farmers and farm managers	4007
Far West and Orana	Managers	Hospitality retail and service managers	1867
Far West and Orana	Managers	Managers nfd	100
Far West and Orana	Managers	Specialist managers	1742
Far West and Orana	Professionals	Arts and media professionals	158
Far West and Orana	Professionals	Business human resource and marketing professionals	1011
Far West and Orana	Professionals	Design engineering science and transport professionals	707
Far West and Orana	Professionals	Education professionals	2507
Far West and Orana	Professionals	Health professionals	2182
Far West and Orana	Professionals	Information and Communication Technology ICT professionals	90
Far West and Orana	Professionals	Legal social and welfare professionals	740
Far West and Orana	Professionals	Professionals nfd	33
Far West and Orana	Sales workers	Sales assistants and salespersons	2988
Far West and Orana	Sales workers	Sales representatives and agents	501
Far West and Orana	Sales workers	Sales support workers	538
Far West and Orana	Sales workers	Sales workers nfd	8
Far West and Orana	Technicians and trades workers	Automotive and engineering trades workers	1828
Far West and Orana	Technicians and trades workers	Construction trades workers	768
Far West and Orana	Technicians and trades workers	Electrotechnology and telecommunications trades workers	829
Far West and Orana	Technicians and trades workers	Engineering ICT and science technicians	661
Far West and Orana	Technicians and trades workers	Food trades workers	690
Far West and Orana	Technicians and trades workers	Other technicians and trades workers	480
Far West and Orana	Technicians and trades workers	Skilled animal and horticultural workers	575
Far West and Orana	Technicians and trades workers	Technicians and trades workers nfd	77
Hunter Valley exc Newcastle			1606
