STE_NAME16	EnglishProficiency	IndustryOfEmployment	SpeaksEnglishOnly	YearOfArrival.max	workers_born_overseas
New South Wales			0	1991	7923
New South Wales			0	1995	1127
New South Wales			0	2000	1759
New South Wales			0	2005	1784
New South Wales			0	2010	2030
New South Wales			0	2015	2305
New South Wales			0	2016	261
New South Wales			0		1171
New South Wales		Accommodation and food services	1	1991	6188
New South Wales		Accommodation and food services	1	1995	1259
New South Wales		Accommodation and food services	1	2000	2282
New South Wales		Accommodation and food services	1	2005	2351
New South Wales		Accommodation and food services	1	2010	2804
New South Wales		Accommodation and food services	1	2015	3918
New South Wales		Accommodation and food services	1	2016	470
New South Wales		Accommodation and food services	1		666
New South Wales		Administrative and support services	1	1991	6421
New South Wales		Administrative and support services	1	1995	945
New South Wales		Administrative and support services	1	2000	1471
New South Wales		Administrative and support services	1	2005	1402
New South Wales		Administrative and support services	1	2010	1892
New South Wales		Administrative and support services	1	2015	2723
New South Wales		Administrative and support services	1	2016	291
New South Wales		Administrative and support services	1		417
New South Wales		Agriculture forestry and fishing	1	1991	2422
New South Wales		Agriculture forestry and fishing	1	1995	195
New South Wales		Agriculture forestry and fishing	1	2000	307
New South Wales		Agriculture forestry and fishing	1	2005	268
New South Wales		Agriculture forestry and fishing	1	2010	344
New South Wales		Agriculture forestry and fishing	1	2015	426
New South Wales		Agriculture forestry and fishing	1	2016	70
New South Wales		Agriculture forestry and fishing	1		191
New South Wales		Arts and recreation services	1	1991	2836
New South Wales		Arts and recreation services	1	1995	444
New South Wales		Arts and recreation services	1	2000	693
New South Wales		Arts and recreation services	1	2005	682
New South Wales		Arts and recreation services	1	2010	739
New South Wales		Arts and recreation services	1	2015	884
New South Wales		Arts and recreation services	1	2016	74
New South Wales		Arts and recreation services	1		179
New South Wales		Construction	1	1991	13745
New South Wales		Construction	1	1995	1823
New South Wales		Construction	1	2000	2875
New South Wales		Construction	1	2005	2532
New South Wales		Construction	1	2010	3533
New South Wales		Construction	1	2015	4283
New South Wales		Construction	1	2016	313
New South Wales		Construction	1		879
New South Wales		Education and training	1	1991	16946
New South Wales		Education and training	1	1995	2301
New South Wales		Education and training	1	2000	3076
New South Wales		Education and training	1	2005	2942
New South Wales		Education and training	1	2010	3022
New South Wales		Education and training	1	2015	3047
New South Wales		Education and training	1	2016	252
New South Wales		Education and training	1		610
New South Wales		Electricity gas water and waste services	1	1991	1672
New South Wales		Electricity gas water and waste services	1	1995	192
New South Wales		Electricity gas water and waste services	1	2000	331
New South Wales		Electricity gas water and waste services	1	2005	328
New South Wales		Electricity gas water and waste services	1	2010	310
New South Wales		Electricity gas water and waste services	1	2015	259
New South Wales		Electricity gas water and waste services	1	2016	27
New South Wales		Electricity gas water and waste services	1		79
New South Wales		Financial and insurance services	1	1991	11033
New South Wales		Financial and insurance services	1	1995	2220
New South Wales		Financial and insurance services	1	2000	3211
New South Wales		Financial and insurance services	1	2005	3441
New South Wales		Financial and insurance services	1	2010	3588
New South Wales		Financial and insurance services	1	2015	3588
New South Wales		Financial and insurance services	1	2016	308
New South Wales		Financial and insurance services	1		465
New South Wales		Health care and social assistance	1	1991	27529
New South Wales		Health care and social assistance	1	1995	3926
New South Wales		Health care and social assistance	1	2000	4750
New South Wales		Health care and social assistance	1	2005	4851
New South Wales		Health care and social assistance	1	2010	5299
New South Wales		Health care and social assistance	1	2015	4898
New South Wales		Health care and social assistance	1	2016	362
New South Wales		Health care and social assistance	1		1122
New South Wales		Information media and telecommunications	1	1991	4633
New South Wales		Information media and telecommunications	1	1995	900
New South Wales		Information media and telecommunications	1	2000	1341
New South Wales		Information media and telecommunications	1	2005	1426
New South Wales		Information media and telecommunications	1	2010	1657
New South Wales		Information media and telecommunications	1	2015	1691
New South Wales		Information media and telecommunications	1	2016	169
New South Wales		Information media and telecommunications	1		224
New South Wales		Manufacturing	1	1991	11482
New South Wales		Manufacturing	1	1995	1470
New South Wales		Manufacturing	1	2000	2113
New South Wales		Manufacturing	1	2005	2036
New South Wales		Manufacturing	1	2010	2147
New South Wales		Manufacturing	1	2015	2188
New South Wales		Manufacturing	1	2016	170
New South Wales		Manufacturing	1		504
New South Wales		Mining	1	1991	1129
New South Wales		Mining	1	1995	152
New South Wales		Mining	1	2000	179
New South Wales		Mining	1	2005	226
New South Wales		Mining	1	2010	284
New South Wales		Mining	1	2015	170
New South Wales		Mining	1	2016	3
New South Wales		Mining	1		54
New South Wales		Other services	1	1991	6330
New South Wales		Other services	1	1995	880
New South Wales		Other services	1	2000	1167
New South Wales		Other services	1	2005	1097
New South Wales		Other services	1	2010	1445
New South Wales		Other services	1	2015	1578
New South Wales		Other services	1	2016	128
New South Wales		Other services	1		337
New South Wales		Professional scientific and technical services	1	1991	17865
New South Wales		Professional scientific and technical services	1	1995	3342
New South Wales		Professional scientific and technical services	1	2000	5044
New South Wales		Professional scientific and technical services	1	2005	4905
New South Wales		Professional scientific and technical services	1	2010	6097
New South Wales		Professional scientific and technical services	1	2015	7302
New South Wales		Professional scientific and technical services	1	2016	911
New South Wales		Professional scientific and technical services	1		824
New South Wales		Public administration and safety	1	1991	12216
New South Wales		Public administration and safety	1	1995	1546
New South Wales		Public administration and safety	1	2000	1872
New South Wales		Public administration and safety	1	2005	1651
New South Wales		Public administration and safety	1	2010	1648
New South Wales		Public administration and safety	1	2015	1251
New South Wales		Public administration and safety	1	2016	96
New South Wales		Public administration and safety	1		447
New South Wales		Rental hiring and real estate services	1	1991	3564
New South Wales		Rental hiring and real estate services	1	1995	467
New South Wales		Rental hiring and real estate services	1	2000	630
New South Wales		Rental hiring and real estate services	1	2005	627
New South Wales		Rental hiring and real estate services	1	2010	698
New South Wales		Rental hiring and real estate services	1	2015	674
New South Wales		Rental hiring and real estate services	1	2016	64
New South Wales		Rental hiring and real estate services	1		157
New South Wales		Retail trade	1	1991	13179
New South Wales		Retail trade	1	1995	1963
New South Wales		Retail trade	1	2000	3324
New South Wales		Retail trade	1	2005	3001
New South Wales		Retail trade	1	2010	3233
New South Wales		Retail trade	1	2015	3489
New South Wales		Retail trade	1	2016	316
New South Wales		Retail trade	1		728
New South Wales		Transport postal and warehousing	1	1991	9613
New South Wales		Transport postal and warehousing	1	1995	1212
New South Wales		Transport postal and warehousing	1	2000	1665
New South Wales		Transport postal and warehousing	1	2005	1401
New South Wales		Transport postal and warehousing	1	2010	1466
New South Wales		Transport postal and warehousing	1	2015	1335
New South Wales		Transport postal and warehousing	1	2016	105
New South Wales		Transport postal and warehousing	1		495
New South Wales		Wholesale trade	1	1991	6489
New South Wales		Wholesale trade	1	1995	1015
New South Wales		Wholesale trade	1	2000	1566
New South Wales		Wholesale trade	1	2005	1439
New South Wales		Wholesale trade	1	2010	1583
New South Wales		Wholesale trade	1	2015	1541
New South Wales		Wholesale trade	1	2016	107
New South Wales		Wholesale trade	1		300
New South Wales	Speaks English not well or not at all		0	1991	1592
New South Wales	Speaks English not well or not at all		0	1995	622
New South Wales	Speaks English not well or not at all		0	2000	890
New South Wales	Speaks English not well or not at all		0	2005	907
New South Wales	Speaks English not well or not at all		0	2010	1623
New South Wales	Speaks English not well or not at all		0	2015	2377
New South Wales	Speaks English not well or not at all		0	2016	257
New South Wales	Speaks English not well or not at all		0		580
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	1991	2271
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	1995	813
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	2000	1043
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	2005	1072
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	2010	1946
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	2015	3368
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	2016	476
New South Wales	Speaks English not well or not at all	Accommodation and food services	0		586
New South Wales	Speaks English not well or not at all	Administrative and support services	0	1991	1077
